"epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq"
"Double inlet right ventricle,","01.04.03","745.3",,"Q20.4",,"Single ventricle, DIRV","Abnormalities of position and connection of heart",16
"Double inlet left ventricle,","01.04.04","745.3",,"Q20.4",,"Single ventricle, DILV","Abnormalities of position and connection of heart",17
"Tricuspid atresia,","06.01.01","746.1",,"Q22.4",,"Single ventricle, Tricuspid atresia","Abnormalities of position and connection of heart",18
"Mitral atresia,","06.02.01","746.8",,"Q23.2",,"Single ventricle, Mitral atresia","Abnormalities of position and connection of heart",19
"Solitary ventricle of indeterminate morphology,","02.03.05","745.3",,"Q20.4",,"Single ventricle, Other","Abnormalities of position and connection of heart",20
"Discordant ventriculo-arterial connections (TGA),","01.05.01","745.1",,"Q20.3",,"TGA","Abnormalities of position and connection of heart",21
"Transposition of great arteries (TGA) (concordant atrioventricular & discordant ventriculo-arterial connections) & intact ventricular septum,","01.01.02","745.1",,"Q20.3",,"TGA, IVS","Abnormalities of position and connection of heart",22
"Congenitally corrected transposition of great arteries (discordant atrioventricular & ventriculo-arterial connections),","01.01.03","745.1",,"Q20.5",,"Congenitally corrected TGA","Abnormalities of position and connection of heart",23
"Double outlet right ventricle,","01.01.04","746.8",,"Q20.1",,"DORV","Abnormalities of position and connection of heart",24
"Double outlet right ventricle: Fallot type (subaortic or doubly committed ventricular septal defect & pulmonary stenosis),","01.01.17","746.8",,"Q20.1",,"DORV, TOF type","Abnormalities of position and connection of heart",25
"Double outlet right ventricle: transposition type (subpulmonary ventricular septal defect),","01.01.18","746.8",,"Q20.1",,"DORV, TGA type","Abnormalities of position and connection of heart",26
"Double outlet right ventricle: with non-committed ventricular septal defect,","01.01.19","746.8",,"Q20.1",,"DORV, Remote VSD (Uncommitted VSD)","Abnormalities of position and connection of heart",27
"Double outlet right ventricle: subaortic or doubly committed ventricular septal defect without pulmonary stenosis ('VSD type'),","01.01.40","746.8",,"Q20.1",,"DORV, VSD type","Abnormalities of position and connection of heart",28
"Double outlet right ventricle: with intact ventricular septum,","01.01.24","746.8",,"Q20.1",,"DORV, IVS","Abnormalities of position and connection of heart",29
"Double outlet left ventricle,","01.05.03","746.8",,"Q20.2",,"DOLV","Abnormalities of position and connection of heart",30
"Common arterial trunk (truncus arteriosus),","09.01.01","745.0",,"Q20.0",,"Truncus arteriosus","Abnormalities of position and connection of heart",31
"Concordant VA connections with parallel great arteries (anatomically corrected malposition),","01.05.10","746.9",,"Q20.8",,"Cardiac, Other","Abnormalities of position and connection of heart",32
"Tetralogy of Fallot and variants",,,,,,,"Tetralogy of Fallot and variants",1
"Tetralogy of Fallot,","01.01.01","745.2",,"Q21.3",,"TOF","Tetralogy of Fallot and variants",2
"Pulmonary atresia + ventricular septal defect (VSD) (including Fallot type),","01.01.06","745.2",,"Q21.3",,"Pulmonary atresia, VSD (including TOF, PA)","Tetralogy of Fallot and variants",3
"Pulmonary atresia + ventricular septal defect (VSD) + systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","01.01.25","745.2","747.9","Q21.3","Q27.8","Pulmonary atresia: VSD: MAPCA (pseudotruncus)","Tetralogy of Fallot and variants",4
"Absent pulmonary valve syndrome: Fallot-type,","09.05.25","746.8","746.0","Q24.8","Q22.3","TOF, Absent Pulmonary Valve","Tetralogy of Fallot and variants",5
"Solitary arterial trunk (absent intrapericardial pulmonary arteries),","09.07.26","745.2",,"Q25.7",,"Cardiac, Other","Tetralogy of Fallot and variants",6
"Major systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","09.08.01","747.9",,"Q27.8",,"MAPCA(s) (major aortopulmonary collateral[s]) (without PA-VSD)","Tetralogy of Fallot and variants",7
"Systemic-to-pulmonary collateral arter(ies) (MAPCA(s)) stenosis(es),","09.20.25","747.9",,"Q27.8",,"MAPCA(s) (major aortopulmonary collateral[s]) (without PA-VSD)","Tetralogy of Fallot and variants",8
"Abnormalities of great veins",,,,,,,"Abnormalities of great veins",1
"Superior caval vein (SVC) abnormality,","04.01.00","747.4",,"Q26.9",,"Systemic venous anomaly","Abnormalities of great veins",2
"Left superior caval vein (SVC) persisting to coronary sinus,","04.01.01","747.4",,"Q26.1",,"Systemic venous anomaly","Abnormalities of great veins",3
"Inferior caval vein (IVC) abnormality,","04.03.00","747.4",,"Q26.9",,"Systemic venous anomaly","Abnormalities of great veins",4
"Inferior caval vein (IVC) interruption (absent suprarenal segment) with azygos continuation,","04.03.10","747.4",,"Q26.8",,"Systemic venous anomaly","Abnormalities of great veins",5
"Hepatic vein abnormality,","04.02.00","747.4",,"Q26.8",,"Systemic venous anomaly","Abnormalities of great veins",6
"Systemic vein abnormality: congenital,","04.05.00","747.4",,"Q26.9",,"Systemic venous anomaly","Abnormalities of great veins",7
"Systemic venovenous collateral(s),","04.00.06","747.4",,"Q26.8",,"Systemic venous anomaly","Abnormalities of great veins",8
"Pulmonary vein abnormality,","04.08.00","747.4",,"Q26.9",,"Cardiac, Other","Abnormalities of great veins",9
"Pulmonary vein stenosis,","04.08.91","747.4",,"Q26.8",,"Pulmonary venous stenosis","Abnormalities of great veins",10
"Totally anomalous pulmonary venous connection,","04.08.05","747.4",,"Q26.2",,"Total anomalous pulmonary venous connection","Abnormalities of great veins",11
"Totally anomalous pulmonary venous connections: supracardiac,","04.06.00","747.4",,"Q26.2",,"Total anomalous pulmonary venous connection (TAPVC), Type 1 (supracardiac)","Abnormalities of great veins",12
"Totally anomalous pulmonary venous connections: intracardiac,","04.08.10","747.4",,"Q26.2",,"Total anomalous pulmonary venous connection (TAPVC), Type 2 (cardiac)","Abnormalities of great veins",13
"Totally anomalous pulmonary venous connections: infracardiac,","04.08.20","747.4",,"Q26.2",,"Total anomalous pulmonary venous connection (TAPVC), Type 3 (infracardiac)","Abnormalities of great veins",14
"Totally anomalous pulmonary venous connections: mixed,","04.08.30","747.4",,"Q26.2",,"Total anomalous pulmonary venous connection (TAPVC), Type 4 (mixed)","Abnormalities of great veins",15
"Partially anomalous pulmonary venous connection(s),","04.07.01","747.4",,"Q26.3",,"Partial anomalous pulmonary venous connection (PAPVC)","Abnormalities of great veins",16
"Partially anomalous pulmonary venous connection: Scimitar syndrome,","01.01.16","747.4",,"Q26.8",,"Partial anomalous pulmonary venous connection (PAPCVC), Scimitar","Abnormalities of great veins",17
"Obstructed pulmonary venous connection(s),","04.08.06","747.4",,"Q26.4",,"Cardiac, Other","Abnormalities of great veins",18
"Coronary sinus abnormality,","04.04.00","746.8",,"Q24.5",,"Cardiac, Other","Abnormalities of great veins",19
"Abnormalities of atriums and atrial septum",,,,,,,"Abnormalities of atriums and atrial septum",1
"Right atrial abnormality,","05.01.00","746.9",,"Q20.8",,"Cardiac, Other","Abnormalities of atriums and atrial septum",2
"Left atrial abnormality,","05.02.00","746.9",,"Q20.8",,"Cardiac, Other","Abnormalities of atriums and atrial septum",3
"Cor triatriatum (divided left atrium),","05.02.01","746.8",,"Q24.2",,"Cor triatriatum","Abnormalities of atriums and atrial septum",4
"Intact atrial septum (no interatrial communication),","05.03.10","nc",,"nc",,,"Abnormalities of atriums and atrial septum",5
"Atrial septum abnormality,","05.03.00","745.5",,"Q21.9",,"Cardiac, Other","Abnormalities of atriums and atrial septum",6
"Patent foramen ovale (PFO),","05.03.01","745.5",,"Q21.1",,"PFO","Abnormalities of atriums and atrial septum",7
"Interatrial communication ('ASD'),","05.04.01","745.5",,"Q21.1",,"ASD","Abnormalities of atriums and atrial septum",8
"Atrial septal defect (ASD) within oval fossa (secundum),","05.04.02","745.5",,"Q21.1",,"ASD, Secundum","Abnormalities of atriums and atrial septum",9
"Spontaneous closure of atrial septal defect (ASD) within oval fossa (secundum),","05.04.03","nc",,"nc",,,"Abnormalities of atriums and atrial septum",10
"Sinus venosus defect (ASD),","05.05.00","745.5",,"Q21.1",,"ASD, sinus venosum","Abnormalities of atriums and atrial septum",11
"Common atrium (virtual absence of atrial septum),","05.06.01","745.6",,"Q21.2",,"ASD, Common atrium (single atrium)","Abnormalities of atriums and atrial septum",12
"Interatrial communication (ASD) through coronary sinus orifice,","05.05.03","745.5",,"Q21.1",,"ASD, Coronary sinus","Abnormalities of atriums and atrial septum",13
"Abnormalities of atrioventricular valves and atrioventricular septal defect",,,,,,,"Abnormalities of atrioventricular valves and atrioventricular septal defect",1
"Tricuspid valvar abnormality,","06.01.00","746.9",,"Q22.9",,"Tricuspid valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",2
"Tricuspid regurgitation,","06.01.91","746.8",,"Q22.8",,"Tricuspid regurgitation, non-Ebstein's related","Abnormalities of atrioventricular valves and atrioventricular septal defect",3
"Tricuspid regurgitation: congenital,","06.01.25","746.8",,"Q22.8",,"Tricuspid regurgitation, non-Ebstein's related","Abnormalities of atrioventricular valves and atrioventricular septal defect",4
"Tricuspid valvar dysplasia,","06.01.03","746.9",,"Q22.8",,"Tricuspid valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",5
"Straddling tricuspid valve,","06.01.09","746.9",,"Q22.8",,"Tricuspid valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",6
"Ebstein's malformation of tricuspid valve,","06.01.34","746.2",,"Q22.5",,"Ebstein's anomaly","Abnormalities of atrioventricular valves and atrioventricular septal defect",7
"Tricuspid stenosis,","06.01.92","746.1",,"Q22.4",,"Tricuspid stenosis","Abnormalities of atrioventricular valves and atrioventricular septal defect",8
"Mitral stenosis,","06.02.92","746.5",,"Q23.2",,"Mitral stenosis","Abnormalities of atrioventricular valves and atrioventricular septal defect",9
"Mitral valvar abnormality,","06.02.00","746.9",,"Q23.9",,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",10
"Mitral regurgitation,","06.02.91","746.6",,"Q23.3",,"Mitral regurgitation","Abnormalities of atrioventricular valves and atrioventricular septal defect",11
"Mitral regurgitation: congenital,","06.02.25","746.6",,"Q23.3",,"Mitral regurgitation","Abnormalities of atrioventricular valves and atrioventricular septal defect",12
"Straddling mitral valve,","06.02.09","746.9",,"Q23.8",,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",13
"Supravalvar mitral ring,","05.02.02","746.8",,"Q20.8",,"Mitral stenosis, Supravalvar mitral ring","Abnormalities of atrioventricular valves and atrioventricular septal defect",14
"Mitral valvar prolapse,","06.02.35","746.9",,"I34.1",,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",15
"True cleft of mitral leaflet (without atrioventricular septal defect),","06.02.36","746.9",,"Q23.8",,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",16
"Mitral valve stenosis,","06.02.93","746.5",,"Q23.2",,"Mitral stenosis, Valvar","Abnormalities of atrioventricular valves and atrioventricular septal defect",17
"Mitral valvar stenosis: congenital,","06.02.07","746.5",,"Q23.2",,"Mitral stenosis, Valvar","Abnormalities of atrioventricular valves and atrioventricular septal defect",18
"Mitral subvalvar apparatus abnormality,","06.02.12","746.9",,"Q23.8",,"Mitral stenosis, subvalvar","Abnormalities of atrioventricular valves and atrioventricular septal defect",19
"Mitral subvalvar stenosis,","06.02.13","746.8",,"Q23.8",,"Mitral stenosis, subvalvar","Abnormalities of atrioventricular valves and atrioventricular septal defect",20
"Parachute malformation of mitral valve,","06.02.56","746.9",,"Q23.8",,"Mitral stenosis, Subvalvar, Parachute","Abnormalities of atrioventricular valves and atrioventricular septal defect",21
"Atrioventricular septal defect (AVSD),","06.06.00","745.6",,"Q21.2",,"AVC (AVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect",22
"Atrioventricular septal defect (AVSD): isolated atrial component (primum ASD)(partial),","06.06.01","745.6",,"Q21.2",,"AVC (AVSD), Partial (incomplete) (PAVSD) (ASD, Primum)","Abnormalities of atrioventricular valves and atrioventricular septal defect",23
"Atrioventricular septal defect (AVSD): isolated ventricular component,","06.06.08","745.6",,"Q21.2",,"AVC (AVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect",24
"Atrioventricular septal defect (AVSD): atrial & ventricular components with common atrioventricular orifice (complete),","06.06.09","745.6",,"Q21.2",,"AVC (AVSD), Complete (CAVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect",25
"Atrioventricular septal defect (AVSD): atrial & (restrictive) ventricular components + separate atrioventricular valve orifices ('intermediate'),","06.06.10","745.6",,"Q21.2",,"AVC (AVSD), Intermediate (transitional)","Abnormalities of atrioventricular valves and atrioventricular septal defect",26
"Atrioventricular septal defect (AVSD) with ventricular imbalance,","06.07.26","745.6",,"Q21.2",,"Single ventricle, Unbalanced AV Canal","Abnormalities of atrioventricular valves and atrioventricular septal defect",27
"Atrioventricular septal defect (AVSD) atrioventricular valvar abnormality,","06.05.01","746.9",,"Q24.8",,"Cardiac, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",28
"Atrioventricular septal defect (AVSD) atrioventricular valvar regurgitation,","06.05.06","746.8",,"Q24.8",,"Cardiac, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect",29
"Atrioventricular septal defect and Tetralogy of Fallot,","01.01.20","745.6","745.2","Q21.2","Q21.3","TOF, AVC (AVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect",30
"Abnormalities of ventricles and ventricular septum",,,,,,,"Abnormalities of ventricles and ventricular septum",1
"Functionally univentricular heart,","01.01.22","746.9",,"Q20.9",,"Single ventricle","Abnormalities of ventricles and ventricular septum",2
"Ventricular imbalance: dominant left ventricle + hypoplastic right ventricle,","07.08.41","746.8",,"Q20.8",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",3
"Ventricular imbalance: dominant right ventricle + hypoplastic left ventricle,","07.08.42","746.8",,"Q20.8",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",4
"Right ventricular abnormality,","07.01.00","746.9",,"Q24.9",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",5
"Right ventricular aneurysm,","07.01.14","746.8",,"Q24.8",,"Aneurysm, Ventricular, Right (including pseudoaneurysm)","Abnormalities of ventricles and ventricular septum",6
"Right ventricular hypoplasia,","07.02.00","746.9",,"Q20.8",,"Hypoplastic RV","Abnormalities of ventricles and ventricular septum",7
"Double chambered right ventricle,","07.03.01","746.8",,"Q24.8",,"DCRV","Abnormalities of ventricles and ventricular septum",8
"Right ventricular outflow tract obstruction,","07.05.01","746.8",,"Q24.8",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",9
"Left ventricular abnormality,","07.06.00","746.9",,"Q24.9",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",10
"Left ventricular hypoplasia,","07.07.00","746.9",,"Q20.8",,"Hypoplastic LV","Abnormalities of ventricles and ventricular septum",11
"Left ventricular aneurysm,","07.06.13","746.8",,"Q24.8",,"Aneurysm, Ventricular, Left (including pseudoaneurysm)","Abnormalities of ventricles and ventricular septum",12
"Hypoplastic left heart syndrome,","01.01.09","746.7",,"Q23.4",,"Hypoplastic left heart syndrome (HLHS)","Abnormalities of ventricles and ventricular septum",13
"Left ventricular outflow tract obstruction,","07.09.01","746.8",,"Q24.8",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",14
"Shone's syndrome: left heart obstruction at multiple sites,","01.01.33","746.9",,"Q20.9",,"Shone's syndrome","Abnormalities of ventricles and ventricular septum",15
"Intact ventricular septum,","07.21.00","nc",,"nc",,,"Abnormalities of ventricles and ventricular septum",16
"Ventricular septal defect (VSD),","07.10.00","745.4",,"Q21.0",,"VSD","Abnormalities of ventricles and ventricular septum",17
"Single ventricular septal defect (VSD),","07.15.05","745.4",,"Q21.0",,"VSD","Abnormalities of ventricles and ventricular septum",18
"Multiple ventricular septal defect (VSD)s,","07.15.04","745.4",,"Q21.0",,"VSD, Multiple","Abnormalities of ventricles and ventricular septum",19
"Perimembranous ventricular septal defect (VSD),","07.10.01","745.4",,"Q21.0",,"VSD, Type 2 (Perimembranous) (Paramembranous) (Conoventricular)","Abnormalities of ventricles and ventricular septum",20
"Ventricular septal defect (VSD) + malaligned outlet septum,","07.10.12","745.4",,"Q21.0",,"VSD","Abnormalities of ventricles and ventricular septum",21
"Inlet ventricular septal defect (VSD),","07.14.05","745.4",,"Q21.0",,"VSD, Type 3 (Inlet), AV Canal type)","Abnormalities of ventricles and ventricular septum",22
"Muscular ventricular septal defect (VSD),","07.11.01","745.4",,"Q21.0",,"VSD, Type 4 (Muscular)","Abnormalities of ventricles and ventricular septum",23
"Subarterial ventricular septal defect (VSD),","07.12.00","745.4",,"Q21.0",,"VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","Abnormalities of ventricles and ventricular septum",24
"Doubly committed subarterial ventricular septal defect (VSD),","07.12.01","745.4",,"Q21.0",,"VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","Abnormalities of ventricles and ventricular septum",25
"Communication between left ventricle + right atrium (Gerbode defect),","07.14.02","745.4",,"Q21.0",,"VSD, Type: Gerbode type (LV-RA communication)","Abnormalities of ventricles and ventricular septum",26
"Spontaneous closure of ventricular septal defect (VSD),","07.16.01","V13.6",,"Z87.7",,,"Abnormalities of ventricles and ventricular septum",27
"Ventricular septal abnormality,","07.20.00","745.9",,"Q21.9",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",28
"Aneurysm of membranous septum,","07.20.01","745.9",,"Q21.9",,"Cardiac, Other","Abnormalities of ventricles and ventricular septum",29
"Abnormalities of ventriculo-arterial valves and great arteries",,,,,,,"Abnormalities of ventriculo-arterial valves and great arteries",1
"Aortopulmonary window,","09.04.01","745.0",,"Q21.4",,"AP window (aortopulmonary window)","Abnormalities of ventriculo-arterial valves and great arteries",2
"Pulmonary artery from ascending aorta (hemitruncus),","09.09.08","747.3",,"Q25.7",,"Pulmonary artery origin from ascending aorta (hemitruncus)","Abnormalities of ventriculo-arterial valves and great arteries",3
"Truncal valvar abnormality,","09.02.00","746.9",,"Q24.8",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",4
"Truncal valvar regurgitation,","09.02.03","746.9",,"Q24.8",,"Truncal valve insufficiency","Abnormalities of ventriculo-arterial valves and great arteries",5
"Pulmonary stenosis,","09.05.92","746.0",,"Q22.3",,"Pulmonary stenosis","Abnormalities of ventriculo-arterial valves and great arteries",6
"Subpulmonary stenosis,","07.05.30","746.8",,"Q24.3",,"Pulmonary stenosis, Subvalvar","Abnormalities of ventriculo-arterial valves and great arteries",7
"Pulmonary valvar abnormality,","09.05.00","746.0",,"Q22.3",,"Pulmonary valve, Other","Abnormalities of ventriculo-arterial valves and great arteries",8
"Pulmonary valvar stenosis,","09.05.01","746.0",,"Q22.1",,"Pulmonary stenosis, Valvar","Abnormalities of ventriculo-arterial valves and great arteries",9
"Pulmonary valvar stenosis: congenital,","09.05.04","746.0",,"Q22.1",,"Pulmonary stenosis, Valvar","Abnormalities of ventriculo-arterial valves and great arteries",10
"Pulmonary regurgitation,","09.05.91","746.0",,"Q22.2",,"Pulmonary insufficiency","Abnormalities of ventriculo-arterial valves and great arteries",11
"Pulmonary regurgitation: congenital,","09.05.22","746.0",,"Q22.2",,"Pulmonary insufficiency","Abnormalities of ventriculo-arterial valves and great arteries",12
"Pulmonary atresia,","09.05.11","746.0",,"Q22.0",,"Pulmonary atresia","Abnormalities of ventriculo-arterial valves and great arteries",13
"Pulmonary atresia: imperforate valve,","09.05.12","746.0",,"Q22.0",,"Pulmonary atresia","Abnormalities of ventriculo-arterial valves and great arteries",14
"Pulmonary atresia + intact ventricular septum,","01.01.07","746.0",,"Q22.0",,"Pulmonary atresia, IVS","Abnormalities of ventriculo-arterial valves and great arteries",15
"Coronary fistulas from RV ('sinusoidal'),","09.45.11","746.9",,"Q24.8",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",16
"Right ventricle dependent coronary circulation,","09.46.06","746.9",,"Q24.8",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",17
"Pulmonary trunk (MPA) abnormality,","09.07.00","747.3",,"Q25.7",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",18
"Supravalvar pulmonary trunk stenosis,","09.07.13","747.3",,"Q25.6",,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","Abnormalities of ventriculo-arterial valves and great arteries",19
"Pulmonary trunk hypoplasia,","09.07.11","747.3",,"Q25.7",,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","Abnormalities of ventriculo-arterial valves and great arteries",20
"Pulmonary arterial abnormality,","09.10.00","747.3",,"Q25.7",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",21
"Pulmonary arterial stenosis,","09.10.01","747.3",,"Q25.7",,"Pulmonary artery stenosis","Abnormalities of ventriculo-arterial valves and great arteries",22
"Central pulmonary arterial stenosis: proximal to hilar bifurcation,","09.10.07","747.3",,"Q25.6",,"Pulmonary artery stenosis, Branch, Central (within the hilar bifurcation)","Abnormalities of ventriculo-arterial valves and great arteries",23
"Peripheral pulmonary arterial stenoses: at-beyond hilar bifurcation,","09.10.06","747.3",,"Q25.6",,"Pulmonary artery stenosis, Branch, Peripheral (at or beyond the hilar bifurcation)","Abnormalities of ventriculo-arterial valves and great arteries",24
"Right pulmonary arterial stenosis,","09.10.25","747.3",,"Q25.6",,"Pulmonary artery stenosis","Abnormalities of ventriculo-arterial valves and great arteries",25
"Left pulmonary arterial stenosis,","09.10.26","747.3",,"Q25.6",,"Pulmonary artery stenosis","Abnormalities of ventriculo-arterial valves and great arteries",26
"Pulmonary arterial hypoplasia,","09.10.11","747.3",,"Q25.7",,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","Abnormalities of ventriculo-arterial valves and great arteries",27
"Discontinuous (non-confluent) pulmonary arteries,","09.10.10","747.3",,"Q25.7",,"Pulmonary artery, Discontinuous","Abnormalities of ventriculo-arterial valves and great arteries",28
"Pulmonary arterial aneurysm,","09.10.44","747.3",,"Q25.7",,"Aneurysm, Pulmonary artery","Abnormalities of ventriculo-arterial valves and great arteries",29
"Aortic stenosis,","09.15.92","746.3",,"Q23.0",,"Aortic stenosis,","Abnormalities of ventriculo-arterial valves and great arteries",30
"Subaortic stenosis,","07.09.00","746.8",,"Q24.4",,"Aortic stenosis, Subvalvar","Abnormalities of ventriculo-arterial valves and great arteries",31
"Subaortic stenosis due to fibromuscular shelf,","07.09.03","746.8",,"Q24.4",,"Aortic stenosis, Subvalvar","Abnormalities of ventriculo-arterial valves and great arteries",32
"Aortic valvar abnormality,","09.15.00","746.9",,"Q23.9",,"Aortic valve, Other","Abnormalities of ventriculo-arterial valves and great arteries",33
"Aortic valvar stenosis,","09.15.13","746.3",,"Q23.0",,"Aortic stenosis, Valvar","Abnormalities of ventriculo-arterial valves and great arteries",34
"Aortic valvar stenosis: congenital,","09.15.01","746.3",,"Q23.0",,"Aortic stenosis, Valvar","Abnormalities of ventriculo-arterial valves and great arteries",35
"Eccentric opening of tricuspid aortic valve,","09.15.12","746.9",,"Q23.8",,"Aortic valve, Other","Abnormalities of ventriculo-arterial valves and great arteries",36
"Aortic regurgitation,","09.15.91","746.4",,"Q23.1",,"Aortic insufficiency","Abnormalities of ventriculo-arterial valves and great arteries",37
"Aortic regurgitation: congenital,","09.15.07","746.4",,"Q23.1",,"Aortic insufficiency","Abnormalities of ventriculo-arterial valves and great arteries",38
"Bicuspid aortic valve,","09.15.22","746.4",,"Q23.1",,"Aortic valve, Other","Abnormalities of ventriculo-arterial valves and great arteries",39
"Aortic atresia,","09.15.03","746.7",,"Q23.0",,"Aortic valve atresia","Abnormalities of ventriculo-arterial valves and great arteries",40
"Aortic valvar prolapse,","09.15.30","746.9",,"Q23.8",,"Aortic valve, Other","Abnormalities of ventriculo-arterial valves and great arteries",41
"Aortic abnormality,","07.09.31","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",42
"Ascending aorta abnormality,","09.16.10","747.2",,"Q25.3",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",43
"Ascending aorta hypoplasia,","09.16.02","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",44
"Supravalvar aortic stenosis,","09.16.00","747.2",,"Q25.3",,"Aortic stenosis, Supravalvar","Abnormalities of ventriculo-arterial valves and great arteries",45
"Ascending aorta dilation,","09.16.09","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",46
"Ascending aorta dilation associated with Marfan syndrome,","09.16.05","747.2","759.8","Q87.4†","I79.0*","Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",47
"Aortic sinus of Valsalva aneurysm,","09.18.01","747.2",,"Q25.4",,"Sinus of Valsalva aneurysm","Abnormalities of ventriculo-arterial valves and great arteries",48
