"icd10_code","icd10_name","icd10am_code","icd10am_name","file_seq","icd10_seq","icd10_max"
"A07.2","Cryptosporidiosis","A07.2","Cryptosporidiosis",50,1,1
"A07.3","Isosporiasis","A07.3","Isosporiasis",51,1,1
"A07.8","Other specified protozoal intestinal diseases","A07.8","Other specified protozoal intestinal diseases",52,1,1
"A07.9","Protozoal intestinal disease, unspecified","A07.9","Protozoal intestinal disease, unspecified",53,1,1
"A08.0","Rotaviral enteritis","A08.0","Rotaviral enteritis",54,1,1
"A08.1","Acute gastroenteropathy due to Norovirus","A08.1","Acute gastroenteropathy due to Norovirus",55,1,1
"A08.2","Adenoviral enteritis","A08.2","Adenoviral enteritis",56,1,1
"A08.3","Other viral enteritis","A08.3","Other viral enteritis",57,1,1
"A08.4","Viral intestinal infection, unspecified","A08.4","Viral intestinal infection, unspecified",58,1,1
"A08.5","Other specified intestinal infections","A08.5","Other specified intestinal infections",59,1,1
"A09.0","Other and unspecified gastroenteritis and colitis of infectious origin","A09.0","Other gastroenteritis and colitis of infectious origin",60,1,1
"A09.9","Gastroenteritis and colitis of unspecified origin","A09.9","Gastroenteritis and colitis of unspecified origin",61,1,1
"A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",62,1,1
"A15.1","Tuberculosis of lung, confirmed by culture only","A15.1","Tuberculosis of lung, confirmed by culture only",63,1,1
"A15.2","Tuberculosis of lung, confirmed histologically","A15.2","Tuberculosis of lung, confirmed histologically",64,1,1
"A15.3","Tuberculosis of lung, confirmed by unspecified means","A15.3","Tuberculosis of lung, confirmed by unspecified means",65,1,1
"A15.4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","A15.4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",66,1,1
"A15.5","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","A15.5","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",67,1,1
"A15.6","Tuberculous pleurisy, confirmed bacteriologically and histologically","A15.6","Tuberculous pleurisy, confirmed bacteriologically and histologically",68,1,1
"A15.7","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","A15.7","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",69,1,1
"A15.8","Other respiratory tuberculosis, confirmed bacteriologically and histologically","A15.8","Other respiratory tuberculosis, confirmed bacteriologically and histologically",70,1,1
"A15.9","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","A15.9","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",71,1,1
"A16.0","Tuberculosis of lung, bacteriologically and histologically negative","A16.0","Tuberculosis of lung, bacteriologically and histologically negative",72,1,1
"A16.1","Tuberculosis of lung, bacteriological and histological examination not done","A16.1","Tuberculosis of lung, bacteriological and histological examination not done",73,1,1
"A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation","A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation",74,1,1
"A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",75,1,1
"A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",76,1,1
"A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",77,1,1
"A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation",78,1,1
"A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",79,1,1
"A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",80,1,1
"A17.0","Tuberculous meningitis","A17.0","Tuberculous meningitis",81,1,1
"A17.1","Meningeal tuberculoma","A17.1","Meningeal tuberculoma",82,1,1
"A17.8","Other tuberculosis of nervous system","A17.8","Other tuberculosis of nervous system",83,1,1
"A17.9","Tuberculosis of nervous system, unspecified","A17.9","Tuberculosis of nervous system, unspecified",84,1,1
"A18.0","Tuberculosis of bones and joints","A18.0","Tuberculosis of bones and joints",85,1,1
"A18.1","Tuberculosis of genitourinary system","A18.1","Tuberculosis of genitourinary system",86,1,1
"A18.2","Tuberculous peripheral lymphadenopathy","A18.2","Tuberculous peripheral lymphadenopathy",87,1,1
"A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands","A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands",88,1,1
"A18.4","Tuberculosis of skin and subcutaneous tissue","A18.4","Tuberculosis of skin and subcutaneous tissue",89,1,1
"A18.5","Tuberculosis of eye","A18.5","Tuberculosis of eye",90,1,1
"A18.6","Tuberculosis of ear","A18.6","Tuberculosis of ear",91,1,1
"A18.7","Tuberculosis of adrenal glands","A18.7","Tuberculosis of adrenal glands",92,1,1
"A18.8","Tuberculosis of other specified organs","A18.8","Tuberculosis of other specified organs",93,1,1
"A19.0","Acute miliary tuberculosis of a single specified site","A19.0","Acute miliary tuberculosis of a single specified site",94,1,1
"A19.1","Acute miliary tuberculosis of multiple sites","A19.1","Acute miliary tuberculosis of multiple sites",95,1,1
"A19.2","Acute miliary tuberculosis, unspecified","A19.2","Acute miliary tuberculosis, unspecified",96,1,1
"A19.8","Other miliary tuberculosis","A19.8","Other miliary tuberculosis",97,1,1
"A19.9","Miliary tuberculosis, unspecified","A19.9","Miliary tuberculosis, unspecified",98,1,1
"A20.0","Bubonic plague","A20.0","Bubonic plague",99,1,1
"A20.1","Cellulocutaneous plague","A20.1","Cellulocutaneous plague",100,1,1
"A20.2","Pneumonic plague","A20.2","Pneumonic plague",101,1,1
"A20.3","Plague meningitis","A20.3","Plague meningitis",102,1,1
"A20.7","Septicaemic plague","A20.7","Sepsis due to plague",103,1,1
"A20.8","Other forms of plague","A20.8","Other forms of plague",104,1,1
"A20.9","Plague, unspecified","A20.9","Plague, unspecified",105,1,1
"A21.0","Ulceroglandular tularaemia","A21.0","Ulceroglandular tularaemia",106,1,1
"A21.1","Oculoglandular tularaemia","A21.1","Oculoglandular tularaemia",107,1,1
"A21.2","Pulmonary tularaemia","A21.2","Pulmonary tularaemia",108,1,1
"A21.3","Gastrointestinal tularaemia","A21.3","Gastrointestinal tularaemia",109,1,1
"A21.7","Generalized tularaemia","A21.7","Sepsis due to tularaemia",110,1,1
"A21.8","Other forms of tularaemia","A21.8","Other forms of tularaemia",111,1,1
"A21.9","Tularaemia, unspecified","A21.9","Tularaemia, unspecified",112,1,1
"A22.0","Cutaneous anthrax","A22.0","Cutaneous anthrax",113,1,1
"A22.1","Pulmonary anthrax","A22.1","Pulmonary anthrax",114,1,1
"A22.2","Gastrointestinal anthrax","A22.2","Gastrointestinal anthrax",115,1,1
"A22.7","Anthrax sepsis","A22.7","Sepsis due to anthrax",116,1,1
"A22.8","Other forms of anthrax","A22.8","Other forms of anthrax",117,1,1
"A22.9","Anthrax, unspecified","A22.9","Anthrax, unspecified",118,1,1
"A23.0","Brucellosis due to Brucella melitensis","A23.0","Brucellosis due to Brucella melitensis",119,1,1
"A23.1","Brucellosis due to Brucella abortus","A23.1","Brucellosis due to Brucella abortus",120,1,1
"A23.2","Brucellosis due to Brucella suis","A23.2","Brucellosis due to Brucella suis",121,1,1
"A23.3","Brucellosis due to Brucella canis","A23.3","Brucellosis due to Brucella canis",122,1,1
"A23.8","Other brucellosis","A23.8","Other brucellosis",123,1,1
"A23.9","Brucellosis, unspecified","A23.9","Brucellosis, unspecified",124,1,2
"A23.9","Brucellosis, unspecified","A23.7","Sepsis due to Brucella",125,2,2
"A24.0","Glanders","A24.0","Glanders",126,1,1
"A24.1","Acute and fulminating melioidosis","A24.1","Acute and fulminating melioidosis",127,1,2
"A24.1","Acute and fulminating melioidosis","A24.7","Sepsis due to glanders and melioidosis",128,2,2
"A24.2","Subacute and chronic melioidosis","A24.2","Subacute and chronic melioidosis",129,1,1
"A24.3","Other melioidosis","A24.3","Other melioidosis",130,1,1
"A24.4","Melioidosis, unspecified","A24.4","Melioidosis, unspecified",131,1,1
"A25.0","Spirillosis","A25.0","Spirillosis",132,1,1
"A25.1","Streptobacillosis","A25.1","Streptobacillosis",133,1,1
"A25.9","Rat-bite fever, unspecified","A25.9","Rat-bite fever, unspecified",134,1,1
"A26.0","Cutaneous erysipeloid","A26.0","Cutaneous erysipeloid",135,1,1
"A26.7","Erysipelothrix sepsis","A26.7","Sepsis due to Erysipelothrix [erysipeloid] [rhusiopathiae]",136,1,1
"A26.8","Other forms of erysipeloid","A26.8","Other forms of erysipeloid",137,1,1
"A26.9","Erysipeloid, unspecified","A26.9","Erysipeloid, unspecified",138,1,1
"A27.0","Leptospirosis icterohaemorrhagica","A27.0","Leptospirosis icterohaemorrhagica",139,1,1
"A27.8","Other forms of leptospirosis","A27.8","Other forms of leptospirosis",140,1,1
"A27.9","Leptospirosis, unspecified","A27.9","Leptospirosis, unspecified",141,1,1
"A28.0","Pasteurellosis","A28.00","Pasteurellosis, not elsewhere classified",142,1,2
"A28.0","Pasteurellosis","A28.01","Sepsis due to Pasteurella, not elsewhere classified",143,2,2
"A28.1","Cat-scratch disease","A28.1","Cat-scratch disease",144,1,1
"A28.2","Extraintestinal yersiniosis","A28.20","Extraintestinal yersiniosis, not elsewhere classified",145,1,2
"A28.2","Extraintestinal yersiniosis","A28.21","Sepsis due to extraintestinal yersiniosis",146,2,2
"A28.8","Other specified zoonotic bacterial diseases, not elsewhere classified","A28.8","Other specified zoonotic bacterial diseases, not elsewhere classified",147,1,1
"A28.9","Zoonotic bacterial disease, unspecified","A28.9","Zoonotic bacterial disease, unspecified",148,1,1
"A30.0","Indeterminate leprosy","A30.0","Indeterminate leprosy",149,1,1
"A30.1","Tuberculoid leprosy","A30.1","Tuberculoid leprosy",150,1,1
"A30.2","Borderline tuberculoid leprosy","A30.2","Borderline tuberculoid leprosy",151,1,1
"A30.3","Borderline leprosy","A30.3","Borderline leprosy",152,1,1
"A30.4","Borderline lepromatous leprosy","A30.4","Borderline lepromatous leprosy",153,1,1
"A30.5","Lepromatous leprosy","A30.5","Lepromatous leprosy",154,1,1
"A30.8","Other forms of leprosy","A30.8","Other forms of leprosy",155,1,1
"A30.9","Leprosy, unspecified","A30.9","Leprosy, unspecified",156,1,1
"A31.0","Pulmonary mycobacterial infection","A31.0","Pulmonary mycobacterial infection",157,1,1
"A31.1","Cutaneous mycobacterial infection","A31.1","Cutaneous mycobacterial infection",158,1,1
"A31.8","Other mycobacterial infections","A31.8","Other mycobacterial infections",159,1,1
"A31.9","Mycobacterial infection, unspecified","A31.9","Mycobacterial infection, unspecified",160,1,1
"A32.0","Cutaneous listeriosis","A32.0","Cutaneous listeriosis",161,1,1
"A32.1","Listerial meningitis and meningoencephalitis","A32.1","Listerial meningitis and meningoencephalitis",162,1,1
"A32.7","Listerial sepsis","A32.7","Sepsis due to Listeria [monocytogenes]",163,1,1
"A32.8","Other forms of listeriosis","A32.8","Other forms of listeriosis",164,1,1
"A32.9","Listeriosis, unspecified","A32.9","Listeriosis, unspecified",165,1,1
"A33","Tetanus neonatorum","A33","Tetanus neonatorum",166,1,1
"A34","Obstetrical tetanus","A34","Obstetrical tetanus",167,1,1
"A35","Other tetanus","A35","Other tetanus",168,1,1
"A36.0","Pharyngeal diphtheria","A36.0","Pharyngeal diphtheria",169,1,1
"A36.1","Nasopharyngeal diphtheria","A36.1","Nasopharyngeal diphtheria",170,1,1
"A36.2","Laryngeal diphtheria","A36.2","Laryngeal diphtheria",171,1,1
"A36.3","Cutaneous diphtheria","A36.3","Cutaneous diphtheria",172,1,1
"A36.8","Other diphtheria","A36.8","Other diphtheria",173,1,1
"A36.9","Diphtheria, unspecified","A36.9","Diphtheria, unspecified",174,1,1
"A37.0","Whooping cough due to Bordetella pertussis","A37.0","Whooping cough due to Bordetella pertussis",175,1,1
"A37.1","Whooping cough due to Bordetella parapertussis","A37.1","Whooping cough due to Bordetella parapertussis",176,1,1
"A37.8","Whooping cough due to other Bordetella species","A37.8","Whooping cough due to other Bordetella species",177,1,1
"A37.9","Whooping cough, unspecified","A37.9","Whooping cough, unspecified",178,1,1
"A38","Scarlet fever","A38","Scarlet fever",179,1,1
"A39.0","Meningococcal meningitis","A39.0","Meningococcal meningitis",180,1,1
"A39.1","Waterhouse-Friderichsen syndrome","A39.1","Waterhouse-Friderichsen syndrome (E35.1*)",181,1,1
"A39.2","Acute meningococcaemia","A39.2","Acute meningococcaemia",182,1,1
"A39.3","Chronic meningococcaemia","A39.3","Chronic meningococcaemia",183,1,1
"A39.4","Meningococcaemia, unspecified","A39.4","Meningococcaemia, unspecified",184,1,2
"A39.4","Meningococcaemia, unspecified","A39.7","Sepsis due to Meningococcus",185,2,2
"A39.5","Meningococcal heart disease","A39.5","Meningococcal heart disease",186,1,1
"A39.8","Other meningococcal infections","A39.8","Other meningococcal infections",187,1,1
"A39.9","Meningococcal infection, unspecified","A39.9","Meningococcal infection, unspecified",188,1,1
"A40.0","Sepsis due to streptococcus, group A","A40.0","Sepsis due to Streptococcus, group A",189,1,1
"A40.1","Sepsis due to streptococcus, group B","A40.1","Sepsis due to Streptococcus, group B",190,1,1
"A40.2","Sepsis due to streptococcus, group D and enterococcus","A40.21","Sepsis due to Streptococcus, group D",191,1,2
"A40.2","Sepsis due to streptococcus, group D and enterococcus","A40.22","Sepsis due to Enterococcus",192,2,2
"A40.3","Sepsis due to Streptococcus pneumoniae","A40.3","Sepsis due to Streptococcus pneumoniae",193,1,1
"A40.8","Other streptococcal sepsis","A40.8","Other streptococcal sepsis",194,1,1
"A40.9","Streptococcal sepsis, unspecified","A40.9","Streptococcal sepsis, unspecified",195,1,1
"A41.0","Sepsis due to Staphylococcus aureus","A41.0","Sepsis due to Staphylococcus aureus",196,1,1
"A41.1","Sepsis due to other specified staphylococcus","A41.1","Sepsis due to other specified Staphylococcus",197,1,1
"A41.2","Sepsis due to unspecified staphylococcus","A41.2","Sepsis due to unspecified Staphylococcus",198,1,1
"A41.3","Sepsis due to Haemophilus influenzae","A41.3","Sepsis due to Haemophilus influenzae",199,1,1
"A41.4","Sepsis due to anaerobes","A41.4","Sepsis due to anaerobes",200,1,1
"A41.5","Sepsis due to other Gram-negative organisms","A41.50","Sepsis due to unspecified Gram-negative organisms",201,1,4
"A41.5","Sepsis due to other Gram-negative organisms","A41.58","Sepsis due to other Gram-negative organisms",202,2,4
"A41.5","Sepsis due to other Gram-negative organisms","A41.51","Sepsis due to Escherichia coli [E. Coli]",203,3,4
"A41.5","Sepsis due to other Gram-negative organisms","A41.52","Sepsis due to Pseudomonas",204,4,4
"A41.8","Other specified sepsis","A41.8","Sepsis due to other specified organism",205,1,1
"A41.9","Sepsis, unspecified","A41.9","Sepsis, unspecified",206,1,1
"A42.0","Pulmonary actinomycosis","A42.0","Pulmonary actinomycosis",207,1,1
"A42.1","Abdominal actinomycosis","A42.1","Abdominal actinomycosis",208,1,1
"A42.2","Cervicofacial actinomycosis","A42.2","Cervicofacial actinomycosis",209,1,1
"A42.7","Actinomycotic sepsis","A42.7","Sepsis due to actinomycosis",210,1,1
"A42.8","Other forms of actinomycosis","A42.8","Other forms of actinomycosis",211,1,1
"A42.9","Actinomycosis, unspecified","A42.9","Actinomycosis, unspecified",212,1,1
"A43.0","Pulmonary nocardiosis","A43.0","Pulmonary nocardiosis",213,1,1
"A43.1","Cutaneous nocardiosis","A43.1","Cutaneous nocardiosis",214,1,1
"A43.8","Other forms of nocardiosis","A43.8","Other forms of nocardiosis",215,1,1
"A43.9","Nocardiosis, unspecified","A43.9","Nocardiosis, unspecified",216,1,1
"A44.0","Systemic bartonellosis","A44.0","Systemic bartonellosis",217,1,1
"A44.1","Cutaneous and mucocutaneous bartonellosis","A44.1","Cutaneous and mucocutaneous bartonellosis",218,1,1
"A44.8","Other forms of bartonellosis","A44.8","Other forms of bartonellosis",219,1,1
"A44.9","Bartonellosis, unspecified","A44.9","Bartonellosis, unspecified",220,1,1
"A46","Erysipelas","A46","Erysipelas",221,1,1
"A48.0","Gas gangrene","A48.0","Gas gangrene",222,1,1
"A48.1","Legionnaires disease","A48.1","Legionnaires' disease",223,1,1
"A48.2","Nonpneumonic Legionnaires disease [Pontiac fever]","A48.2","Nonpneumonic Legionnaires' disease [Pontiac fever]",224,1,1
"A48.3","Toxic shock syndrome","A48.3","Toxic shock syndrome",225,1,1
"A48.4","Brazilian purpuric fever","A48.4","Brazilian purpuric fever",226,1,1
"A48.8","Other specified bacterial diseases","A48.8","Other specified bacterial diseases",227,1,1
"A49.0","Staphylococcal infection, unspecified site","A49.00","Staphylococcal infection, unspecified site",228,1,2
"A49.0","Staphylococcal infection, unspecified site","A49.01","Staphylococcus aureus infection, unspecified site",229,2,2
"A49.1","Streptococcal and enterococcal infection, unspecified site","A49.11","Streptococcal infection, unspecified site",230,1,2
"A49.1","Streptococcal and enterococcal infection, unspecified site","A49.12","Enterococcal infection, unspecified site",231,2,2
"A49.2","Haemophilus influenzae infection, unspecified site","A49.2","Haemophilus influenzae infection, unspecified site",232,1,1
"A49.3","Mycoplasma infection, unspecified site","A49.3","Mycoplasma infection, unspecified site",233,1,1
"A49.8","Other bacterial infections of unspecified site","A49.81","Bacteroides (fragilis) infection, unspecified site",234,1,8
"A49.8","Other bacterial infections of unspecified site","A49.82","Burkholderia infection not elsewhere classified, unspecified site",235,2,8
"A49.8","Other bacterial infections of unspecified site","A49.83","Campylobacter infection, unspecified site",236,3,8
"A49.8","Other bacterial infections of unspecified site","A49.84","Escherichia coli [E. coli] infection, unspecified site",237,4,8
"A49.8","Other bacterial infections of unspecified site","A49.85","Klebsiella pneumoniae [K. pneumoniae] infection, unspecified site",238,5,8
"A49.8","Other bacterial infections of unspecified site","A49.86","Proteus (mirabilis), Morganella (morganii) and Providencia (rettgeri) infection, unspecified site",239,6,8
"A49.8","Other bacterial infections of unspecified site","A49.87","Pseudomonas (aeruginosa) infection, unspecified site",240,7,8
"A49.8","Other bacterial infections of unspecified site","A49.89","Other bacterial infection of unspecified site",241,8,8
"A49.9","Bacterial infection, unspecified","A49.9","Bacterial infection, unspecified",242,1,1
"A50.0","Early congenital syphilis, symptomatic","A50.0","Early congenital syphilis, symptomatic",243,1,1
"A50.1","Early congenital syphilis, latent","A50.1","Early congenital syphilis, latent",244,1,1
"A50.2","Early congenital syphilis, unspecified","A50.2","Early congenital syphilis, unspecified",245,1,1
"A50.3","Late congenital syphilitic oculopathy","A50.3","Late congenital syphilitic oculopathy",246,1,1
"A50.4","Late congenital neurosyphilis [juvenile neurosyphilis]","A50.4","Late congenital neurosyphilis [juvenile neurosyphilis]",247,1,1
"A50.5","Other late congenital syphilis, symptomatic","A50.5","Other late congenital syphilis, symptomatic",248,1,1
"A50.6","Late congenital syphilis, latent","A50.6","Late congenital syphilis, latent",249,1,1
"A50.7","Late congenital syphilis, unspecified","A50.7","Late congenital syphilis, unspecified",250,1,1
"A50.9","Congenital syphilis, unspecified","A50.9","Congenital syphilis, unspecified",251,1,1
"A51.0","Primary genital syphilis","A51.0","Primary genital syphilis",252,1,1
"A51.1","Primary anal syphilis","A51.1","Primary anal syphilis",253,1,1
"A51.2","Primary syphilis of other sites","A51.2","Primary syphilis of other sites",254,1,1
"A51.3","Secondary syphilis of skin and mucous membranes","A51.3","Secondary syphilis of skin and mucous membranes",255,1,1
"A51.4","Other secondary syphilis","A51.4","Other secondary syphilis",256,1,1
"A51.5","Early syphilis, latent","A51.5","Early syphilis, latent",257,1,1
"A51.9","Early syphilis, unspecified","A51.9","Early syphilis, unspecified",258,1,1
"A52.0","Cardiovascular syphilis","A52.0","Cardiovascular syphilis (I98.0*)",259,1,1
"A52.1","Symptomatic neurosyphilis","A52.1","Symptomatic neurosyphilis",260,1,1
"A52.2","Asymptomatic neurosyphilis","A52.2","Asymptomatic neurosyphilis",261,1,1
"A52.3","Neurosyphilis, unspecified","A52.3","Neurosyphilis, unspecified",262,1,1
"A52.7","Other symptomatic late syphilis","A52.7","Other symptomatic late syphilis",263,1,1
"A52.8","Late syphilis, latent","A52.8","Late syphilis, latent",264,1,1
"A52.9","Late syphilis, unspecified","A52.9","Late syphilis, unspecified",265,1,1
"A53.0","Latent syphilis, unspecified as early or late","A53.0","Latent syphilis, unspecified as early or late",266,1,1
"A53.9","Syphilis, unspecified","A53.9","Syphilis, unspecified",267,1,1
"A54.0","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess","A54.0","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess",268,1,1
"A54.1","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess","A54.1","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess",269,1,1
"A54.2","Gonococcal pelviperitonitis and other gonococcal genitourinary infections","A54.2","Gonococcal pelviperitonitis and other gonococcal genitourinary infections",270,1,1
"A54.3","Gonococcal infection of eye","A54.3","Gonococcal infection of eye",271,1,1
"A54.4","Gonococcal infection of musculoskeletal system","A54.4","Gonococcal infection of musculoskeletal system",272,1,1
"A54.5","Gonococcal pharyngitis","A54.5","Gonococcal pharyngitis",273,1,1
"A54.6","Gonococcal infection of anus and rectum","A54.6","Gonococcal infection of anus and rectum",274,1,1
"A54.8","Other gonococcal infections","A54.8","Other gonococcal infections",275,1,2
"A54.8","Other gonococcal infections","A54.7","Sepsis due to Gonococcus",276,2,2
"A54.9","Gonococcal infection, unspecified","A54.9","Gonococcal infection, unspecified",277,1,1
"A55","Chlamydial lymphogranuloma (venereum)","A55","Chlamydial lymphogranuloma (venereum)",278,1,1
"A56.0","Chlamydial infection of lower genitourinary tract","A56.0","Chlamydial infection of lower genitourinary tract",279,1,1
"A56.1","Chlamydial infection of pelviperitoneum and other genitourinary organs","A56.1","Chlamydial infection of pelviperitoneum and other genitourinary organs",280,1,1
"A56.2","Chlamydial infection of genitourinary tract, unspecified","A56.2","Chlamydial infection of genitourinary tract, unspecified",281,1,1
"A56.3","Chlamydial infection of anus and rectum","A56.3","Chlamydial infection of anus and rectum",282,1,1
"A56.4","Chlamydial infection of pharynx","A56.4","Chlamydial infection of pharynx",283,1,1
"A56.8","Sexually transmitted chlamydial infection of other sites","A56.8","Sexually transmitted chlamydial infection of other sites",284,1,1
"A57","Chancroid","A57","Chancroid",285,1,1
"A58","Granuloma inguinale","A58","Granuloma inguinale",286,1,1
"A59.0","Urogenital trichomoniasis","A59.0","Urogenital trichomoniasis",287,1,1
"A59.8","Trichomoniasis of other sites","A59.8","Trichomoniasis of other sites",288,1,1
"A59.9","Trichomoniasis, unspecified","A59.9","Trichomoniasis, unspecified",289,1,1
"A60.0","Herpesviral infection of genitalia and urogenital tract","A60.0","Herpesviral infection of genitalia and urogenital tract",290,1,1
"A60.1","Herpesviral infection of perianal skin and rectum","A60.1","Herpesviral infection of perianal skin and rectum",291,1,1
