"","icd10am_code","icd10am_name","epcc_code","epcc_name","chapter_groups","block","block_desc","chapter_range","chapter_desc","epcc_code_source","in_drt"
"20","A03.9","Shigellosis, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"21","A04.0","Enteropathogenic Escherichia coli infection",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"22","A04.1","Enterotoxigenic Escherichia coli infection",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"23","A04.2","Enteroinvasive Escherichia coli infection",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"24","A04.3","Enterohaemorrhagic Escherichia coli infection",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"25","A04.4","Other intestinal Escherichia coli infection",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"26","A04.5","Campylobacter enteritis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"27","A04.6","Enteritis due to Yersinia enterocolitica",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"28","A04.7","Enterocolitis due to Clostridioides [Clostridium] difficile","15.82.32",,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)","epcc",FALSE
"29","A04.8","Other specified bacterial intestinal infection",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"30","A04.9","Bacterial intestinal infection, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"31","A05.0","Food-borne staphylococcal intoxication",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"32","A05.1","Botulism",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"33","A05.2","Food-borne Clostridium perfringens [Clostridium welchii] intoxication",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"34","A05.3","Food-borne Vibrio parahaemolyticus intoxication",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"35","A05.4","Food-borne Bacillus cereus intoxication",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"36","A05.8","Other specified bacterial food-borne intoxications",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"37","A05.9","Bacterial food-borne intoxication, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"38","A06.0","Acute amoebic dysentery",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"39","A06.1","Chronic intestinal amoebiasis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"40","A06.2","Amoebic nondysenteric colitis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"41","A06.3","Amoeboma of intestine",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"42","A06.4","Amoebic liver abscess",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"43","A06.5","Amoebic lung abscess",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"44","A06.6","Amoebic brain abscess",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"45","A06.7","Cutaneous amoebiasis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"46","A06.8","Amoebic infection of other sites",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"47","A06.9","Amoebiasis, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"48","A07.0","Balantidiasis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"49","A07.1","Giardiasis [lambliasis]",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"50","A07.2","Cryptosporidiosis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"51","A07.3","Isosporiasis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"52","A07.8","Other specified protozoal intestinal diseases",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"53","A07.9","Protozoal intestinal disease, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"54","A08.0","Rotaviral enteritis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"55","A08.1","Acute gastroenteropathy due to Norovirus",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"56","A08.2","Adenoviral enteritis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"57","A08.3","Other viral enteritis",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"58","A08.4","Viral intestinal infection, unspecified",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"59","A08.5","Other specified intestinal infections",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"60","A09.0","Other gastroenteritis and colitis of infectious origin",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"61","A09.9","Gastroenteritis and colitis of unspecified origin",,,"other","A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"62","A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"63","A15.1","Tuberculosis of lung, confirmed by culture only",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"64","A15.2","Tuberculosis of lung, confirmed histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"65","A15.3","Tuberculosis of lung, confirmed by unspecified means",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"66","A15.4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"67","A15.5","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"68","A15.6","Tuberculous pleurisy, confirmed bacteriologically and histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"69","A15.7","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"70","A15.8","Other respiratory tuberculosis, confirmed bacteriologically and histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"71","A15.9","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"72","A16.0","Tuberculosis of lung, bacteriologically and histologically negative",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"73","A16.1","Tuberculosis of lung, bacteriological and histological examination not done",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"74","A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"75","A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"76","A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"77","A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"78","A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"79","A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"80","A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"81","A17.0","Tuberculous meningitis",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"82","A17.1","Meningeal tuberculoma",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"83","A17.8","Other tuberculosis of nervous system",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"84","A17.9","Tuberculosis of nervous system, unspecified",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"85","A18.0","Tuberculosis of bones and joints",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"86","A18.1","Tuberculosis of genitourinary system",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"87","A18.2","Tuberculous peripheral lymphadenopathy",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"88","A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"89","A18.4","Tuberculosis of skin and subcutaneous tissue",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"90","A18.5","Tuberculosis of eye",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"91","A18.6","Tuberculosis of ear",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"92","A18.7","Tuberculosis of adrenal glands",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"93","A18.8","Tuberculosis of other specified organs",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"94","A19.0","Acute miliary tuberculosis of a single specified site",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"95","A19.1","Acute miliary tuberculosis of multiple sites",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"96","A19.2","Acute miliary tuberculosis, unspecified",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"97","A19.8","Other miliary tuberculosis",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"98","A19.9","Miliary tuberculosis, unspecified",,,"other","A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"99","A20.0","Bubonic plague",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"100","A20.1","Cellulocutaneous plague",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"101","A20.2","Pneumonic plague",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"102","A20.3","Plague meningitis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"103","A20.7","Sepsis due to plague",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"104","A20.8","Other forms of plague",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"105","A20.9","Plague, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"106","A21.0","Ulceroglandular tularaemia",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"107","A21.1","Oculoglandular tularaemia",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"108","A21.2","Pulmonary tularaemia",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"109","A21.3","Gastrointestinal tularaemia",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"110","A21.7","Sepsis due to tularaemia",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"111","A21.8","Other forms of tularaemia",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"112","A21.9","Tularaemia, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"113","A22.0","Cutaneous anthrax",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"114","A22.1","Pulmonary anthrax",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"115","A22.2","Gastrointestinal anthrax",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"116","A22.7","Sepsis due to anthrax",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"117","A22.8","Other forms of anthrax",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"118","A22.9","Anthrax, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"119","A23.0","Brucellosis due to Brucella melitensis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"120","A23.1","Brucellosis due to Brucella abortus",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"121","A23.2","Brucellosis due to Brucella suis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"122","A23.3","Brucellosis due to Brucella canis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"123","A23.7","Sepsis due to Brucella",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"124","A23.8","Other brucellosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"125","A23.9","Brucellosis, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"126","A24.0","Glanders",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"127","A24.1","Acute and fulminating melioidosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"128","A24.2","Subacute and chronic melioidosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"129","A24.3","Other melioidosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"130","A24.4","Melioidosis, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"131","A24.7","Sepsis due to glanders and melioidosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"132","A25.0","Spirillosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"133","A25.1","Streptobacillosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"134","A25.9","Rat-bite fever, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"135","A26.0","Cutaneous erysipeloid",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"136","A26.7","Sepsis due to Erysipelothrix [erysipeloid] [rhusiopathiae]",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"137","A26.8","Other forms of erysipeloid",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"138","A26.9","Erysipeloid, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"139","A27.0","Leptospirosis icterohaemorrhagica",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"140","A27.8","Other forms of leptospirosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"141","A27.9","Leptospirosis, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"142","A28.00","Pasteurellosis, not elsewhere classified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"143","A28.01","Sepsis due to Pasteurella, not elsewhere classified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"144","A28.1","Cat-scratch disease",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"145","A28.20","Extraintestinal yersiniosis, not elsewhere classified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"146","A28.21","Sepsis due to extraintestinal yersiniosis",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"147","A28.8","Other specified zoonotic bacterial diseases, not elsewhere classified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"148","A28.9","Zoonotic bacterial disease, unspecified",,,"other","A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"149","A30.0","Indeterminate leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"150","A30.1","Tuberculoid leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"151","A30.2","Borderline tuberculoid leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"152","A30.3","Borderline leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"153","A30.4","Borderline lepromatous leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"154","A30.5","Lepromatous leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"155","A30.8","Other forms of leprosy",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"156","A30.9","Leprosy, unspecified",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"157","A31.0","Pulmonary mycobacterial infection",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"158","A31.1","Cutaneous mycobacterial infection",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"159","A31.8","Other mycobacterial infections",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"160","A31.9","Mycobacterial infection, unspecified",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"161","A32.0","Cutaneous listeriosis",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"162","A32.1","Listerial meningitis and meningoencephalitis",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"163","A32.7","Sepsis due to Listeria [monocytogenes]",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"164","A32.8","Other forms of listeriosis",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"165","A32.9","Listeriosis, unspecified",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"166","A33","Tetanus neonatorum",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"167","A34","Obstetrical tetanus",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"168","A35","Other tetanus",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"169","A36.0","Pharyngeal diphtheria",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"170","A36.1","Nasopharyngeal diphtheria",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
"171","A36.2","Laryngeal diphtheria",,,"other","A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)",,FALSE
