"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Abnormalities of position and connection of heart","Congenitally corrected transposition of great arteries (discordant atrioventricular & ventriculo-arterial connections),","01.01.03","Q20.5","Discordant atrioventricular connection",,"Q20.50","Discordant atrioventricular connection, unspecified","Q20.59, Q20.51, Q20.52","Congenitally corrected TGA","745.1",
"Abnormalities of position and connection of heart","Double outlet right ventricle,","01.01.04","Q20.1","Double outlet right ventricle",,"Q20.1","Double outlet right ventricle",,"DORV","746.8",
"Abnormalities of position and connection of heart","Double outlet right ventricle: Fallot type (subaortic or doubly committed ventricular septal defect & pulmonary stenosis),","01.01.17","Q20.1","Double outlet right ventricle",,"Q20.1","Double outlet right ventricle",,"DORV, TOF type","746.8",
"Abnormalities of position and connection of heart","Double outlet right ventricle: transposition type (subpulmonary ventricular septal defect),","01.01.18","Q20.1","Double outlet right ventricle",,"Q20.1","Double outlet right ventricle",,"DORV, TGA type","746.8",
"Abnormalities of position and connection of heart","Double outlet right ventricle: with non-committed ventricular septal defect,","01.01.19","Q20.1","Double outlet right ventricle",,"Q20.1","Double outlet right ventricle",,"DORV, Remote VSD (Uncommitted VSD)","746.8",
"Abnormalities of position and connection of heart","Double outlet right ventricle: subaortic or doubly committed ventricular septal defect without pulmonary stenosis ('VSD type'),","01.01.40","Q20.1","Double outlet right ventricle",,"Q20.1","Double outlet right ventricle",,"DORV, VSD type","746.8",
"Abnormalities of position and connection of heart","Double outlet right ventricle: with intact ventricular septum,","01.01.24","Q20.1","Double outlet right ventricle",,"Q20.1","Double outlet right ventricle",,"DORV, IVS","746.8",
"Abnormalities of position and connection of heart","Double outlet left ventricle,","01.05.03","Q20.2","Double outlet left ventricle",,"Q20.2","Double outlet left ventricle",,"DOLV","746.8",
"Abnormalities of position and connection of heart","Common arterial trunk (truncus arteriosus),","09.01.01","Q20.0","Common arterial trunk",,"Q20.0","Common arterial trunk",,"Truncus arteriosus","745.0",
"Abnormalities of position and connection of heart","Concordant VA connections with parallel great arteries (anatomically corrected malposition),","01.05.10","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Cardiac, Other","746.9",
"Tetralogy of Fallot and variants","Tetralogy of Fallot,","01.01.01","Q21.3","Tetralogy of Fallot",,"Q21.3","Tetralogy of Fallot",,"TOF","745.2",
"Tetralogy of Fallot and variants","Pulmonary atresia + ventricular septal defect (VSD) (including Fallot type),","01.01.06","Q21.3","Tetralogy of Fallot",,"Q21.3","Tetralogy of Fallot",,"Pulmonary atresia, VSD (including TOF, PA)","745.2",
"Tetralogy of Fallot and variants","Pulmonary atresia + ventricular septal defect (VSD) + systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","01.01.25","Q21.3","Tetralogy of Fallot","Q27.8","Q21.3","Tetralogy of Fallot",,"Pulmonary atresia: VSD: MAPCA (pseudotruncus)","745.2","747.9"
"Tetralogy of Fallot and variants","Absent pulmonary valve syndrome: Fallot-type,","09.05.25","Q24.8","Other specified congenital malformations of heart","Q22.3","Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","TOF, Absent Pulmonary Valve","746.8","746.0"
"Tetralogy of Fallot and variants","Solitary arterial trunk (absent intrapericardial pulmonary arteries),","09.07.26","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Cardiac, Other","745.2",
"Tetralogy of Fallot and variants","Major systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),","09.08.01","Q27.8","Other specified congenital malformations of peripheral vascular system",,"Q27.8","Other specified congenital malformations of peripheral vascular system",,"MAPCA(s) (major aortopulmonary collateral[s]) (without PA-VSD)","747.9",
"Tetralogy of Fallot and variants","Systemic-to-pulmonary collateral arter(ies) (MAPCA(s)) stenosis(es),","09.20.25","Q27.8","Other specified congenital malformations of peripheral vascular system",,"Q27.8","Other specified congenital malformations of peripheral vascular system",,"MAPCA(s) (major aortopulmonary collateral[s]) (without PA-VSD)","747.9",
"Abnormalities of great veins","Superior caval vein (SVC) abnormality,","04.01.00","Q26.9","Congenital malformation of great vein, unspecified",,"Q26.9","Congenital malformation of great vein, unspecified",,"Systemic venous anomaly","747.4",
"Abnormalities of great veins","Left superior caval vein (SVC) persisting to coronary sinus,","04.01.01","Q26.1","Persistent left superior vena cava",,"Q26.1","Persistent left superior vena cava",,"Systemic venous anomaly","747.4",
"Abnormalities of great veins","Inferior caval vein (IVC) abnormality,","04.03.00","Q26.9","Congenital malformation of great vein, unspecified",,"Q26.9","Congenital malformation of great vein, unspecified",,"Systemic venous anomaly","747.4",
"Abnormalities of great veins","Inferior caval vein (IVC) interruption (absent suprarenal segment) with azygos continuation,","04.03.10","Q26.8","Other congenital malformations of great veins",,"Q26.89","Other specified congenital malformations of great veins","Q26.81","Systemic venous anomaly","747.4",
"Abnormalities of great veins","Hepatic vein abnormality,","04.02.00","Q26.8","Other congenital malformations of great veins",,"Q26.89","Other specified congenital malformations of great veins","Q26.81","Systemic venous anomaly","747.4",
"Abnormalities of great veins","Systemic vein abnormality: congenital,","04.05.00","Q26.9","Congenital malformation of great vein, unspecified",,"Q26.9","Congenital malformation of great vein, unspecified",,"Systemic venous anomaly","747.4",
"Abnormalities of great veins","Systemic venovenous collateral(s),","04.00.06","Q26.8","Other congenital malformations of great veins",,"Q26.89","Other specified congenital malformations of great veins","Q26.81","Systemic venous anomaly","747.4",
"Abnormalities of great veins","Pulmonary vein abnormality,","04.08.00","Q26.9","Congenital malformation of great vein, unspecified",,"Q26.9","Congenital malformation of great vein, unspecified",,"Cardiac, Other","747.4",
"Abnormalities of great veins","Pulmonary vein stenosis,","04.08.91","Q26.8","Other congenital malformations of great veins",,"Q26.89","Other specified congenital malformations of great veins","Q26.81","Pulmonary venous stenosis","747.4",
"Abnormalities of great veins","Totally anomalous pulmonary venous connection,","04.08.05","Q26.2","Total anomalous pulmonary venous connection",,"Q26.2","Total anomalous pulmonary venous connection",,"Total anomalous pulmonary venous connection","747.4",
"Abnormalities of great veins","Totally anomalous pulmonary venous connections: supracardiac,","04.06.00","Q26.2","Total anomalous pulmonary venous connection",,"Q26.2","Total anomalous pulmonary venous connection",,"Total anomalous pulmonary venous connection (TAPVC), Type 1 (supracardiac)","747.4",
"Abnormalities of great veins","Totally anomalous pulmonary venous connections: intracardiac,","04.08.10","Q26.2","Total anomalous pulmonary venous connection",,"Q26.2","Total anomalous pulmonary venous connection",,"Total anomalous pulmonary venous connection (TAPVC), Type 2 (cardiac)","747.4",
"Abnormalities of great veins","Totally anomalous pulmonary venous connections: infracardiac,","04.08.20","Q26.2","Total anomalous pulmonary venous connection",,"Q26.2","Total anomalous pulmonary venous connection",,"Total anomalous pulmonary venous connection (TAPVC), Type 3 (infracardiac)","747.4",
"Abnormalities of great veins","Totally anomalous pulmonary venous connections: mixed,","04.08.30","Q26.2","Total anomalous pulmonary venous connection",,"Q26.2","Total anomalous pulmonary venous connection",,"Total anomalous pulmonary venous connection (TAPVC), Type 4 (mixed)","747.4",
"Abnormalities of great veins","Partially anomalous pulmonary venous connection(s),","04.07.01","Q26.3","Partial anomalous pulmonary venous connection",,"Q26.3","Partial anomalous pulmonary venous connection",,"Partial anomalous pulmonary venous connection (PAPVC)","747.4",
"Abnormalities of great veins","Partially anomalous pulmonary venous connection: Scimitar syndrome,","01.01.16","Q26.8","Other congenital malformations of great veins",,"Q26.89","Other specified congenital malformations of great veins","Q26.81","Partial anomalous pulmonary venous connection (PAPCVC), Scimitar","747.4",
"Abnormalities of great veins","Obstructed pulmonary venous connection(s),","04.08.06","Q26.4","Anomalous pulmonary venous connection, unspecified",,"Q26.4","Anomalous pulmonary venous connection, unspecified",,"Cardiac, Other","747.4",
"Abnormalities of great veins","Coronary sinus abnormality,","04.04.00","Q24.5","Malformation of coronary vessels",,"Q24.5","Malformation of coronary vessels",,"Cardiac, Other","746.8",
"Abnormalities of atriums and atrial septum","Right atrial abnormality,","05.01.00","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Cardiac, Other","746.9",
"Abnormalities of atriums and atrial septum","Left atrial abnormality,","05.02.00","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Cardiac, Other","746.9",
"Abnormalities of atriums and atrial septum","Cor triatriatum (divided left atrium),","05.02.01","Q24.2","Cor triatriatum",,"Q24.2","Cor triatriatum",,"Cor triatriatum","746.8",
"Abnormalities of atriums and atrial septum","Intact atrial septum (no interatrial communication),","05.03.10","nc",,,,,,,"nc",
"Abnormalities of atriums and atrial septum","Atrial septum abnormality,","05.03.00","Q21.9","Congenital malformation of cardiac septum, unspecified",,"Q21.9","Congenital malformation of cardiac septum, unspecified",,"Cardiac, Other","745.5",
"Abnormalities of atriums and atrial septum","Patent foramen ovale (PFO),","05.03.01","Q21.1","Atrial septal defect",,"Q21.10","Atrial septal defect, unspecified","Q21.19, Q21.11, Q21.12, Q21.13, Q21.14, Q21.15","PFO","745.5",
"Abnormalities of atriums and atrial septum","Interatrial communication ('ASD'),","05.04.01","Q21.1","Atrial septal defect",,"Q21.10","Atrial septal defect, unspecified","Q21.19, Q21.11, Q21.12, Q21.13, Q21.14, Q21.15","ASD","745.5",
"Abnormalities of atriums and atrial septum","Atrial septal defect (ASD) within oval fossa (secundum),","05.04.02","Q21.1","Atrial septal defect",,"Q21.10","Atrial septal defect, unspecified","Q21.19, Q21.11, Q21.12, Q21.13, Q21.14, Q21.15","ASD, Secundum","745.5",
"Abnormalities of atriums and atrial septum","Spontaneous closure of atrial septal defect (ASD) within oval fossa (secundum),","05.04.03","nc",,,,,,,"nc",
"Abnormalities of atriums and atrial septum","Sinus venosus defect (ASD),","05.05.00","Q21.1","Atrial septal defect",,"Q21.10","Atrial septal defect, unspecified","Q21.19, Q21.11, Q21.12, Q21.13, Q21.14, Q21.15","ASD, sinus venosum","745.5",
"Abnormalities of atriums and atrial septum","Common atrium (virtual absence of atrial septum),","05.06.01","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","ASD, Common atrium (single atrium)","745.6",
"Abnormalities of atriums and atrial septum","Interatrial communication (ASD) through coronary sinus orifice,","05.05.03","Q21.1","Atrial septal defect",,"Q21.10","Atrial septal defect, unspecified","Q21.19, Q21.11, Q21.12, Q21.13, Q21.14, Q21.15","ASD, Coronary sinus","745.5",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Tricuspid valvar abnormality,","06.01.00","Q22.9","Congenital malformation of tricuspid valve, unspecified",,"Q22.9","Congenital malformation of tricuspid valve, unspecified",,"Tricuspid valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Tricuspid regurgitation,","06.01.91","Q22.8","Other congenital malformations of tricuspid valve",,"Q22.89","Other specified congenital malformations of tricuspid valve","Q22.81, Q22.82","Tricuspid regurgitation, non-Ebstein's related","746.8",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Tricuspid regurgitation: congenital,","06.01.25","Q22.8","Other congenital malformations of tricuspid valve",,"Q22.89","Other specified congenital malformations of tricuspid valve","Q22.81, Q22.82","Tricuspid regurgitation, non-Ebstein's related","746.8",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Tricuspid valvar dysplasia,","06.01.03","Q22.8","Other congenital malformations of tricuspid valve",,"Q22.89","Other specified congenital malformations of tricuspid valve","Q22.81, Q22.82","Tricuspid valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Straddling tricuspid valve,","06.01.09","Q22.8","Other congenital malformations of tricuspid valve",,"Q22.89","Other specified congenital malformations of tricuspid valve","Q22.81, Q22.82","Tricuspid valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Ebstein's malformation of tricuspid valve,","06.01.34","Q22.5","Ebstein anomaly",,"Q22.5","Ebstein's anomaly",,"Ebstein's anomaly","746.2",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Tricuspid stenosis,","06.01.92","Q22.4","Congenital tricuspid stenosis",,"Q22.41","Congenital tricuspid stenosis","Q22.42","Tricuspid stenosis","746.1",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral stenosis,","06.02.92","Q23.2","Congenital mitral stenosis",,"Q23.21","Congenital mitral stenosis","Q23.22","Mitral stenosis","746.5",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral valvar abnormality,","06.02.00","Q23.9","Congenital malformation of aortic and mitral valves, unspecified",,"Q23.9","Congenital malformation of aortic and mitral valves, unspecified",,"Mitral valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral regurgitation,","06.02.91","Q23.3","Congenital mitral insufficiency",,"Q23.3","Congenital mitral insufficiency",,"Mitral regurgitation","746.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral regurgitation: congenital,","06.02.25","Q23.3","Congenital mitral insufficiency",,"Q23.3","Congenital mitral insufficiency",,"Mitral regurgitation","746.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Straddling mitral valve,","06.02.09","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Q23.81, Q23.82, Q23.83","Mitral valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Supravalvar mitral ring,","05.02.02","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Mitral stenosis, Supravalvar mitral ring","746.8",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral valvar prolapse,","06.02.35","I34.1","Mitral (valve) prolapse",,"I34.1","Mitral (valve) prolapse",,"Mitral valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","True cleft of mitral leaflet (without atrioventricular septal defect),","06.02.36","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Q23.81, Q23.82, Q23.83","Mitral valve, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral valve stenosis,","06.02.93","Q23.2","Congenital mitral stenosis",,"Q23.21","Congenital mitral stenosis","Q23.22","Mitral stenosis, Valvar","746.5",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral valvar stenosis: congenital,","06.02.07","Q23.2","Congenital mitral stenosis",,"Q23.21","Congenital mitral stenosis","Q23.22","Mitral stenosis, Valvar","746.5",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral subvalvar apparatus abnormality,","06.02.12","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Q23.81, Q23.82, Q23.83","Mitral stenosis, subvalvar","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Mitral subvalvar stenosis,","06.02.13","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Q23.81, Q23.82, Q23.83","Mitral stenosis, subvalvar","746.8",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Parachute malformation of mitral valve,","06.02.56","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Q23.81, Q23.82, Q23.83","Mitral stenosis, Subvalvar, Parachute","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD),","06.06.00","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","AVC (AVSD)","745.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD): isolated atrial component (primum ASD)(partial),","06.06.01","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","AVC (AVSD), Partial (incomplete) (PAVSD) (ASD, Primum)","745.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD): isolated ventricular component,","06.06.08","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","AVC (AVSD)","745.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD): atrial & ventricular components with common atrioventricular orifice (complete),","06.06.09","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","AVC (AVSD), Complete (CAVSD)","745.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD): atrial & (restrictive) ventricular components + separate atrioventricular valve orifices ('intermediate'),","06.06.10","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","AVC (AVSD), Intermediate (transitional)","745.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD) with ventricular imbalance,","06.07.26","Q21.2","Atrioventricular septal defect",,"Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","Single ventricle, Unbalanced AV Canal","745.6",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD) atrioventricular valvar abnormality,","06.05.01","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.9",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect (AVSD) atrioventricular valvar regurgitation,","06.05.06","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.8",
"Abnormalities of atrioventricular valves and atrioventricular septal defect","Atrioventricular septal defect and Tetralogy of Fallot,","01.01.20","Q21.2","Atrioventricular septal defect","Q21.3","Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","TOF, AVC (AVSD)","745.6","745.2"
"Abnormalities of ventricles and ventricular septum","Functionally univentricular heart,","01.01.22","Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Single ventricle","746.9",
"Abnormalities of ventricles and ventricular septum","Ventricular imbalance: dominant left ventricle + hypoplastic right ventricle,","07.08.41","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Cardiac, Other","746.8",
"Abnormalities of ventricles and ventricular septum","Ventricular imbalance: dominant right ventricle + hypoplastic left ventricle,","07.08.42","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Cardiac, Other","746.8",
"Abnormalities of ventricles and ventricular septum","Right ventricular abnormality,","07.01.00","Q24.9","Congenital malformation of heart, unspecified",,"Q24.9","Congenital malformation of heart, unspecified",,"Cardiac, Other","746.9",
"Abnormalities of ventricles and ventricular septum","Right ventricular aneurysm,","07.01.14","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Aneurysm, Ventricular, Right (including pseudoaneurysm)","746.8",
"Abnormalities of ventricles and ventricular septum","Right ventricular hypoplasia,","07.02.00","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Hypoplastic RV","746.9",
"Abnormalities of ventricles and ventricular septum","Double chambered right ventricle,","07.03.01","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","DCRV","746.8",
"Abnormalities of ventricles and ventricular septum","Right ventricular outflow tract obstruction,","07.05.01","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.8",
"Abnormalities of ventricles and ventricular septum","Left ventricular abnormality,","07.06.00","Q24.9","Congenital malformation of heart, unspecified",,"Q24.9","Congenital malformation of heart, unspecified",,"Cardiac, Other","746.9",
"Abnormalities of ventricles and ventricular septum","Left ventricular hypoplasia,","07.07.00","Q20.8","Other congenital malformations of cardiac chambers and connections",,"Q20.89","Other specified congenital malformations of cardiac chambers and connections","Q20.81, Q20.82","Hypoplastic LV","746.9",
"Abnormalities of ventricles and ventricular septum","Left ventricular aneurysm,","07.06.13","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Aneurysm, Ventricular, Left (including pseudoaneurysm)","746.8",
"Abnormalities of ventricles and ventricular septum","Hypoplastic left heart syndrome,","01.01.09","Q23.4","Hypoplastic left heart syndrome",,"Q23.4","Hypoplastic left heart syndrome",,"Hypoplastic left heart syndrome (HLHS)","746.7",
"Abnormalities of ventricles and ventricular septum","Left ventricular outflow tract obstruction,","07.09.01","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.8",
"Abnormalities of ventricles and ventricular septum","Shone's syndrome: left heart obstruction at multiple sites,","01.01.33","Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Q20.9","Congenital malformation of cardiac chambers and connections, unspecified",,"Shone's syndrome","746.9",
