"icd10am_code","icd10am_name","epcc_code","epcc_name","epcc_code_source","chapter_groups","epcc_code_multiple","epcc_code_all","epcc_code_first","epcc_code_ks1","epcc_code_ks2","block","block_desc","chapter_range","chapter_desc"
"A08.0","Rotaviral enteritis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A08.1","Acute gastroenteropathy due to Norovirus",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A08.2","Adenoviral enteritis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A08.3","Other viral enteritis",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A08.4","Viral intestinal infection, unspecified",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A08.5","Other specified intestinal infections",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A09.0","Other gastroenteritis and colitis of infectious origin",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A09.9","Gastroenteritis and colitis of unspecified origin",,,,"other",,,,,,"A00-A09","Intestinal infectious diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.0","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.1","Tuberculosis of lung, confirmed by culture only",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.2","Tuberculosis of lung, confirmed histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.3","Tuberculosis of lung, confirmed by unspecified means",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.5","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.6","Tuberculous pleurisy, confirmed bacteriologically and histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.7","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.8","Other respiratory tuberculosis, confirmed bacteriologically and histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A15.9","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.0","Tuberculosis of lung, bacteriologically and histologically negative",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.1","Tuberculosis of lung, bacteriological and histological examination not done",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.2","Tuberculosis of lung, without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A17.0","Tuberculous meningitis",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A17.1","Meningeal tuberculoma",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A17.8","Other tuberculosis of nervous system",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A17.9","Tuberculosis of nervous system, unspecified",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.0","Tuberculosis of bones and joints",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.1","Tuberculosis of genitourinary system",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.2","Tuberculous peripheral lymphadenopathy",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.3","Tuberculosis of intestines, peritoneum and mesenteric glands",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.4","Tuberculosis of skin and subcutaneous tissue",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.5","Tuberculosis of eye",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.6","Tuberculosis of ear",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.7","Tuberculosis of adrenal glands",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A18.8","Tuberculosis of other specified organs",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A19.0","Acute miliary tuberculosis of a single specified site",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A19.1","Acute miliary tuberculosis of multiple sites",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A19.2","Acute miliary tuberculosis, unspecified",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A19.8","Other miliary tuberculosis",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A19.9","Miliary tuberculosis, unspecified",,,,"other",,,,,,"A15-A19","Tuberculosis","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.0","Bubonic plague",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.1","Cellulocutaneous plague",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.2","Pneumonic plague",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.3","Plague meningitis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.7","Sepsis due to plague",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.8","Other forms of plague",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A20.9","Plague, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.0","Ulceroglandular tularaemia",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.1","Oculoglandular tularaemia",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.2","Pulmonary tularaemia",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.3","Gastrointestinal tularaemia",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.7","Sepsis due to tularaemia",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.8","Other forms of tularaemia",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A21.9","Tularaemia, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A22.0","Cutaneous anthrax",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A22.1","Pulmonary anthrax",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A22.2","Gastrointestinal anthrax",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A22.7","Sepsis due to anthrax",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A22.8","Other forms of anthrax",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A22.9","Anthrax, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.0","Brucellosis due to Brucella melitensis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.1","Brucellosis due to Brucella abortus",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.2","Brucellosis due to Brucella suis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.3","Brucellosis due to Brucella canis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.7","Sepsis due to Brucella",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.8","Other brucellosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A23.9","Brucellosis, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A24.0","Glanders",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A24.1","Acute and fulminating melioidosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A24.2","Subacute and chronic melioidosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A24.3","Other melioidosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A24.4","Melioidosis, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A24.7","Sepsis due to glanders and melioidosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A25.0","Spirillosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A25.1","Streptobacillosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A25.9","Rat-bite fever, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A26.0","Cutaneous erysipeloid",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A26.7","Sepsis due to Erysipelothrix [erysipeloid] [rhusiopathiae]",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A26.8","Other forms of erysipeloid",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A26.9","Erysipeloid, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A27.0","Leptospirosis icterohaemorrhagica",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A27.8","Other forms of leptospirosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A27.9","Leptospirosis, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.00","Pasteurellosis, not elsewhere classified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.01","Sepsis due to Pasteurella, not elsewhere classified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.1","Cat-scratch disease",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.20","Extraintestinal yersiniosis, not elsewhere classified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.21","Sepsis due to extraintestinal yersiniosis",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.8","Other specified zoonotic bacterial diseases, not elsewhere classified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A28.9","Zoonotic bacterial disease, unspecified",,,,"other",,,,,,"A20-A28","Certain zoonotic bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.0","Indeterminate leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.1","Tuberculoid leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.2","Borderline tuberculoid leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.3","Borderline leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.4","Borderline lepromatous leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.5","Lepromatous leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.8","Other forms of leprosy",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A30.9","Leprosy, unspecified",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A31.0","Pulmonary mycobacterial infection",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A31.1","Cutaneous mycobacterial infection",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A31.8","Other mycobacterial infections",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A31.9","Mycobacterial infection, unspecified",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A32.0","Cutaneous listeriosis",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A32.1","Listerial meningitis and meningoencephalitis",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A32.7","Sepsis due to Listeria [monocytogenes]",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A32.8","Other forms of listeriosis",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A32.9","Listeriosis, unspecified",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A33","Tetanus neonatorum",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A34","Obstetrical tetanus",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A35","Other tetanus",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A36.0","Pharyngeal diphtheria",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
"A36.1","Nasopharyngeal diphtheria",,,,"other",,,,,,"A30-A49","Other bacterial diseases","A00-B99","Certain infectious and parasitic diseases (A00-B99)"
