"","epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq","icd10_seq","icd10_seq_max"
"44","Systemic-to-pulmonary collateral arter(ies) (MAPCA(s)) stenosis(es),","09.20.25","747.9",NA,"Q27.8",NA,"MAPCA(s) (major aortopulmonary collateral[s]) (without PA-VSD)","Tetralogy of Fallot and variants","8",2,6
"45","Superior caval vein (SVC) abnormality,","04.01.00","747.4",NA,"Q26.9",NA,"Systemic venous anomaly","Abnormalities of great veins","2",1,4
"46","Left superior caval vein (SVC) persisting to coronary sinus,","04.01.01","747.4",NA,"Q26.1",NA,"Systemic venous anomaly","Abnormalities of great veins","3",1,1
"47","Inferior caval vein (IVC) abnormality,","04.03.00","747.4",NA,"Q26.9",NA,"Systemic venous anomaly","Abnormalities of great veins","4",2,4
"48","Inferior caval vein (IVC) interruption (absent suprarenal segment) with azygos continuation,","04.03.10","747.4",NA,"Q26.8",NA,"Systemic venous anomaly","Abnormalities of great veins","5",1,5
"49","Hepatic vein abnormality,","04.02.00","747.4",NA,"Q26.8",NA,"Systemic venous anomaly","Abnormalities of great veins","6",2,5
"50","Systemic vein abnormality: congenital,","04.05.00","747.4",NA,"Q26.9",NA,"Systemic venous anomaly","Abnormalities of great veins","7",3,4
"51","Systemic venovenous collateral(s),","04.00.06","747.4",NA,"Q26.8",NA,"Systemic venous anomaly","Abnormalities of great veins","8",3,5
"52","Pulmonary vein abnormality,","04.08.00","747.4",NA,"Q26.9",NA,"Cardiac, Other","Abnormalities of great veins","9",4,4
"53","Pulmonary vein stenosis,","04.08.91","747.4",NA,"Q26.8",NA,"Pulmonary venous stenosis","Abnormalities of great veins","10",4,5
"54","Totally anomalous pulmonary venous connection,","04.08.05","747.4",NA,"Q26.2",NA,"Total anomalous pulmonary venous connection","Abnormalities of great veins","11",1,5
"55","Totally anomalous pulmonary venous connections: supracardiac,","04.06.00","747.4",NA,"Q26.2",NA,"Total anomalous pulmonary venous connection (TAPVC), Type 1 (supracardiac)","Abnormalities of great veins","12",2,5
"56","Totally anomalous pulmonary venous connections: intracardiac,","04.08.10","747.4",NA,"Q26.2",NA,"Total anomalous pulmonary venous connection (TAPVC), Type 2 (cardiac)","Abnormalities of great veins","13",3,5
"57","Totally anomalous pulmonary venous connections: infracardiac,","04.08.20","747.4",NA,"Q26.2",NA,"Total anomalous pulmonary venous connection (TAPVC), Type 3 (infracardiac)","Abnormalities of great veins","14",4,5
"58","Totally anomalous pulmonary venous connections: mixed,","04.08.30","747.4",NA,"Q26.2",NA,"Total anomalous pulmonary venous connection (TAPVC), Type 4 (mixed)","Abnormalities of great veins","15",5,5
"59","Partially anomalous pulmonary venous connection(s),","04.07.01","747.4",NA,"Q26.3",NA,"Partial anomalous pulmonary venous connection (PAPVC)","Abnormalities of great veins","16",1,1
"60","Partially anomalous pulmonary venous connection: Scimitar syndrome,","01.01.16","747.4",NA,"Q26.8",NA,"Partial anomalous pulmonary venous connection (PAPCVC), Scimitar","Abnormalities of great veins","17",5,5
"61","Obstructed pulmonary venous connection(s),","04.08.06","747.4",NA,"Q26.4",NA,"Cardiac, Other","Abnormalities of great veins","18",1,1
"62","Coronary sinus abnormality,","04.04.00","746.8",NA,"Q24.5",NA,"Cardiac, Other","Abnormalities of great veins","19",1,8
"63","Right atrial abnormality,","05.01.00","746.9",NA,"Q20.8",NA,"Cardiac, Other","Abnormalities of atriums and atrial septum","2",2,8
"64","Left atrial abnormality,","05.02.00","746.9",NA,"Q20.8",NA,"Cardiac, Other","Abnormalities of atriums and atrial septum","3",3,8
"65","Cor triatriatum (divided left atrium),","05.02.01","746.8",NA,"Q24.2",NA,"Cor triatriatum","Abnormalities of atriums and atrial septum","4",1,1
"66","Intact atrial septum (no interatrial communication),","05.03.10","nc",NA,"nc",NA,NA,"Abnormalities of atriums and atrial septum","5",6,11
"67","Atrial septum abnormality,","05.03.00","745.5",NA,"Q21.9",NA,"Cardiac, Other","Abnormalities of atriums and atrial septum","6",1,3
"68","Patent foramen ovale (PFO),","05.03.01","745.5",NA,"Q21.1",NA,"PFO","Abnormalities of atriums and atrial septum","7",1,6
"69","Interatrial communication ('ASD'),","05.04.01","745.5",NA,"Q21.1",NA,"ASD","Abnormalities of atriums and atrial septum","8",2,6
"70","Atrial septal defect (ASD) within oval fossa (secundum),","05.04.02","745.5",NA,"Q21.1",NA,"ASD, Secundum","Abnormalities of atriums and atrial septum","9",3,6
"71","Spontaneous closure of atrial septal defect (ASD) within oval fossa (secundum),","05.04.03","nc",NA,"nc",NA,NA,"Abnormalities of atriums and atrial septum","10",7,11
"72","Sinus venosus defect (ASD),","05.05.00","745.5",NA,"Q21.1",NA,"ASD, sinus venosum","Abnormalities of atriums and atrial septum","11",4,6
"73","Common atrium (virtual absence of atrial septum),","05.06.01","745.6",NA,"Q21.2",NA,"ASD, Common atrium (single atrium)","Abnormalities of atriums and atrial septum","12",1,10
"74","Interatrial communication (ASD) through coronary sinus orifice,","05.05.03","745.5",NA,"Q21.1",NA,"ASD, Coronary sinus","Abnormalities of atriums and atrial septum","13",5,6
"75","Tricuspid valvar abnormality,","06.01.00","746.9",NA,"Q22.9",NA,"Tricuspid valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","2",1,1
"76","Tricuspid regurgitation,","06.01.91","746.8",NA,"Q22.8",NA,"Tricuspid regurgitation, non-Ebstein's related","Abnormalities of atrioventricular valves and atrioventricular septal defect","3",1,5
"77","Tricuspid regurgitation: congenital,","06.01.25","746.8",NA,"Q22.8",NA,"Tricuspid regurgitation, non-Ebstein's related","Abnormalities of atrioventricular valves and atrioventricular septal defect","4",2,5
"78","Tricuspid valvar dysplasia,","06.01.03","746.9",NA,"Q22.8",NA,"Tricuspid valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","5",3,5
"79","Straddling tricuspid valve,","06.01.09","746.9",NA,"Q22.8",NA,"Tricuspid valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","6",4,5
"80","Ebstein's malformation of tricuspid valve,","06.01.34","746.2",NA,"Q22.5",NA,"Ebstein's anomaly","Abnormalities of atrioventricular valves and atrioventricular septal defect","7",1,1
"81","Tricuspid stenosis,","06.01.92","746.1",NA,"Q22.4",NA,"Tricuspid stenosis","Abnormalities of atrioventricular valves and atrioventricular septal defect","8",2,2
"82","Mitral stenosis,","06.02.92","746.5",NA,"Q23.2",NA,"Mitral stenosis","Abnormalities of atrioventricular valves and atrioventricular septal defect","9",2,5
"83","Mitral valvar abnormality,","06.02.00","746.9",NA,"Q23.9",NA,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","10",1,2
"84","Mitral regurgitation,","06.02.91","746.6",NA,"Q23.3",NA,"Mitral regurgitation","Abnormalities of atrioventricular valves and atrioventricular septal defect","11",1,3
"85","Mitral regurgitation: congenital,","06.02.25","746.6",NA,"Q23.3",NA,"Mitral regurgitation","Abnormalities of atrioventricular valves and atrioventricular septal defect","12",2,3
"86","Straddling mitral valve,","06.02.09","746.9",NA,"Q23.8",NA,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","13",1,7
"87","Supravalvar mitral ring,","05.02.02","746.8",NA,"Q20.8",NA,"Mitral stenosis, Supravalvar mitral ring","Abnormalities of atrioventricular valves and atrioventricular septal defect","14",4,8
"88","Mitral valvar prolapse,","06.02.35","746.9",NA,"I34.1",NA,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","15",1,1
"89","True cleft of mitral leaflet (without atrioventricular septal defect),","06.02.36","746.9",NA,"Q23.8",NA,"Mitral valve, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","16",2,7
"90","Mitral valve stenosis,","06.02.93","746.5",NA,"Q23.2",NA,"Mitral stenosis, Valvar","Abnormalities of atrioventricular valves and atrioventricular septal defect","17",3,5
"91","Mitral valvar stenosis: congenital,","06.02.07","746.5",NA,"Q23.2",NA,"Mitral stenosis, Valvar","Abnormalities of atrioventricular valves and atrioventricular septal defect","18",4,5
"92","Mitral subvalvar apparatus abnormality,","06.02.12","746.9",NA,"Q23.8",NA,"Mitral stenosis, subvalvar","Abnormalities of atrioventricular valves and atrioventricular septal defect","19",3,7
"93","Mitral subvalvar stenosis,","06.02.13","746.8",NA,"Q23.8",NA,"Mitral stenosis, subvalvar","Abnormalities of atrioventricular valves and atrioventricular septal defect","20",4,7
"94","Parachute malformation of mitral valve,","06.02.56","746.9",NA,"Q23.8",NA,"Mitral stenosis, Subvalvar, Parachute","Abnormalities of atrioventricular valves and atrioventricular septal defect","21",5,7
"95","Atrioventricular septal defect (AVSD),","06.06.00","745.6",NA,"Q21.2",NA,"AVC (AVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect","22",2,10
"96","Atrioventricular septal defect (AVSD): isolated atrial component (primum ASD)(partial),","06.06.01","745.6",NA,"Q21.2",NA,"AVC (AVSD), Partial (incomplete) (PAVSD) (ASD, Primum)","Abnormalities of atrioventricular valves and atrioventricular septal defect","23",3,10
"97","Atrioventricular septal defect (AVSD): isolated ventricular component,","06.06.08","745.6",NA,"Q21.2",NA,"AVC (AVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect","24",4,10
"98","Atrioventricular septal defect (AVSD): atrial & ventricular components with common atrioventricular orifice (complete),","06.06.09","745.6",NA,"Q21.2",NA,"AVC (AVSD), Complete (CAVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect","25",5,10
"99","Atrioventricular septal defect (AVSD): atrial & (restrictive) ventricular components + separate atrioventricular valve orifices ('intermediate'),","06.06.10","745.6",NA,"Q21.2",NA,"AVC (AVSD), Intermediate (transitional)","Abnormalities of atrioventricular valves and atrioventricular septal defect","26",6,10
"100","Atrioventricular septal defect (AVSD) with ventricular imbalance,","06.07.26","745.6",NA,"Q21.2",NA,"Single ventricle, Unbalanced AV Canal","Abnormalities of atrioventricular valves and atrioventricular septal defect","27",7,10
"101","Atrioventricular septal defect (AVSD) atrioventricular valvar abnormality,","06.05.01","746.9",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","28",4,21
"102","Atrioventricular septal defect (AVSD) atrioventricular valvar regurgitation,","06.05.06","746.8",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of atrioventricular valves and atrioventricular septal defect","29",5,21
"103","Atrioventricular septal defect and Tetralogy of Fallot,","01.01.20","745.6","745.2","Q21.2","Q21.3","TOF, AVC (AVSD)","Abnormalities of atrioventricular valves and atrioventricular septal defect","30",8,10
"104","Functionally univentricular heart,","01.01.22","746.9",NA,"Q20.9",NA,"Single ventricle","Abnormalities of ventricles and ventricular septum","2",3,4
"105","Ventricular imbalance: dominant left ventricle + hypoplastic right ventricle,","07.08.41","746.8",NA,"Q20.8",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","3",5,8
"106","Ventricular imbalance: dominant right ventricle + hypoplastic left ventricle,","07.08.42","746.8",NA,"Q20.8",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","4",6,8
"107","Right ventricular abnormality,","07.01.00","746.9",NA,"Q24.9",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","5",1,2
"108","Right ventricular aneurysm,","07.01.14","746.8",NA,"Q24.8",NA,"Aneurysm, Ventricular, Right (including pseudoaneurysm)","Abnormalities of ventricles and ventricular septum","6",6,21
"109","Right ventricular hypoplasia,","07.02.00","746.9",NA,"Q20.8",NA,"Hypoplastic RV","Abnormalities of ventricles and ventricular septum","7",7,8
"110","Double chambered right ventricle,","07.03.01","746.8",NA,"Q24.8",NA,"DCRV","Abnormalities of ventricles and ventricular septum","8",7,21
"111","Right ventricular outflow tract obstruction,","07.05.01","746.8",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","9",8,21
"112","Left ventricular abnormality,","07.06.00","746.9",NA,"Q24.9",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","10",2,2
"113","Left ventricular hypoplasia,","07.07.00","746.9",NA,"Q20.8",NA,"Hypoplastic LV","Abnormalities of ventricles and ventricular septum","11",8,8
"114","Left ventricular aneurysm,","07.06.13","746.8",NA,"Q24.8",NA,"Aneurysm, Ventricular, Left (including pseudoaneurysm)","Abnormalities of ventricles and ventricular septum","12",9,21
"115","Hypoplastic left heart syndrome,","01.01.09","746.7",NA,"Q23.4",NA,"Hypoplastic left heart syndrome (HLHS)","Abnormalities of ventricles and ventricular septum","13",1,1
"116","Left ventricular outflow tract obstruction,","07.09.01","746.8",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","14",10,21
"117","Shone's syndrome: left heart obstruction at multiple sites,","01.01.33","746.9",NA,"Q20.9",NA,"Shone's syndrome","Abnormalities of ventricles and ventricular septum","15",4,4
"118","Intact ventricular septum,","07.21.00","nc",NA,"nc",NA,NA,"Abnormalities of ventricles and ventricular septum","16",8,11
"119","Ventricular septal defect (VSD),","07.10.00","745.4",NA,"Q21.0",NA,"VSD","Abnormalities of ventricles and ventricular septum","17",1,11
"120","Single ventricular septal defect (VSD),","07.15.05","745.4",NA,"Q21.0",NA,"VSD","Abnormalities of ventricles and ventricular septum","18",2,11
"121","Multiple ventricular septal defect (VSD)s,","07.15.04","745.4",NA,"Q21.0",NA,"VSD, Multiple","Abnormalities of ventricles and ventricular septum","19",3,11
"122","Perimembranous ventricular septal defect (VSD),","07.10.01","745.4",NA,"Q21.0",NA,"VSD, Type 2 (Perimembranous) (Paramembranous) (Conoventricular)","Abnormalities of ventricles and ventricular septum","20",4,11
"123","Ventricular septal defect (VSD) + malaligned outlet septum,","07.10.12","745.4",NA,"Q21.0",NA,"VSD","Abnormalities of ventricles and ventricular septum","21",5,11
"124","Inlet ventricular septal defect (VSD),","07.14.05","745.4",NA,"Q21.0",NA,"VSD, Type 3 (Inlet), AV Canal type)","Abnormalities of ventricles and ventricular septum","22",6,11
"125","Muscular ventricular septal defect (VSD),","07.11.01","745.4",NA,"Q21.0",NA,"VSD, Type 4 (Muscular)","Abnormalities of ventricles and ventricular septum","23",7,11
"126","Subarterial ventricular septal defect (VSD),","07.12.00","745.4",NA,"Q21.0",NA,"VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","Abnormalities of ventricles and ventricular septum","24",8,11
"127","Doubly committed subarterial ventricular septal defect (VSD),","07.12.01","745.4",NA,"Q21.0",NA,"VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","Abnormalities of ventricles and ventricular septum","25",9,11
"128","Communication between left ventricle + right atrium (Gerbode defect),","07.14.02","745.4",NA,"Q21.0",NA,"VSD, Type: Gerbode type (LV-RA communication)","Abnormalities of ventricles and ventricular septum","26",10,11
"129","Spontaneous closure of ventricular septal defect (VSD),","07.16.01","V13.6",NA,"Z87.7",NA,NA,"Abnormalities of ventricles and ventricular septum","27",1,1
"130","Ventricular septal abnormality,","07.20.00","745.9",NA,"Q21.9",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","28",2,3
"131","Aneurysm of membranous septum,","07.20.01","745.9",NA,"Q21.9",NA,"Cardiac, Other","Abnormalities of ventricles and ventricular septum","29",3,3
"132","Aortopulmonary window,","09.04.01","745.0",NA,"Q21.4",NA,"AP window (aortopulmonary window)","Abnormalities of ventriculo-arterial valves and great arteries","2",1,1
"133","Pulmonary artery from ascending aorta (hemitruncus),","09.09.08","747.3",NA,"Q25.7",NA,"Pulmonary artery origin from ascending aorta (hemitruncus)","Abnormalities of ventriculo-arterial valves and great arteries","3",2,11
"134","Truncal valvar abnormality,","09.02.00","746.9",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries","4",11,21
"135","Truncal valvar regurgitation,","09.02.03","746.9",NA,"Q24.8",NA,"Truncal valve insufficiency","Abnormalities of ventriculo-arterial valves and great arteries","5",12,21
"136","Pulmonary stenosis,","09.05.92","746.0",NA,"Q22.3",NA,"Pulmonary stenosis","Abnormalities of ventriculo-arterial valves and great arteries","6",1,2
"137","Subpulmonary stenosis,","07.05.30","746.8",NA,"Q24.3",NA,"Pulmonary stenosis, Subvalvar","Abnormalities of ventriculo-arterial valves and great arteries","7",1,1
"138","Pulmonary valvar abnormality,","09.05.00","746.0",NA,"Q22.3",NA,"Pulmonary valve, Other","Abnormalities of ventriculo-arterial valves and great arteries","8",2,2
"139","Pulmonary valvar stenosis,","09.05.01","746.0",NA,"Q22.1",NA,"Pulmonary stenosis, Valvar","Abnormalities of ventriculo-arterial valves and great arteries","9",1,3
"140","Pulmonary valvar stenosis: congenital,","09.05.04","746.0",NA,"Q22.1",NA,"Pulmonary stenosis, Valvar","Abnormalities of ventriculo-arterial valves and great arteries","10",2,3
"141","Pulmonary regurgitation,","09.05.91","746.0",NA,"Q22.2",NA,"Pulmonary insufficiency","Abnormalities of ventriculo-arterial valves and great arteries","11",1,3
"142","Pulmonary regurgitation: congenital,","09.05.22","746.0",NA,"Q22.2",NA,"Pulmonary insufficiency","Abnormalities of ventriculo-arterial valves and great arteries","12",2,3
"143","Pulmonary atresia,","09.05.11","746.0",NA,"Q22.0",NA,"Pulmonary atresia","Abnormalities of ventriculo-arterial valves and great arteries","13",1,3
"144","Pulmonary atresia: imperforate valve,","09.05.12","746.0",NA,"Q22.0",NA,"Pulmonary atresia","Abnormalities of ventriculo-arterial valves and great arteries","14",2,3
"145","Pulmonary atresia + intact ventricular septum,","01.01.07","746.0",NA,"Q22.0",NA,"Pulmonary atresia, IVS","Abnormalities of ventriculo-arterial valves and great arteries","15",3,3
"146","Coronary fistulas from RV ('sinusoidal'),","09.45.11","746.9",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries","16",13,21
"147","Right ventricle dependent coronary circulation,","09.46.06","746.9",NA,"Q24.8",NA,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries","17",14,21
"148","Pulmonary trunk (MPA) abnormality,","09.07.00","747.3",NA,"Q25.7",NA,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries","18",3,11
"149","Supravalvar pulmonary trunk stenosis,","09.07.13","747.3",NA,"Q25.6",NA,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","Abnormalities of ventriculo-arterial valves and great arteries","19",1,7
"150","Pulmonary trunk hypoplasia,","09.07.11","747.3",NA,"Q25.7",NA,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","Abnormalities of ventriculo-arterial valves and great arteries","20",4,11
"151","Pulmonary arterial abnormality,","09.10.00","747.3",NA,"Q25.7",NA,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries","21",5,11
"152","Pulmonary arterial stenosis,","09.10.01","747.3",NA,"Q25.7",NA,"Pulmonary artery stenosis","Abnormalities of ventriculo-arterial valves and great arteries","22",6,11
"153","Central pulmonary arterial stenosis: proximal to hilar bifurcation,","09.10.07","747.3",NA,"Q25.6",NA,"Pulmonary artery stenosis, Branch, Central (within the hilar bifurcation)","Abnormalities of ventriculo-arterial valves and great arteries","23",2,7
"154","Peripheral pulmonary arterial stenoses: at-beyond hilar bifurcation,","09.10.06","747.3",NA,"Q25.6",NA,"Pulmonary artery stenosis, Branch, Peripheral (at or beyond the hilar bifurcation)","Abnormalities of ventriculo-arterial valves and great arteries","24",3,7
"155","Right pulmonary arterial stenosis,","09.10.25","747.3",NA,"Q25.6",NA,"Pulmonary artery stenosis","Abnormalities of ventriculo-arterial valves and great arteries","25",4,7
"156","Left pulmonary arterial stenosis,","09.10.26","747.3",NA,"Q25.6",NA,"Pulmonary artery stenosis","Abnormalities of ventriculo-arterial valves and great arteries","26",5,7
"157","Pulmonary arterial hypoplasia,","09.10.11","747.3",NA,"Q25.7",NA,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","Abnormalities of ventriculo-arterial valves and great arteries","27",7,11
"158","Discontinuous (non-confluent) pulmonary arteries,","09.10.10","747.3",NA,"Q25.7",NA,"Pulmonary artery, Discontinuous","Abnormalities of ventriculo-arterial valves and great arteries","28",8,11
"159","Pulmonary arterial aneurysm,","09.10.44","747.3",NA,"Q25.7",NA,"Aneurysm, Pulmonary artery","Abnormalities of ventriculo-arterial valves and great arteries","29",9,11
"160","Aortic stenosis,","09.15.92","746.3",NA,"Q23.0",NA,"Aortic stenosis,","Abnormalities of ventriculo-arterial valves and great arteries","30",1,5
"161","Subaortic stenosis,","07.09.00","746.8",NA,"Q24.4",NA,"Aortic stenosis, Subvalvar","Abnormalities of ventriculo-arterial valves and great arteries","31",1,2
