block,ascii_desc,ascii_short_desc,effective_from,inactive
112,Biopsy of parathyroid or thyroid gland,Biopsy of parathyroid or thyroid gland,1/7/1998,
1120,Repair of laceration of urethra,Repair of laceration of urethra,1/7/1998,
1121,Urethroplasty,Urethroplasty,1/7/1998,
1122,Other repair procedures on urethra,Other repair procedures on urethra,1/7/1998,
1123,Reconstruction procedures on urethra,Reconstruction procedures on urethra,1/7/1998,
1124,Revision procedures on urethra,Revision procedures on urethra,1/7/1998,
1125,Other procedures on urethra,Other procedures on urethra,1/7/1998,
1126,Destruction procedures on other sites of urinary system,Destruction proc on other sites urin sys,1/7/1998,
1127,Incision procedures on other sites of urinary system,Incision proc on other sites urinary sys,1/7/1998,
1128,Excision procedures on other sites of urinary system,Excision proc on other sites urinary sys,1/7/1998,
1129,Other procedures on urinary system,Other procedures on urinary system,1/7/2002,
113,Parathyroidectomy,Parathyroidectomy,1/7/1998,
114,Thyroidectomy,Thyroidectomy,1/7/1998,
115,Total thyroidectomy,Total thyroidectomy,1/7/1998,1/7/2010
116,Other excision procedures on thyroid or parathyroid gland,"Other excision proc thyroid/parathyroid",1/7/1998,
1160,"Application, insertion or removal procedures on prostate or seminal vesicle","Applicn ins R/O proc prostate/semnl vesc",1/7/1998,
1161,Incision procedures on prostate or seminal vesicle,"Incision proc on prostate/seminal vesc",1/7/1998,
1162,Destruction procedures on prostate,Destruction procedures on prostate,1/7/1998,
1163,Closed biopsy of prostate or seminal vesicle,Closed Bx prostate or seminal vesicle,1/7/1998,
1164,Open biopsy of prostate or seminal vesicle,Open Bx of prostate or seminal vesicle,1/7/1998,
1165,Transurethral prostatectomy,Transurethral prostatectomy,1/7/1998,1/7/2017
1166,Closed prostatectomy,Closed prostatectomy,1/7/1998,
1167,Open prostatectomy,Open prostatectomy,1/7/1998,
1168,Other excision procedures on prostate or seminal vesicle,"Oth excision proc prostate/seminal vesc",1/7/1998,
1169,Repair procedures on prostate or seminal vesicle,"Repair proc on prostate/seminal vesicle",1/7/1998,
117,Other procedures on thyroid or parathyroid gland,"Other proc thyroid/parathyroid",1/7/1998,
1170,Other procedures on prostate or seminal vesicle,"Other proc on prostate/seminal vesicle",1/7/1998,
1171,"Application, insertion or removal procedures on scrotum or tunica vaginalis","Applicn ins R/O proc scrotum/tunica vags",1/7/1998,
1172,Exploration of scrotum,Exploration of scrotum,1/7/1998,
1173,Biopsy of scrotum or tunica vaginalis,Biopsy of scrotum or tunica vaginalis,1/7/1998,
1174,Other excision procedures on scrotum or tunica vaginalis,"Oth excision proc on scrotum/tunica vags",1/7/1998,
1175,Repair procedures on scrotum or tunica vaginalis,"Repair proc on scrotum/tunica vaginalis",1/7/1998,
1176,Other procedures on scrotum or tunica vaginalis,"Other proc on scrotum/tunica vaginalis",1/7/1998,
1177,"Application, insertion or removal procedures on testis, vas deferens, epididymis or spermatic cord","Applicn ins R/O testis/vas/epid/sperm cd",1/7/1998,
1178,"Incision procedures on testis, vas deferens, epididymis or spermatic cord","Incision proc, testis/vas/epid/sperm cd",1/7/1998,
1179,"Destruction procedures on testis, vas deferens, epididymis or spermatic cord","Dest proc on testis/vas/epid/sperm cord",1/7/1998,
118,Biopsy of adrenal gland,Biopsy of adrenal gland,1/7/1998,
1180,"Biopsy of testis, vas deferens, epididymis or spermatic cord","Bx testis/vas/epididymis/spermatic cord",1/7/1998,
1181,"Excision of lesion of testis, epididymis or spermatic cord","Exc lesion, testis/epididymis/sperm cord",1/7/1998,
1182,Excision of spermatic cord,Excision of spermatic cord,1/7/1998,
1183,Vasectomy and epididymectomy,Vasectomy and epididymectomy,1/7/1998,
1184,Orchidectomy,Orchidectomy,1/7/1998,
1185,Vasovasostomy and vasoepididymostomy,Vasovasostomy & vasoepididymostomy,1/7/1998,
1186,Orchidopexy for undescended testis,Orchidopexy for undescended testis,1/7/1998,1/7/2017
1187,"Other repair procedures on testis, vas deferens, epididymis or spermatic cord","Oth rep proc on testis/vas/epid/sperm cd",1/7/1998,
1188,"Revision procedures on testis, vas deferens, epididymis or spermatic cord","Revision proc testis/vas/epid/sperm cord",1/7/1998,
1189,"Other procedures on testis, vas deferens, epididymis or spermatic cord","Other proc on testis/vas/epid/sperm cord",1/7/1998,
119,Adrenalectomy,Adrenalectomy,1/7/1998,
1190,Examination procedures on penis,Examination procedures on penis,1/7/1998,
1191,Insertion or removal of artificial erection device,"Insertion/removal artf erection device",1/7/1998,
1192,"Other application, insertion or removal procedures on penis","Other applicn/ins/removal proc on penis",1/7/1998,
1193,Decompression of priapism,Decompression of priapism,1/7/1998,
1194,Other incision procedures on penis,Other incision procedures on penis,1/7/1998,
1195,Destruction procedures on penis,Destruction procedures on penis,1/7/1998,
1196,Excision procedures on penis,Excision procedures on penis,1/7/1998,
1197,Correction of chordee of penis,Correction of chordee of penis,1/7/1998,
1198,Repair of hypospadias,Repair of hypospadias,1/7/1998,
1199,Repair of epispadias,Repair of epispadias,1/7/1998,
12,Biopsy of brain or meninges,Biopsy of brain or meninges,1/7/1998,
120,Other excision procedures on adrenal gland,Other excision proc on adrenal gland,1/7/1998,1/7/2004
1200,Other repair procedures on penis,Other repair procedures on penis,1/7/1998,
1201,Revision of artificial erection device,Revision of artificial erection device,1/7/1998,
1202,Other procedures on penis,Other procedures on penis,1/7/1998,
1203,Other procedures on male genital organs,Other procedures on male genital organs,1/7/1998,
121,Other procedures on adrenal gland,Other procedures on adrenal gland,1/7/1998,
122,Excision procedures on pineal gland,Excision procedures on pineal gland,1/7/1998,
123,Other procedures on pineal gland,Other procedures on pineal gland,1/7/1998,
1230,Incision of abscess or cyst of pelvic cavity,"Incision abscess/cyst of pelvic cavity",1/7/1998,1/7/2000
1231,Division of pelvic peritoneal adhesions,Division of pelvic peritoneal adhesions,1/7/1998,1/7/2000
1232,Other incision procedures on pelvic cavity,Other incision proc on pelvic cavity,1/7/1998,1/7/2000
1233,Diathermy of lesion of pelvic cavity,Diathermy of lesion of pelvic cavity,1/7/1998,1/7/2000
1234,Biopsy of pelvic peritoneum,Biopsy of pelvic peritoneum,1/7/1998,1/7/2000
1235,Excision of lesion of pelvic cavity,Excision of lesion of pelvic cavity,1/7/1998,1/7/2000
1236,Pelvic or abdominal lymph node excision,Pelvic or abdominal lymph node excision,1/7/1998,1/7/2000
1237,Para-aortic lymph node excision,Para-aortic lymph node excision,1/7/1998,1/7/2000
1238,Pelvic exenteration,Pelvic exenteration,1/7/1998,1/7/2000
1239,Other excision procedures on pelvic cavity,Other excision proc on pelvic cavity,1/7/1998,1/7/2000
124,Biopsy of pituitary gland,Biopsy of pituitary gland,1/7/1998,
1240,"Application, insertion or removal procedures on ovary","Applicn/insertion/removal proc on ovary",1/7/1998,
1241,Incision procedures on ovary,Incision procedures on ovary,1/7/1998,
1242,Biopsy of ovary,Biopsy of ovary,1/7/1998,
1243,Oophorectomy,Oophorectomy,1/7/1998,
1244,Other excision procedures on ovary,Other excision procedures on ovary,1/7/1998,
1245,Transposition of ovary,Transposition of ovary,1/7/1998,
1246,Other repair procedures on ovary,Other repair procedures on ovary,1/7/1998,
1247,Other procedures on ovary,Other procedures on ovary,1/7/1998,
1248,"Application, insertion or removal procedures on fallopian tube","Applicn/ins/removal proc, fallopian tube",1/7/1998,
1249,Incision procedures on fallopian tube,Incision procedures on fallopian tube,1/7/1998,
125,Other excision procedures on pituitary gland,Other excision proc on pituitary gland,1/7/1998,
1250,Biopsy of fallopian tube,Biopsy of fallopian tube,1/7/1998,
1251,Salpingectomy,Salpingectomy,1/7/1998,
1252,Salpingo-oophorectomy,Salpingo-oophorectomy,1/7/1998,
1253,Salpingoplasty,Salpingoplasty,1/7/1998,
1254,Anastomosis of fallopian tube,Anastomosis of fallopian tube,1/7/1998,
1255,Other repair procedures on fallopian tube,Other repair proc on fallopian tube,1/7/1998,
1256,Procedures for management of ectopic pregnancy,Proc for management of ectopic pregnancy,1/7/1998,
1257,Procedures for female sterilisation,Procedures for female sterilisation,1/7/1998,
1258,Other procedures on fallopian tube,Other procedures on fallopian tube,1/7/1998,
1259,Examination procedures on uterus,Examination procedures on uterus,1/7/1998,
126,Other procedures on pituitary gland,Other procedures on pituitary gland,1/7/1998,
1260,Insertion or removal of intrauterine device,Insertion or removal of IUD,1/7/1998,
1261,"Other application, insertion or removal procedures on uterus","Other applicn/ins/removal proc on uterus",1/7/1998,
1262,Incision procedures on uterus,Incision procedures on uterus,1/7/1998,
1263,Destruction procedures on uterus,Destruction procedures on uterus,1/7/1998,
1264,Biopsy of uterus,Biopsy of uterus,1/7/1998,
1265,Curettage and evacuation of uterus,Curettage and evacuation of uterus,1/7/1998,
1266,Excision of lesion of uterus,Excision of lesion of uterus,1/7/1998,
1267,Evacuation of gravid uterus,Evacuation of gravid uterus,1/7/1998,1/7/2008
1268,Abdominal hysterectomy,Abdominal hysterectomy,1/7/1998,
1269,Vaginal hysterectomy,Vaginal hysterectomy,1/7/1998,
127,Biopsy of thymus,Biopsy of thymus,1/7/1998,
1270,Other excision procedures on uterus,Other excision procedures on uterus,1/7/1998,
1271,Uterine suspension procedures,Uterine suspension procedures,1/7/1998,
1272,Reconstruction procedures on uterus and supporting structures,"Recon proc, uterus & support structures",1/7/1998,
1273,Other procedures on uterus,Other procedures on uterus,1/7/1998,
1274,"Application, insertion or removal procedures on cervix","Applicn/insertion/removal proc on cervix",1/7/1998,
1275,Destruction procedures on cervix,Destruction procedures on cervix,1/7/1998,
1276,Excision procedures on cervix,Excision procedures on cervix,1/7/1998,
1277,Repair procedures on cervix,Repair procedures on cervix,1/7/1998,
1278,Other procedures on cervix,Other procedures on cervix,1/7/1998,
1279,Examination procedures on vagina,Examination procedures on vagina,1/7/1998,
128,Removal of thymus,Removal of thymus,1/7/1998,
1280,Incision procedures on vagina,Incision procedures on vagina,1/7/1998,
1281,Destruction procedures on vagina,Destruction procedures on vagina,1/7/1998,
1282,Excision procedures on vagina,Excision procedures on vagina,1/7/1998,
1283,"Repair of prolapse of uterus, pelvic floor or enterocele","Rep prolapse uterus/pelv flr/enterocele",1/7/1998,
1284,Repair of vaginal fistula,Repair of vaginal fistula,1/7/1998,
1285,Vaginal suspension procedures,Vaginal suspension procedures,1/7/1998,
1286,Other repair procedures on vagina,Other repair procedures on vagina,1/7/1998,
1287,Reconstruction procedures on vagina,Reconstruction procedures on vagina,1/7/1998,
1288,Other procedures on vagina,Other procedures on vagina,1/7/1998,
1289,Destruction procedures on vulva or perineum,Destruction proc on vulva or perineum,1/7/1998,
129,Other procedures on thymus,Other procedures on thymus,1/7/1998,
1290,Incision procedures on vulva or perineum,Incision procedures on vulva or perineum,1/7/1998,
1291,Biopsy of vulva or perineum,Biopsy of vulva or perineum,1/7/1998,
1292,Vulvectomy,Vulvectomy,1/7/1998,
1293,"Other excision procedures on vulva, perineum or clitoris","Oth exc proc on vulva/perineum/clitoris",1/7/1998,
1294,Repair procedures on vulva or perineum,Repair procedures on vulva or perineum,1/7/1998,
1295,Other procedures on vulva or perineum,Other procedures on vulva or perineum,1/7/1998,
1296,Examination procedures on other gynaecological sites,Exam proc on other gynaecological sites,1/7/1998,
1297,Procedures for reproductive medicine,Procedures for reproductive medicine,1/7/1998,
1298,Procedures for anomalies of genitalia,Procedures for anomalies of genitalia,1/7/1998,
1299,Other procedures on female genital organs,Other proc on female genital organs,1/7/1998,
13,Excision of lesion of skull,Excision of lesion of skull,1/7/1998,
1330,"Antepartum application, insertion or removal procedures","Antepartum applicn/ins/removal proc",1/7/1998,
1331,Antepartum incision procedures,Antepartum incision procedures,1/7/1998,
1332,Antepartum repair procedures,Antepartum repair procedures,1/7/1998,
1333,Analgesia and anaesthesia during labour and delivery procedure,Analgesia & anaes dur labour & delv proc,1/7/1998,
1334,Medical or surgical induction of labour,Medical or surgical induction of labour,1/7/1998,
1335,Medical or surgical augmentation of labour,Med or surg augmentation labour,1/7/1998,
1336,Spontaneous delivery,Spontaneous delivery,1/7/1998,
1337,Forceps rotation and delivery,Forceps rotation and delivery,1/7/1998,
1338,Vacuum assisted delivery,Vacuum assisted delivery,1/7/1998,
1339,"Assisted breech delivery and extraction, and assisted vertex delivery",Asst breech & extraction & vertex delv,1/7/1998,
1340,Caesarean section,Caesarean section,1/7/1998,
1341,Fetal monitoring,Fetal monitoring,1/7/1998,
1342,Manipulation of fetal position and presentation,Manipulation fetal position & present,1/7/1998,
1343,Other procedures associated with delivery,Other procedures associated w delivery,1/7/1998,
1344,Postpartum suture,Postpartum suture,1/7/1998,
1345,Postpartum evacuation of uterus,Postpartum evacuation of uterus,1/7/1998,
1346,Correction of inverted uterus,Correction of inverted uterus,1/7/1998,
1347,Other postpartum procedures,Other postpartum procedures,1/7/1998,
1360,"Application, insertion or removal procedures of head","Applicn, insert, removal proc on head",1/7/1998,
1361,External fixation of mandible,External fixation of mandible,1/7/1998,
1362,Exploration of temporomandibular joint,Exploration of temporomandibular joint,1/7/1998,
1363,Other incision procedures on maxilla or mandible,"Other incision proc on maxilla/mandible",1/7/1998,
1364,"Excision procedures on maxilla, mandible or temporomandibular joint","Ex proc on max/mand/TMJ",1/7/1998,
1365,Reduction of fracture of nasal bone,Reduction of fracture of nasal bone,1/7/1998,
1366,Reduction of fracture of mandible or maxilla,"Reduction fracture of mandible/maxilla",1/7/1998,
1367,Reduction of fracture of mandibular or maxillary alveolar ridge,"Rdctn fx mand/max alveolar ridge",1/7/1998,
1368,Reduction of fracture of zygomatic bone,Reduction of fracture of zygomatic bone,1/7/1998,
1369,Reduction of temporomandibular joint,Reduction of temporomandibular joint,1/7/1998,
1370,Reduction of fracture or dislocation of other facial bone,"Rdctn fract/disloc other facial bone",1/7/1998,
1371,"Repair procedures on maxilla, mandible or temporomandibular joint","Rep proc on maxilla, mandible or TMJ",1/7/1998,
1372,Procedures for osteomyelitis of maxilla or mandible,"Proc for osteomyel of max/man",1/7/1998,1/7/2002
1373,"Application, insertion or removal procedures of neck or thorax","Applicn/ins/removal proc of neck/thorax",1/7/1998,
1374,Incision procedures on neck or thorax,Incision procedures on neck or thorax,1/7/1998,
1375,Ostectomy of rib,Ostectomy of rib,1/7/1998,
1376,Other excision procedures on neck or thorax,"Other excision procedures on neck/thorax",1/7/1998,
1377,"Reduction of fracture/dislocation of neck or thorax","Reduction of fx/disloc of nek & thrx",1/7/1998,
1378,Repair procedures on neck or thorax,Repair procedures on neck or thorax,1/7/1998,
1379,Reoperation procedures on neck or thorax,"Reoperation procedures on neck/thorax",1/7/1998,
1380,Procedures for osteomyelitis of sternum or rib,"Proc for osteomyelitis of sternum/rib",1/7/1998,1/7/2002
1381,Immobilisation of spine,Immobilisation of spine,1/7/1998,
1382,Biopsy of intervertebral disc and vertebra,Biopsy intervertebral disc & vertebra,1/7/1998,
1383,Excision of vertebra,Excision of vertebra,1/7/1998,
1384,En bloc resection of lesion of soft tissue involving sacrum or spine,En bloc resec lesion soft tissue,1/7/1998,
1385,Other excision procedures on spine (vertebral column),Other excision procedures on spine,1/7/1998,
1386,Manipulation of spine,Manipulation of spine,1/7/1998,1/7/2022
1387,Closed reduction of spine,Closed reduction of spine,1/7/1998,
1388,Open reduction of spine,Open reduction of spine,1/7/1998,
1389,Spinal fusion,Spinal fusion,1/7/1998,
1390,Internal fixation of spine,Internal fixation of spine,1/7/1998,
1391,Procedures for osteomyelitis of vertebra,Procedures for osteomyelitis of vertebra,1/7/1998,1/7/2002
1392,Spinal fusion for scoliosis or kyphosis,Spinal fusion  for scoliosis or kyphosis,1/7/1998,1/7/2002
1393,Other spinal procedures,Other spinal procedures,1/7/1998,
1394,"Application, insertion or removal procedures on shoulder","Applicn/ins/removal proc on shoulder",1/7/1998,
1395,Incision procedures on shoulder,Incision procedures on shoulder,1/7/1998,
1396,Biopsy of shoulder,Biopsy of shoulder,1/7/1998,
1397,Synovectomy or debridement of shoulder,Synovectomy or debridement of shoulder,1/7/1998,
1398,Ostectomy of clavicle or scapula,Ostectomy of clavicle or scapula,1/7/1998,
1399,Amputation of shoulder,Amputation of shoulder,1/7/1998,
14,Removal of intracranial haematoma or abscess,"R/O intracranial haematoma/abscess",1/7/1998,
1400,Other excision on shoulder,Other excision on shoulder,1/7/1998,
1401,Reduction of fracture of clavicle or shoulder,"Reduction fracture of clavicle/shoulder",1/7/1998,
1402,"Reduction of dislocation of clavicle, scapula or shoulder","Rdctn disloc clavicle, scap or shoulder",1/7/1998,
1403,Arthrodesis of shoulder,Arthrodesis of shoulder,1/7/1998,
1404,Other repair procedures on shoulder,Other repair procedures on shoulder,1/7/1998,
1405,Reconstruction procedures on shoulder,Reconstruction procedures on shoulder,1/7/1998,
1406,Revision procedures on shoulder,Revision procedures on shoulder,1/7/1998,
1407,Procedures for osteomyelitis of clavicle or scapula,"Proc for osteomyelitis clavicle/scapula",1/7/1998,1/7/2002
1408,Immobilisation of fracture of humerus,Immobilisation of fracture of humerus,1/7/1998,
1409,"Other application, insertion or removal procedures on humerus or elbow","Applicn/ins/removal proc humerus/elbow",1/7/1998,
1410,Incision procedures on humerus or elbow,Incision procedures on humerus or elbow,1/7/1998,
1411,Biopsy of elbow,Biopsy of elbow,1/7/1998,
1412,Other excision procedures on humerus or elbow,Other excision proc on humerus or elbow,1/7/1998,
1413,Closed reduction of fracture of humerus or elbow,"Closed reduction fracture humerus/elbow",1/7/1998,
1414,Open reduction of fracture of humerus or elbow,"Open reduction fracture of humerus/elbow",1/7/1998,
1415,Closed reduction of dislocation of humerus or elbow,"Closed rdctn dislocation humerus/elbow",1/7/1998,
1416,Open reduction of dislocation of humerus or elbow,"Open reduction dislocation humerus/elbow",1/7/1998,
1417,Bone graft to humerus,Bone graft to humerus,1/7/1998,
1418,Other repair procedures on humerus or elbow,"Other repair procedures on humerus/elbow",1/7/1998,
1419,Revision procedures on humerus or elbow,Revision procedures on humerus or elbow,1/7/1998,
1420,Procedures for osteomyelitis of humerus,Procedures for osteomyelitis of humerus,1/7/1998,1/7/2002
1421,Immobilisation of fracture of shaft and distal radius or ulna,"Immobils fx shaft & distal radius/ulna",1/7/1998,
1422,Fitting of prosthesis of lower arm and hand,Fitting prosthesis of lower arm & hand,1/7/1998,1/7/2000
1423,Incision of fascia of forearm,Incision of fascia of forearm,1/7/1998,1/7/2022
1424,Incision of radius or ulna,Incision of radius or ulna,1/7/1998,
1425,Other incision procedures on forearm,Other incision procedures on forearm,1/7/1998,
1426,Excision procedures on forearm,Excision procedures on forearm,1/7/1998,
1427,Closed reduction of fracture of radius,Closed reduction of fracture of radius,1/7/1998,
1428,Closed reduction of fracture of ulna or olecranon,Closed rdctn fracture ulna or olecranon,1/7/1998,
1429,Open reduction of fracture of radius,Open reduction of fracture of radius,1/7/1998,
1430,Open reduction of fracture of ulna or olecranon,Open rdctn fx of ulna or olecranon,1/7/1998,
1431,Reduction of fracture of shaft of radius and ulna,Rdctn fracture shaft of radius & ulna,1/7/1998,
1432,Open reduction of fracture of shaft of radius or ulna with dislocation,"Opn rdctn fx shaft radius/ulna w disloc",1/7/1998,
1433,Reduction of dislocation of radius or ulna,"Reduction of dislocation of radius/ulna",1/7/1998,
1434,Reduction of separated epiphysis of radius or ulna,"Rdctn separated epiphysis, radius/ulna",1/7/1998,
1435,Bone graft to forearm,Bone graft to forearm,1/7/1998,
1436,Other repair procedures on forearm,Other repair procedures on forearm,1/7/1998,
1437,Procedures for osteomyelitis of radius or ulna,Proc for osteomyelitis of radius or ulna,1/7/1998,1/7/2002
1438,Other procedures on forearm,Other procedures on forearm,1/7/1998,
1439,"Application, insertion or removal procedures on hand or wrist","Applicn/ins/removal proc on hand/wrist",1/7/1998,
1440,"Incision procedures on muscle, tendon or fascia of hand","Incision proc on musc/tend/fascia, hand",1/7/1998,
1441,Incision procedures on bone of hand,Incision procedures on bone of hand,1/7/1998,
1442,Incision procedures on joint of hand,Incision procedures on joint of hand,1/7/1998,
1443,Incision procedures on wrist,Incision procedures on wrist,1/7/1998,
1444,Biopsy of wrist,Biopsy of wrist,1/7/1998,
1445,Synovectomy of joint of hand,Synovectomy of joint of hand,1/7/1998,
1446,Synovectomy of tendon of hand or wrist,Synovectomy of tendon of hand or wrist,1/7/1998,
1447,Fasciectomy for Dupuytren's contracture,Fasciectomy for Dupuytren's contracture,1/7/1998,
