code_id,code_id_clean,ascii_desc,block,block_desc,axis_2_desc,axis_1_desc,chapter_id,chapter_range,chapter_desc
90032-00,9003200,Removal of lesion involving posterior cranial fossa,17,Skull base surgery for lesion,Excision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40000-00,4000000,Ventriculocisternostomy,19,Ventriculostomy,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40012-00,4001200,Endoscopic third ventriculostomy,19,Ventriculostomy,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40012-01,4001201,Third ventriculostomy,19,Ventriculostomy,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39615-00,3961500,Repair of dura of brain via craniotomy,20,Repair of dura of brain,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39615-01,3961501,Repair of dura of brain via craniotomy with cranioplasty,20,Repair of dura of brain,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39818-00,3981800,Extracranial to intracranial bypass with superficial temporal artery graft,21,Extracranial to intracranial bypass,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39821-00,3982100,Extracranial to intracranial bypass with saphenous vein graft,21,Extracranial to intracranial bypass,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90006-00,9000600,Extracranial to intracranial bypass with radial artery graft,21,Extracranial to intracranial bypass,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39800-01,3980001,Reinforcement of cerebral aneurysm,22,Other repair of meninges or brain,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40109-00,4010900,Repair of encephalocele,22,Other repair of meninges or brain,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
51170-00,5117000,Repair of syringomyelia or hydromyelia via craniotomy,22,Other repair of meninges or brain,Repair,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40600-00,4060000,Cranioplasty with insertion of skull plate,23,Cranioplasty,Reconstruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40600-01,4060001,Cranioplasty with bone graft,23,Cranioplasty,Reconstruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40600-02,4060002,Cranioplasty with skull flap,23,Cranioplasty,Reconstruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40600-03,4060003,Other cranioplasty,23,Cranioplasty,Reconstruction,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40009-00,4000900,Revision of ventricular shunt,24,Revision of intracranial cerebrospinal fluid shunt,Revision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40009-01,4000901,Revision of cisternal shunt,24,Revision of intracranial cerebrospinal fluid shunt,Revision,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39606-00,3960600,Elevation of closed skull fracture,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39606-01,3960601,Reduction of closed skull fracture,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39609-00,3960900,Debridement of compound skull fracture,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39609-01,3960901,Elevation of compound skull fracture,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39609-02,3960902,Reduction of compound skull fracture,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39612-00,3961200,Elevation of compound skull fracture with repair of dura and brain,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39612-01,3961201,Reduction of compound skull fracture with repair of dura and brain,25,Procedures for skull fracture,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40801-00,4080100,Functional intracranial stereotactic procedure,27,Functional intracranial stereotactic procedure,Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90007-00,9000700,"Other diagnostic procedures on skull, brain or cerebral meninges",28,"Other procedures on skull, meninges or brain",Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90007-01,9000701,Other procedures on skull,28,"Other procedures on skull, meninges or brain",Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90007-02,9000702,Other procedures on brain or cerebral meninges,28,"Other procedures on skull, meninges or brain",Other procedures,"Skull, meninges and brain",1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90011-05,9001105,Spinal stereotactic localisation,29,Examination of spinal canal and spinal cord structures,Examination,Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39000-00,3900000,Lumbar puncture,30,Lumbar puncture,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39013-00,3901300,Administration of agent into zygo-apophyseal (facet) joint,31,"Application, insertion or removal procedures on vertebra or intervertebral disc","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39013-01,3901301,Administration of agent into costotransverse joint,31,"Application, insertion or removal procedures on vertebra or intervertebral disc","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40336-00,4033600,Administration of agent into intervertebral disc,31,"Application, insertion or removal procedures on vertebra or intervertebral disc","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90027-00,9002700,Intradiscal therapy,31,"Application, insertion or removal procedures on vertebra or intervertebral disc","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-27,1821627,Epidural injection of local anaesthetic,32,Epidural injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-28,1821628,Epidural injection of opioid,32,Epidural injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18230-00,1823000,Epidural injection of neurolytic agent,32,Epidural injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39140-00,3914000,Epidural injection for lysis of adhesions,32,Epidural injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90018-00,9001800,Epidural injection of other or combined therapeutic substance(s),32,Epidural injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90028-00,9002800,Epidural injection of steroid,32,Epidural injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-00,1821600,Epidural infusion of local anaesthetic,33,Epidural infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-03,1821603,Epidural infusion of opioid,33,Epidural infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-06,1821606,Epidural infusion of other or combined therapeutic substance(s),33,Epidural infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90028-01,9002801,Epidural infusion of steroid,33,Epidural infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-29,1821629,Caudal injection of local anaesthetic,34,Caudal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-30,1821630,Caudal injection of opioid,34,Caudal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90019-00,9001900,Caudal injection of other or combined therapeutic substance(s),34,Caudal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90028-02,9002802,Caudal injection of steroid,34,Caudal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-09,1821609,Caudal infusion of local anaesthetic,35,Caudal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-12,1821612,Caudal infusion of opioid,35,Caudal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-15,1821615,Caudal infusion of other or combined therapeutic substance(s),35,Caudal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90028-03,9002803,Caudal infusion of steroid,35,Caudal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-31,1821631,Spinal injection of local anaesthetic,36,Spinal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-32,1821632,Spinal injection of opioid,36,Spinal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18230-01,1823001,Spinal injection of neurolytic agent,36,Spinal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90020-00,9002000,Spinal injection of other or combined therapeutic substance(s),36,Spinal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90028-04,9002804,Spinal injection of steroid,36,Spinal injection,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-18,1821618,Spinal infusion of local anaesthetic,37,Spinal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-21,1821621,Spinal infusion of opioid,37,Spinal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18216-24,1821624,Spinal infusion of other or combined therapeutic substance(s),37,Spinal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90028-05,9002805,Spinal infusion of steroid,37,Spinal infusion,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
18233-00,1823300,Spinal blood patch,38,Spinal blood patch,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39125-00,3912500,Insertion or replacement of spinal catheter,39,"Insertion of spinal catheter, infusion device or pump","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39127-00,3912700,Insertion of implantable spinal infusion device or pump,39,"Insertion of spinal catheter, infusion device or pump","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39133-01,3913301,Removal of spinal catheter,40,"Removal of spinal catheter, infusion device or pump","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39133-02,3913302,Removal of implantable spinal infusion device or pump,40,"Removal of spinal catheter, infusion device or pump","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40018-00,4001800,Insertion of lumbar cerebrospinal fluid drain,41,Insertion and removal of spinal cerebrospinal fluid drain,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
90008-00,9000800,Removal of lumbar cerebrospinal fluid drain,41,Insertion and removal of spinal cerebrospinal fluid drain,"Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40006-00,4000600,Insertion of spinal shunt,42,"Insertion, removal and revision of spinal cerebrospinal fluid shunt","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40009-05,4000905,Removal of spinal shunt,42,"Insertion, removal and revision of spinal cerebrospinal fluid shunt","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
40009-06,4000906,Revision of spinal shunt,42,"Insertion, removal and revision of spinal cerebrospinal fluid shunt","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
39130-00,3913000,Percutaneous insertion of epidural electrodes,43,"Insertion, replacement or removal of epidural electrodes","Application, insertion, removal",Spinal canal and spinal cord structures,1,Blocks 1-86,Procedures on nervous system (blocks 1-86)
