code_id,code_id_clean,aust_code,ascii_desc,ascii_short_desc,effective_from,inactive,reactivated
"M8003/6",M80036,1,"Malignant tumour, giant cell type, metastatic","Malg tum, giant cell type, met",1/7/2002,,
"M8003/9",M80039,1,"Malignant tumour, giant cell type, uncertain whether primary or metastatic","Malg tum, giant cell type, up/m",1/7/2002,,
"M8004/0",M80040,1,"Tumour, spindle cell type, benign","Tum, spndl cell, benign",1/7/2002,,
"M8004/1",M80041,1,"Tumour, spindle cell type, uncertain whether benign or malignant","Tum, spndl cell type, ub/m",1/7/2002,,
"M8004/2",M80042,1,"Malignant tumour, spindle cell type, in situ","Malg tum, spndl cell type, insit",1/7/2002,1/7/2015,
"M8004/3",M80043,0,"Malignant tumour, spindle cell type","Malg tum, spndl cell type",1/7/1998,,
"M8004/6",M80046,1,"Malignant tumour, spindle cell type, metastatic","Malg tum, spndl cell type, met",1/7/2002,,
"M8004/9",M80049,1,"Malignant tumour, spindle cell type, uncertain whether primary or metastatic","Malg tum, spndl cell type, up/m",1/7/2002,,
"M8005/0",M80050,0,Clear cell tumour NOS,Clear cell tumour NOS,1/7/2002,,
"M8005/1",M80051,1,"Tumour, clear cell type, uncertain whether benign or malignant","Tum clear cell type, ub/m",1/7/2002,,
"M8005/2",M80052,1,"Tumour, clear cell type, in situ","Tum, clear cell type, insit",1/7/2002,,
"M8005/3",M80053,0,"Malignant tumour, clear cell type","Malg tum, clear cell type",1/7/2002,,
"M8005/6",M80056,1,"Malignant tumour, clear cell type, metastatic","Malg tum, clear cell type, met",1/7/2002,,
"M8005/9",M80059,1,"Malignant tumour, clear cell type, uncertain whether primary or metastatic","Malg tum, clear cell type, up/m",1/7/2002,,
"M8010/0",M80100,0,"Epithelial tumour, benign","Epithelial tum, benign",1/7/1998,,
"M8010/1",M80101,1,"Epithelial tumour, uncertain whether benign or malignant","Epithelial tum, ub/m",1/7/2002,,
"M8010/2",M80102,0,Carcinoma in situ NOS,Ca insit NOS,1/7/1998,,
"M8010/3",M80103,0,Carcinoma NOS,Ca NOS,1/7/1998,,
"M8010/6",M80106,0,"Carcinoma, metastatic NOS","Ca, met NOS",1/7/1998,,
"M8010/9",M80109,0,Carcinomatosis,Carcinomatosis,1/7/1998,,
"M8011/0",M80110,0,"Epithelioma, benign","Epithelioma, benign",1/7/1998,,
"M8011/1",M80111,1,"Epithelioma, uncertain whether benign or malignant","Epithelioma, ub/m",1/7/2002,,
"M8011/2",M80112,1,"Epithelioma, in situ","Epithelioma, insit",1/7/2002,,
"M8011/3",M80113,0,"Epithelioma, malignant","Epithelioma, malg",1/7/1998,,
"M8011/6",M80116,1,"Epithelioma, metastatic","Epithelioma, met",1/7/2002,,
"M8011/9",M80119,1,"Epithelioma, malignant, uncertain whether primary or metastatic","Epithelioma, malg, up/m",1/7/2002,,
"M8012/2",M80122,1,"Large cell carcinoma, in situ","Large cell ca, insit",1/7/2002,,
"M8012/3",M80123,0,Large cell carcinoma NOS,Large cell ca NOS,1/7/1998,,
"M8012/6",M80126,1,"Large cell carcinoma NOS, metastatic","Large cell ca NOS, met",1/7/2002,,
"M8012/9",M80129,1,"Large cell carcinoma NOS, uncertain whether primary or metastatic","Large cell ca NOS, up/m",1/7/2002,,
"M8013/2",M80132,1,"Large cell neuroendocrine carcinoma, in situ","Large cell neuroendo ca, insit",1/7/2002,,
"M8013/3",M80133,0,Large cell neuroendocrine carcinoma,Large cell neuroendo ca,1/7/2002,,
"M8013/6",M80136,1,"Large cell neuroendocrine carcinoma, metastatic","Large cell neuroendo ca, met",1/7/2002,,
"M8013/9",M80139,1,"Large cell neuroendocrine carcinoma, uncertain whether primary or metastatic","Large cell neuroendo ca, up/m",1/7/2002,,
"M8014/2",M80142,1,"Large cell carcinoma with rhabdoid phenotype, in situ","Large cell ca w rhabdoid phntype, insit",1/7/2002,,
"M8014/3",M80143,0,Large cell carcinoma with rhabdoid phenotype,Large cell ca w rhabdoid phntype,1/7/2002,,
"M8014/6",M80146,1,"Large cell carcinoma with rhabdoid phenotype, metastatic","Large cell ca w rhabdoid phntype, met",1/7/2002,,
"M8014/9",M80149,1,"Large cell carcinoma with rhabdoid phenotype, uncertain whether primary or metastatic","Large cell ca w rhabdoid phntype up/m",1/7/2002,,
"M8015/2",M80152,1,"Glassy cell carcinoma, in situ","Glassy cell ca, insit",1/7/2002,,
"M8015/3",M80153,0,Glassy cell carcinoma,Glassy cell ca,1/7/2002,,
"M8015/6",M80156,1,"Glassy cell carcinoma, metastatic","Glassy cell ca, met",1/7/2002,,
"M8015/9",M80159,1,"Glassy cell carcinoma, uncertain whether primary or metastatic","Glassy cell ca, up/m",1/7/2002,,
"M8020/1",M80201,1,"Tumour, undifferentiated NOS, uncertain whether benign or malignant","Tum, undiff, NOS, ub/m",1/7/2013,,
"M8020/2",M80202,1,"Carcinoma, undifferentiated, in situ","Ca, undiff, insit",1/7/2002,,
"M8020/3",M80203,0,"Carcinoma, undifferentiated NOS","Ca, undiff, NOS",1/7/1998,,
"M8020/6",M80206,1,"Carcinoma, undifferentiated NOS, metastatic","Ca, undiff, NOS, met",1/7/2002,,
"M8020/9",M80209,1,"Carcinoma, undifferentiated NOS, uncertain whether primary or metastatic","Ca, undiff, NOS, up/m",1/7/2002,,
"M8021/2",M80212,1,"Carcinoma, anaplastic NOS, in situ","Ca, anaplastic NOS, insit",1/7/2002,,
"M8021/3",M80213,0,"Carcinoma, anaplastic NOS","Ca, anaplastic, NOS",1/7/1998,,
"M8021/6",M80216,1,"Carcinoma, anaplastic NOS, metastatic","Ca, anaplastic NOS, met",1/7/2002,,
"M8021/9",M80219,1,"Carcinoma, anaplastic NOS, uncertain whether primary or metastatic","Ca, anaplastic, NOS, up/m",1/7/2002,,
"M8022/2",M80222,1,"Pleomorphic carcinoma, in situ","Pleomorphic ca, insit",1/7/2002,,
"M8022/3",M80223,0,Pleomorphic carcinoma,Pleomorphic ca,1/7/1998,,
"M8022/6",M80226,1,"Pleomorphic carcinoma, metastatic","Pleomorphic ca, met",1/7/2002,,
"M8022/9",M80229,1,"Pleomorphic carcinoma, uncertain whether primary or metastatic","Pleomorphic ca, up/m",1/7/2002,,
"M8023/3",M80233,0,Nuclear protein in testis [NUT] associated carcinoma,Nuclear protein in testis associated ca,1/7/2022,,
"M8023/6",M80236,1,"Nuclear protein in testis [NUT] associated carcinoma, metastatic",Nuclear protein in testis ass ca met,1/7/2022,,
"M8023/9",M80239,1,"Nuclear protein in testis [NUT] associated carcinoma, uncertain whether primary or metastatic","Nuclear protein in testis ass ca up/m",1/7/2022,,
"M8030/2",M80302,1,"Giant cell and spindle cell carcinoma, in situ","Giant cell and spndl cell ca, insit",1/7/2002,,
"M8030/3",M80303,0,Giant cell and spindle cell carcinoma,Giant cell and spndl cell ca,1/7/1998,,
"M8030/6",M80306,1,"Giant cell and spindle cell carcinoma, metastatic","Giant cell and spndl cell ca, met",1/7/2002,,
"M8030/9",M80309,1,"Giant cell and spindle cell carcinoma, uncertain whether primary or metastatic","Giant cell and spndl cell ca, up/m",1/7/2002,,
"M8031/2",M80312,1,"Giant cell carcinoma, in situ","Giant cell ca, insit",1/7/2002,,
"M8031/3",M80313,0,Giant cell carcinoma,Giant cell ca,1/7/1998,,
"M8031/6",M80316,1,"Giant cell carcinoma, metastatic","Giant cell ca, met",1/7/2002,,
"M8031/9",M80319,1,"Giant cell carcinoma, uncertain whether primary or metastatic","Giant cell ca, up/m",1/7/2002,,
"M8032/0",M80320,1,"Spindle cell tumour, benign","Spndl cell tum, benign",1/7/2013,1/7/2015,
"M8032/1",M80321,1,"Spindle cell tumour NOS, uncertain whether benign or malignant","Spndl cell tum NOS, ub/m",1/7/2013,1/7/2015,
"M8032/2",M80322,1,"Spindle cell carcinoma, in situ","Spndl cell ca, insit",1/7/2002,,
"M8032/3",M80323,0,Spindle cell carcinoma NOS,Spndl cell ca NOS,1/7/1998,,
"M8032/6",M80326,1,"Spindle cell carcinoma NOS, metastatic","Spndl cell ca NOS, met",1/7/2002,,
"M8032/9",M80329,1,"Spindle cell carcinoma NOS, uncertain whether primary or metastatic","Spndl cell ca NOS, up/m",1/7/2002,,
"M8033/1",M80331,1,"Pseudosarcomatous tumour, uncertain whether benign or malignant","Pseudosarcomatous tum, ub/m",1/7/2002,,
"M8033/2",M80332,1,"Pseudosarcomatous carcinoma, in situ","Pseudosarcomatous ca, insit",1/7/2002,,
"M8033/3",M80333,0,Pseudosarcomatous carcinoma,Pseudosarcomatous ca,1/7/1998,,
"M8033/6",M80336,1,"Pseudosarcomatous carcinoma, metastatic","Pseudosarcomatous ca, met",1/7/2002,,
"M8033/9",M80339,1,"Pseudosarcomatous carcinoma, uncertain whether primary or metastatic","Pseudosarcomatous ca, up/m",1/7/2002,,
"M8034/1",M80341,1,"Polygonal cell tumour, uncertain whether benign or malignant","Polygonal cell tum, ub/m",1/7/2002,,
"M8034/2",M80342,1,"Polygonal cell carcinoma, in situ","Polygonal cell ca, insit",1/7/2002,,
"M8034/3",M80343,0,Polygonal cell carcinoma,Polygonal cell ca,1/7/1998,,
"M8034/6",M80346,1,"Polygonal cell carcinoma, metastatic","Polygonal cell ca, met",1/7/2002,,
"M8034/9",M80349,1,"Polygonal cell carcinoma, uncertain whether primary or metastatic","Polygonal cell ca, up/m",1/7/2002,,
"M8035/2",M80352,1,"Carcinoma with osteoclast-like giant cells, in situ","Ca w osteoclast-like giant cells, insit",1/7/2002,,
"M8035/3",M80353,0,Carcinoma with osteoclast-like giant cells,Ca w osteoclast-like giant cells,1/7/2002,,
"M8035/6",M80356,1,"Carcinoma with osteoclast-like giant cells, metastatic","Ca w osteoclast-like giant cells, met",1/7/2002,,
"M8035/9",M80359,1,"Carcinoma with osteoclast-like giant cells, uncertain whether primary or metastatic","Ca w osteoclast-like giant cells, up/m",1/7/2002,,
"M8040/0",M80400,0,"Tumourlet, benign","Tumourlet, benign",1/7/2002,,
"M8040/1",M80401,0,Tumourlet NOS,Tumourlet NOS,1/7/1998,,
"M8040/3",M80403,1,"Tumourlet, malignant","Tumourlet, malg",1/7/2013,,
"M8040/6",M80406,1,"Tumourlet, metastatic","Tumourlet, met",1/7/2013,,
"M8040/9",M80409,1,"Tumourlet, uncertain whether primary or metastatic","Tumourlet, up/m",1/7/2013,,
"M8041/2",M80412,1,"Small cell carcinoma NOS, in situ","Sm cell ca NOS, insit",1/7/2002,,
"M8041/3",M80413,0,Small cell carcinoma NOS,Sm cell ca NOS,1/7/1998,,
"M8041/6",M80416,1,"Small cell carcinoma NOS, metastatic","Sm cell ca NOS, met",1/7/2002,,
"M8041/9",M80419,1,"Small cell carcinoma NOS, uncertain whether primary or metastatic","Sm cell ca NOS, up/m",1/7/2002,,
"M8042/2",M80422,1,"Oat cell carcinoma, in situ","Oat cell ca, insit",1/7/2013,,
"M8042/3",M80423,0,Oat cell carcinoma,Oat cell ca,1/7/1998,,
"M8042/6",M80426,1,"Oat cell carcinoma, metastatic","Oat cell ca, met",1/7/2002,,
"M8042/9",M80429,1,"Oat cell carcinoma, uncertain whether primary or metastatic","Oat cell ca, up/m",1/7/2002,,
"M8043/2",M80432,1,"Small cell carcinoma, fusiform cell, in situ","Sm cell ca, fusiform cell, insit",1/7/2013,,
"M8043/3",M80433,0,"Small cell carcinoma, fusiform cell","Sm cell ca, fusiform cell",1/7/1998,,
"M8043/6",M80436,1,"Small cell carcinoma, fusiform cell, metastatic","Sm cell ca, fusiform cell, met",1/7/2002,,
"M8043/9",M80439,1,"Small cell carcinoma, fusiform cell, uncertain whether primary or metastatic","Sm cell ca, fusiform cell, up/m",1/7/2002,,
"M8044/2",M80442,1,"Small cell carcinoma, intermediate cell, in situ","Sm cell ca, intermediate cell, insit",1/7/2013,,
"M8044/3",M80443,0,"Small cell carcinoma, intermediate cell","Sm cell ca, intermediate cell",1/7/1998,,
"M8044/6",M80446,1,"Small cell carcinoma, intermediate cell, metastatic","Sm cell ca, intermediate cell, met",1/7/2002,,
"M8044/9",M80449,1,"Small cell carcinoma, intermediate cell, uncertain whether primary or metastatic","Sm cell ca, intermediate cell, up/m",1/7/2002,,
"M8045/2",M80452,1,"Combined small cell carcinoma, in situ",Combined small cell carcinoma in situ,1/7/2013,,
"M8045/3",M80453,0,Combined small cell carcinoma,Combined small cell carcinoma,1/7/1998,,
"M8045/6",M80456,1,"Combined small cell carcinoma, metastatic",Combined small cell carcinoma metastatic,1/7/2002,,
"M8045/9",M80459,1,"Combined small cell carcinoma, uncertain whether primary or metastatic","Combined small cell carcinoma up/m",1/7/2002,,
"M8046/2",M80462,1,"Non-small cell carcinoma, in situ","Non-small cell ca, insit",1/7/2013,,
"M8046/3",M80463,0,Non-small cell carcinoma,Non-small cell ca,1/7/2002,,
"M8046/6",M80466,1,"Non-small cell carcinoma, metastatic","Non-small cell ca, met",1/7/2002,,
"M8046/9",M80469,1,"Non-small cell carcinoma, uncertain whether primary or metastatic","Non-small cell ca, up/m",1/7/2002,,
"M8050/0",M80500,0,Papilloma NOS,Papilloma NOS,1/7/1998,,
"M8050/1",M80501,1,"Papilloma, uncertain whether benign or malignant","Papilloma, ub/m",1/7/2002,,
"M8050/2",M80502,0,Papillary carcinoma in situ,Papilry ca insit,1/7/1998,,
"M8050/3",M80503,0,Papillary carcinoma NOS,Papilry ca NOS,1/7/1998,,
"M8050/6",M80506,1,"Papillary carcinoma, metastatic","Papilry ca, met",1/7/2002,,
"M8050/9",M80509,1,"Papillary carcinoma NOS, uncertain whether primary or metastatic","Papilry ca NOS, up/m",1/7/2002,,
"M8051/0",M80510,0,Verrucous papilloma,Verrucous papilloma,1/7/1998,,
"M8051/1",M80511,1,"Verrucous papilloma, uncertain whether benign or malignant","Verrucous papilloma, ub/m",1/7/2002,,
"M8051/2",M80512,1,"Verrucous carcinoma NOS, in situ","Verrucous ca NOS, insit",1/7/2013,,
"M8051/3",M80513,0,Verrucous carcinoma NOS,Verrucous ca NOS,1/7/1998,,
"M8051/6",M80516,1,"Verrucous carcinoma NOS, metastatic","Verrucous ca NOS, met",1/7/2002,,
"M8051/9",M80519,1,"Verrucous carcinoma NOS, uncertain whether primary or metastatic","Verrucous ca NOS, up/m",1/7/2002,,
"M8052/0",M80520,0,Squamous cell papilloma NOS,Squam cell papilloma NOS,1/7/1998,,
"M8052/1",M80521,1,"Squamous cell papilloma, uncertain whether benign or malignant","Squam cell papilloma, ub/m",1/7/2002,,
"M8052/2",M80522,0,"Papillary squamous cell carcinoma, noninvasive",Papilry SCC noninvasive,1/7/2002,,
"M8052/3",M80523,0,Papillary squamous cell carcinoma,Papilry SCC,1/7/1998,,
"M8052/6",M80526,1,"Papillary squamous cell carcinoma, metastatic","Papilry SCC, met",1/7/2002,,
"M8052/9",M80529,1,"Papillary squamous cell carcinoma, uncertain whether primary or metastatic","Papilry SCC, up/m",1/7/2002,,
"M8053/0",M80530,0,"Squamous cell papilloma, inverted","Squam cell papilloma, invrtd",1/7/1998,,
"M8053/1",M80531,1,"Squamous cell papilloma, inverted, uncertain whether benign or malignant","Squam cell papilloma, invrtd, ub/m",1/7/2002,,
"M8053/3",M80533,1,"Squamous cell papilloma, inverted, malignant","Squam cell papilloma, invrtd, malg",1/7/2013,,
"M8053/6",M80536,1,"Squamous cell papilloma, inverted, metastatic","Squam cell papilloma, invrtd, met",1/7/2013,,
"M8053/9",M80539,1,"Squamous cell papilloma, inverted, uncertain whether primary or metastatic","Squam cell papilloma, invrtd, up/m",1/7/2013,,
"M8054/0",M80540,0,Warty dyskeratoma,Warty dyskeratoma,1/7/2022,,
"M8054/3",M80543,0,Warty carcinoma,Warty carcinoma,1/7/2022,,
"M8054/6",M80546,1,"Warty carcinoma, metastatic",Warty carcinoma metastatic,1/7/2022,,
"M8054/9",M80549,1,"Warty carcinoma, uncertain whether primary or metastatic","Warty carcinoma up/m",1/7/2022,,
"M8060/0",M80600,0,Squamous papillomatosis,Squam papillomatosis,1/7/1998,,
"M8060/1",M80601,1,"Squamous papillomatosis, uncertain whether benign or malignant","Squam papillomatosis, ub/m",1/7/2002,,
"M8070/0",M80700,0,Actinic keratosis,Actinic keratosis,1/7/2000,1/7/2002,1/7/2022
"M8070/1",M80701,1,"Squamous cell tumour, uncertain whether benign or malignant","Squam cell tum, ub/m",1/7/2002,,
"M8070/2",M80702,0,Squamous cell carcinoma in situ NOS,SCC insit NOS,1/7/1998,,
"M8070/3",M80703,0,Squamous cell carcinoma NOS,SCC NOS,1/7/1998,,
"M8070/6",M80706,0,"Squamous cell carcinoma, metastatic NOS","SCC, met NOS",1/7/1998,,
"M8070/9",M80709,1,"Squamous cell carcinoma NOS, uncertain whether primary or metastatic","SCC NOS, up/m",1/7/2002,,
"M8071/2",M80712,0,Differentiated intraepithelial neoplasia,Differentiated intraepithelial neoplasia,1/7/2002,,
"M8071/3",M80713,0,"Squamous cell carcinoma, keratinising NOS","SCC, keratinising NOS",1/7/1998,,
"M8071/6",M80716,1,"Squamous cell carcinoma, keratinising, metastatic","SCC, keratinising, met",1/7/2002,,
"M8071/9",M80719,1,"Squamous cell carcinoma, keratinising NOS, uncertain whether primary or metastatic","SCC, keratinising NOS, up/m",1/7/2002,,
"M8072/0",M80720,0,Large cell acanthoma,Large cell acanthoma,1/7/2022,,
"M8072/1",M80721,1,"Squamous cell tumour, large cell, nonkeratinising, uncertain whether benign or malignant","Squam cell tum, lrg cell, nonkerat, ub/m",1/7/2002,,
"M8072/2",M80722,1,"Squamous cell carcinoma, large cell, nonkeratinising, in situ","SCC, large cell, nonkerat, insit",1/7/2002,,
"M8072/3",M80723,0,"Squamous cell carcinoma, large cell, nonkeratinising NOS","SCC, large cell, nonkerat NOS",1/7/1998,,
"M8072/6",M80726,1,"Squamous cell carcinoma, large cell, nonkeratinising NOS, metastatic","SCC, large cell, nonkerat NOS, met",1/7/2002,,
"M8072/9",M80729,1,"Squamous cell carcinoma, large cell, nonkeratinising NOS, uncertain whether primary or metastatic","SCC, large cell, nonkerat NOS, up/m",1/7/2002,,
"M8073/1",M80731,1,"Squamous cell tumour, small cell, nonkeratinising, uncertain whether benign or malignant","Squam cell tum, sm cell, nonkerat, ub/m",1/7/2002,,
"M8073/2",M80732,1,"Squamous cell carcinoma, small cell, nonkeratinising, in situ","SCC, sm cell, nonkerat, insit",1/7/2002,,
"M8073/3",M80733,0,"Squamous cell carcinoma, small cell, nonkeratinising","SCC, sm cell, nonkerat",1/7/1998,,
"M8073/6",M80736,1,"Squamous cell carcinoma, small cell, nonkeratinising, metastatic","SCC, sm cell, nonkerat, met",1/7/2002,,
"M8073/9",M80739,1,"Squamous cell carcinoma, small cell, nonkeratinising, uncertain whether primary or metastatic","SCC, sm cell, nonkerat, up/m",1/7/2002,,
"M8074/1",M80741,1,"Squamous cell tumour, spindle cell, uncertain whether benign or malignant","Squam cell tum, spndl cell ub/m",1/7/2002,,
"M8074/2",M80742,1,"Squamous cell carcinoma, spindle cell, in situ","SCC, spndl cell, insit",1/7/2002,,
"M8074/3",M80743,0,"Squamous cell carcinoma, spindle cell","SCC, spndl cell",1/7/1998,,
"M8074/6",M80746,1,"Squamous cell carcinoma, spindle cell, metastatic","SCC, spndl cell, met",1/7/2002,,
"M8074/9",M80749,1,"Squamous cell carcinoma, spindle cell, uncertain whether primary or metastatic","SCC, spndl cell, up/m",1/7/2002,,
"M8075/1",M80751,1,"Squamous cell tumour, adenoid, uncertain whether benign or malignant","Squam cell tum, adenoid, ub/m",1/7/2002,,
"M8075/2",M80752,1,"Squamous cell carcinoma, adenoid, in situ","SCC, adenoid, insit",1/7/2002,,
"M8075/3",M80753,0,"Squamous cell carcinoma, adenoid","SCC, adenoid",1/7/1998,,
"M8075/6",M80756,1,"Squamous cell carcinoma, adenoid, metastatic","SCC, adenoid, met",1/7/2002,,
"M8075/9",M80759,1,"Squamous cell carcinoma, adenoid, uncertain whether primary or metastatic","SCC, adenoid, up/m",1/7/2002,,
"M8076/2",M80762,0,Squamous cell carcinoma in situ with questionable stromal invasion,SCC insit w questionable stromal invsn,1/7/1998,,
"M8076/3",M80763,0,"Squamous cell carcinoma, microinvasive","SCC, microinvasive",1/7/1998,,
"M8076/6",M80766,1,"Squamous cell carcinoma, microinvasive, metastatic","SCC, microinvasive, met",1/7/2013,,
"M8076/9",M80769,1,"Squamous cell carcinoma, microinvasive, uncertain whether primary or metastatic","SCC, microinvasive, up/m",1/7/2013,,
"M8077/0",M80770,0,"Squamous intraepithelial neoplasia, low grade","Squam intrepthl neoplasia, low grade ",1/7/2013,,
"M8077/2",M80772,0,"Squamous intraepithelial neoplasia, high grade","Squam intrepthl neoplasia, high grade",1/7/1998,,
"M8078/2",M80782,1,"Squamous cell carcinoma with horn formation, in situ","SCC w horn formation, insit",1/7/2002,,
"M8078/3",M80783,0,Squamous cell carcinoma with horn formation,SCC w horn formation,1/7/2002,,
"M8078/6",M80786,1,"Squamous cell carcinoma with horn formation, metastatic","SCC w horn formation, met",1/7/2002,,
"M8078/9",M80789,1,"Squamous cell carcinoma with horn formation, uncertain whether primary or metastatic","SCC w horn formation, up/m",1/7/2002,,
"M8080/2",M80802,0,Queyrat erythroplasia,Queyrat erythroplasia,1/7/1998,,
"M8081/2",M80812,0,Bowen disease,Bowen disease,1/7/1998,,
"M8082/2",M80822,1,"Lymphoepithelial carcinoma, in situ","Lymphoepithelial ca, insit",1/7/2013,,
"M8082/3",M80823,0,Lymphoepithelial carcinoma,Lymphoepithelial ca,1/7/1998,,
"M8082/6",M80826,1,"Lymphoepithelial carcinoma, metastatic","Lymphoepithelial ca, met",1/7/2002,,
"M8082/9",M80829,1,"Lymphoepithelial carcinoma, uncertain whether primary or metastatic","Lymphoepithelial ca, up/m",1/7/2002,,
"M8083/1",M80831,1,"Basaloid squamous cell tumour, uncertain whether benign or malignant","Basaloid Squam cell tum, ub/m",1/7/2002,,
"M8083/2",M80832,1,"Basaloid squamous cell carcinoma, in situ","Basaloid SCC, insit",1/7/2002,,
"M8083/3",M80833,0,Basaloid squamous cell carcinoma,Basaloid SCC,1/7/2002,,
"M8083/6",M80836,1,"Basaloid squamous cell carcinoma, metastatic","Basaloid SCC, met",1/7/2002,,
"M8083/9",M80839,1,"Basaloid squamous cell carcinoma, uncertain whether primary or metastatic","Basaloid SCC, up/m",1/7/2002,,
"M8084/0",M80840,0,Clear cell acanthoma,Clear cell acanthoma,1/7/2022,,
"M8084/1",M80841,1,"Squamous cell tumour, clear cell type, uncertain whether benign or malignant","Squam cell tum, clear cell type, ub/m",1/7/2002,,
"M8084/2",M80842,1,"Squamous cell carcinoma, clear cell type, in situ","SCC, clear cell type, insit",1/7/2002,,
"M8084/3",M80843,0,"Squamous cell carcinoma, clear cell type","SCC, clear cell type",1/7/2002,,
"M8084/6",M80846,1,"Squamous cell carcinoma, clear cell type, metastatic","SCC, clear cell type, met",1/7/2002,,
"M8084/9",M80849,1,"Squamous cell carcinoma, clear cell type, uncertain whether primary or metastatic","SCC, clear cell type, up/m",1/7/2002,,
"M8085/3",M80853,0,"Squamous cell carcinoma, HPV positive",Squamous cell carcinoma HPV positive,1/7/2022,,
"M8085/6",M80856,1,"Squamous cell carcinoma, HPV positive, metastatic",Squamous cell carcinoma HPV positive met,1/7/2022,,
"M8085/9",M80859,1,"Squamous cell carcinoma, HPV positive, uncertain whether primary or metastatic","Squamous cell ca HPV positive up/m",1/7/2022,,
"M8086/3",M80863,0,"Squamous cell carcinoma, HPV negative",Squamous cell carcinoma HPV negative,1/7/2022,,
"M8086/6",M80866,1,"Squamous cell carcinoma, HPV negative, metastatic",Squamous cell carcinoma HPV negative met,1/7/2022,,
"M8086/9",M80869,1,"Squamous cell carcinoma, HPV negative, uncertain whether primary or metastatic","Squamous cell ca HPV negative up/m",1/7/2022,,
"M8090/0",M80900,1,"Basal cell tumour, benign","Basal cell tum, benign",1/7/2013,,
"M8090/1",M80901,0,Basal cell tumour,Basal cell tum,1/7/1998,,
"M8090/2",M80902,1,"Basal cell tumour, in situ","Basal cell tum, insit",1/7/2002,,
"M8090/3",M80903,0,Basal cell carcinoma NOS,BCC NOS,1/7/1998,,
"M8090/6",M80906,1,"Basal cell carcinoma NOS, metastatic","BCC NOS, met",1/7/2002,,
"M8090/9",M80909,1,"Basal cell carcinoma NOS, uncertain whether primary or metastatic","BCC NOS, up/m",1/7/2002,,
"M8091/2",M80912,1,"Superficial basal cell carcinoma, in situ",Superficial basal cell carcinoma in situ,1/7/2002,,
"M8091/3",M80913,0,Superficial basal cell carcinoma,Superficial basal cell carcinoma,1/7/1998,,
"M8091/6",M80916,1,"Superficial basal cell carcinoma, metastatic",Superficial basal cell carcinoma met,1/7/2002,,
"M8091/9",M80919,1,"Superficial basal cell carcinoma, uncertain whether primary or metastatic","Superficial basal cell carcinoma up/m",1/7/2002,,
"M8092/2",M80922,1,"Infiltrating basal cell carcinoma, in situ","Infiltrating BCC, insit",1/7/2002,,
"M8092/3",M80923,0,Infiltrating basal cell carcinoma NOS,Infiltrating BCC NOS,1/7/1998,,
"M8092/6",M80926,1,"Infiltrating basal cell carcinoma NOS, metastatic","Infiltrating BCC NOS, met",1/7/2002,,
"M8092/9",M80929,1,"Infiltrating basal cell carcinoma NOS, uncertain whether primary or metastatic","Infiltrating BCC NOS, up/m",1/7/2002,,
"M8093/1",M80931,1,"Basal cell tumour, fibroepithelial, uncertain whether benign or malignant","Basal cell tum, fibroepithelial, ub/m",1/7/2002,,
"M8093/2",M80932,1,"Basal cell carcinoma, fibroepithelial, in situ","BCC, fibroepithelial, insit",1/7/2002,,
