code_id,code_id_clean,block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,AgeL,AgeH,Atype,rare_use_flag,block_change,ascii_desc_change,ascii_short_desc_change,sex_change,ageL_change,ageH_change,atype_change,rare_use_flag_change,Status
12021-01,1202101,1865,Epicutaneous patch testing using 50 to 74 allergens,Epicut patch test usg 50 to 74 allergens,1/7/2019,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
12022-00,1202200,1865,Epicutaneous patch testing using 75 to 99 allergens,Epicut patch test usg 75 to 99 allergens,1/7/2019,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
12024-00,1202400,1865,Epicutaneous patch testing using 100 or more allergens,Epicutaneous patch test usg >=100 allrgn,1/7/2019,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
12204-00,1220400,1828,Overnight assessment of positive airway pressure,Overnight assess positive airway press,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
12254-00,1225400,1828,Multiple sleep latency test [MSLT],Multiple sleep latency test,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
12265-00,1226500,1828,Maintenance of wakefulness test,Maintenance of wakefulness test,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13020-00,1302000,1888,"Hyperbaric oxygen therapy, more than 90 minutes to 3 hours",HBOT more than 90 minutes to 3 hours,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
13025-00,1302500,1888,"Hyperbaric oxygen therapy, more than 3 hours",HBOT more than 3 hours,1/7/1998,,,,,,0,0,0,1,0,0,0,0,0,UPDATED
13221-00,1322100,1177,Preparation of semen for artificial insemination,Prep semen for artificial insemination,1/7/1998,,1,,,,0,0,0,0,1,0,0,0,0,UPDATED
13251-00,1325100,1177,Intracytoplasmic sperm injection,Intracytoplasmic sperm injection,1/7/2010,,1,,,,0,0,0,0,1,0,0,0,0,UPDATED
13706-20,1370620,820,"Haematopoietic stem cell transplantation, autologous donor, bone marrow",HSCT autologous donor bone marrow,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-21,1370621,820,"Haematopoietic stem cell transplantation, autologous donor, cord blood",HSCT autologous donor cord blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-22,1370622,820,"Haematopoietic stem cell transplantation, autologous donor, peripheral blood",HSCT autologous donor peripheral blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-29,1370629,820,"Haematopoietic stem cell transplantation, autologous donor, stem cells, not elsewhere classified",HSCT autologous donor stem cells NEC,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-30,1370630,820,"Haematopoietic stem cell transplantation, allogeneic, matched related donor [MRD], bone marrow",HSCT allogeneic MRD bone marrow,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-31,1370631,820,"Haematopoietic stem cell transplantation, allogeneic, matched related donor [MRD], cord blood",HSCT allogeneic MRD cord blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-32,1370632,820,"Haematopoietic stem cell transplantation, allogeneic, matched related donor [MRD], peripheral blood",HSCT allogeneic MRD peripheral blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-39,1370639,820,"Haematopoietic stem cell transplantation, allogeneic, matched related donor [MRD], stem cells, not elsewhere classified",HSCT allogeneic MRD stem cells NEC,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-40,1370640,820,"Haematopoietic stem cell transplantation, allogeneic, matched unrelated donor [MUD], bone marrow",HSCT allogeneic MUD bone marrow,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-41,1370641,820,"Haematopoietic stem cell transplantation, allogeneic, matched unrelated donor [MUD], cord blood",HSCT allogeneic MUD cord blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-42,1370642,820,"Haematopoietic stem cell transplantation, allogeneic, matched unrelated donor [MUD], peripheral blood",HSCT allogeneic MUD peripheral blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-49,1370649,820,"Haematopoietic stem cell transplantation, allogeneic, matched unrelated donor [MUD], stem cells, not elsewhere classified",HSCT allogeneic MUD stem cells NEC,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-50,1370650,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched related donor [MMRD], bone marrow",HSCT allogeneic MMRD bone marrow,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-51,1370651,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched related donor [MMRD], cord blood",HSCT allogeneic MMRD cord blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-52,1370652,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched related donor [MMRD], peripheral blood",HSCT allogeneic MMRD peripheral blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-59,1370659,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched related donor [MMRD], stem cells, not elsewhere classified",HSCT allogeneic MMRD stem cells NEC,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-60,1370660,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched unrelated donor [MMUD], bone marrow",HSCT allogeneic MMUD bone marrow,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-61,1370661,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched unrelated donor [MMUD], cord blood",HSCT allogeneic MMUD cord blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-62,1370662,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched unrelated donor [MMUD], peripheral blood",HSCT allogeneic MMUD peripheral blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-69,1370669,820,"Haematopoietic stem cell transplantation, allogeneic, mismatched unrelated donor [MMUD], stem cells, not elsewhere classified",HSCT allogeneic MMUD stem cells NEC,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-90,1370690,820,"Haematopoietic stem cell transplantation, no documentation of donor type, bone marrow",HSCT no donor type bone marrow,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-91,1370691,820,"Haematopoietic stem cell transplantation, no documentation of donor type, cord blood",HSCT no donor type cord blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-92,1370692,820,"Haematopoietic stem cell transplantation, no documentation of donor type, peripheral blood",HSCT no donor type peripheral blood,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13706-99,1370699,820,"Haematopoietic stem cell transplantation, no documentation of donor type, stem cells, not elsewhere classified",HSCT no donor type stem cells NEC,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13760-00,1376000,1891,In vitro processing of bone marrow or blood for autologous stem cell transplantation,In vitro proces bm bl autologous SCTP,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
13760-01,1376001,1891,In vitro processing of bone marrow or blood for allogeneic stem cell transplantation,In vitro proces bm bl allogeneic SCTP,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
13882-00,1388200,569,"Management of continuous ventilatory support, 24 hours or less","Mgmt contin ventilatry sup 24 hr / less",1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
13882-01,1388201,569,"Management of continuous ventilatory support, more than 24 hours but less than 96 hours",Mgmt contin ventilatry sup > 24 < 96 hr,1/7/1998,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
14100-00,1410000,744,"Laser photocoagulation of cutaneous vascular lesion, continuous laser, individual blood vessels",Laser photcoag continuous blood vessels,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
14106-00,1410600,744,"Laser photocoagulation of cutaneous vascular lesion, pulsed laser, extensive area",Laser photcoag pulsed vasc lesion,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
14224-06,1422406,1907,Electroconvulsive therapy [ECT] 21 or more treatments,Electroconvulsive therapy 21 or more Rx,1/7/2017,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
15003-00,1500300,1786,"Radiation treatment, superficial, 2 or more fields",Radiation Rx superficial >= 2 fields,1/7/1998,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
15103-00,1510300,1787,"Radiation treatment, orthovoltage, 2 or more fields",Radiation Rx orthovoltage >= 2 fields,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
15239-00,1523900,1788,"Radiation treatment, megavoltage, 2 or more fields, single modality linear accelerator",Radiat mgvlt >= 2 fld sgl modlty linac,1/7/2006,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
15269-00,1526900,1788,"Radiation treatment, megavoltage, 2 or more fields, dual modality linear accelerator",Radiat mgvlt >= 2 fld dual modlty linac,1/7/2006,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
15327-04,1532704,1792,"Brachytherapy with implantation of permanent implant, 1 to 9 sources",Brachythrpy w perm impl 1 to 9 sources,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
15327-05,1532705,1792,"Brachytherapy with implantation of permanent implant, 10 or more sources",Brachythrpy w perm impl >= 10 sources,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
18290-00,1829000,61,Administration of neurolytic agent into other cranial nerve,Admin neurolytic into other cranial nrv,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
30075-25,3007525,411,Biopsy of tonsils or adenoids,Biopsy of tonsils or adenoids,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
30075-38,3007538,1291,Biopsy of perineum,Biopsy of perineum,1/7/2008,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
30111-01,3011101,1566,Excision of bursa,Excision of bursa,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
30111-02,3011102,1566,Arthroscopic excision of bursa,Arthroscopic excision of bursa,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
30460-08,3046008,970,Roux-en-Y intestinobiliary bypass,Roux-en-Y intestinobiliary bypass,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
30517-01,3051701,888,Reconstruction of gastro-enterostomy,Reconstruction of gastro-enterostomy,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
30644-06,3064406,1180,"Biopsy of spermatic cord, epididymis or vas deferens",Bx spermatic cd epididymis vas deferens,1/7/1998,,1,,,,0,0,1,1,0,0,0,0,0,UPDATED
30722-00,3072200,881,Laparoscopic gastrostomy,Laparoscopic gastrostomy,1/7/2022,,,,,,0,0,0,0,0,0,0,0,0,NEW
31500-00,3150000,1744,Excision of lesion of breast,Excision of lesion of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31500-01,3150001,1743,Open biopsy of breast,Open biopsy of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31515-00,3151500,1744,Re-excision of lesion of breast,Re-excision of lesion of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31518-00,3151800,1748,"Simple mastectomy, unilateral","Simple mastectomy, unilateral",1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31518-01,3151801,1748,"Simple mastectomy, bilateral","Simple mastectomy, bilateral",1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31524-00,3152400,1747,"Subcutaneous mastectomy, unilateral","Subcutaneous mastectomy, unilateral",1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31524-01,3152401,1747,"Subcutaneous mastectomy, bilateral","Subcutaneous mastectomy, bilateral",1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31533-00,3153300,1743,Fine needle biopsy of breast,Fine needle biopsy of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31536-00,3153600,1740,Localisation of lesion of breast,Localisation of lesion of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31548-00,3154800,1743,Core biopsy of breast,Core biopsy of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31551-00,3155100,1742,Incision and drainage of breast,Incision and drainage of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31554-00,3155400,1742,Microdochotomy of breast,Microdochotomy of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31557-00,3155700,1752,Excision of duct (central) of breast,Excision of duct (central) of breast,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31560-00,3156000,1752,Excision of accessory breast tissue,Excision of accessory breast tissue,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31563-00,3156300,1755,Surgical eversion of inverted nipple,Surgical eversion of inverted nipple,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
31566-00,3156600,1752,Excision of accessory nipple,Excision of accessory nipple,1/7/2004,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
32078-00,3207800,910,Rigid sigmoidoscopy with polypectomy involving removal 1 to 9 polyps,Rigid sigmoidoscopy w PP 1 to 9 polyps,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32081-00,3208100,910,Rigid sigmoidoscopy with polypectomy involving removal of 10 or more polyps,Rigid sigmoidoscopy w PP >= 10 polyps,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32131-00,3213100,940,Perineal repair of rectocele,Perineal repair of rectocele,1/7/1998,,,,,,0,0,0,0,1,0,0,0,0,UPDATED
32508-00,3250800,727,Interruption of varicose veins of great (long) or small (short) saphenous veins,Interptn VV great or small saph veins,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-00,3270000,711,Carotid artery bypass using vein,Carotid artery bypass using vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-01,3270001,711,Carotid-carotid artery bypass using vein,Carotid-carotid artery bypass using vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-02,3270002,711,Carotid-subclavian artery bypass using vein,Carotid-subclavian artery bypass usg ven,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-03,3270003,711,Carotid-vertebral artery bypass using vein,Carotid-vertebral art bypass using vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-04,3270004,711,Aorto-subclavian-carotid artery bypass using vein,Aorto-subclavian-carot art byps usg ven,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-05,3270005,712,Carotid artery bypass using synthetic material,Carotid art bypass using synthetic matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-06,3270006,712,Carotid-carotid artery bypass using synthetic material,Carotid-carotid art bypass synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-07,3270007,712,Carotid-vertebral artery bypass using synthetic material,Carotid-vertebral art byps synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-08,3270008,712,Carotid-subclavian artery bypass using synthetic material,Carotid-subclavian art byps synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-09,3270009,712,Aorto-carotid artery bypass using synthetic material,Aorto-carotid art byps usg synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-10,3270010,712,Aorto-carotid-brachial artery bypass using synthetic material,Aorto carot brc art byps synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32700-11,3270011,712,Aorto-subclavian-carotid artery bypass using synthetic material,Aorto-subclavn-carot art bypass synthc,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32708-00,3270800,712,Aorto-femoral [artery] bypass using synthetic graft material,Aorto femor art byps synthc gft material,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32708-01,3270801,712,Aorto-femoro-femoral [artery] bypass using synthetic graft material,Art-fem-fem art bypass synthc gft matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32708-02,3270802,712,Aorto-iliac [artery] bypass using synthetic graft material,Aorto-iliac art byps synthc gft matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32708-03,3270803,712,Aorto-ilio-femoral [artery] bypass using synthetic graft material,Aorto-ilio-femoral art byps synthc graft,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32712-00,3271200,711,Iliofemoral [artery] bypass grafting using vein,Iliofemoral artery bypass gft usg vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32712-01,3271201,712,Iliofemoral [artery] bypass grafting using synthetic material,Ifem art bypass gft using synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32715-00,3271500,712,Subclavian-femoral artery bypass grafting using synthetic material,Subclavn femor art byps gft synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32715-01,3271501,712,Subclavian-femoro-femoral artery bypass grafting using synthetic material,Subclav bifem art byps gft synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32715-02,3271502,712,Axillo-femoral artery bypass grafting using synthetic material,Axillo-femoral art byps gft synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32715-03,3271503,712,Axillo-femoro-femoral artery bypass grafting using synthetic material,Axillo bifem art byps gft synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32718-00,3271800,713,Iliofemoral crossover bypass grafting,Iliofemoral crossover bypass grafting,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32718-01,3271801,713,Femoro-femoral crossover bypass grafting,Femoro-femoral crossover bypass grafting,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32721-00,3272100,711,"Renal artery bypass grafting using vein, unilateral",Renal art bypass gft usg vein unilateral,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32721-01,3272101,712,"Renal artery bypass grafting using synthetic material, unilateral",Renal art byps gft usg synthc matrl uni,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32724-00,3272400,711,"Renal artery bypass grafting using vein, bilateral",Renal art bypass gft usg vein bilateral,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32724-01,3272401,712,"Renal artery bypass grafting using synthetic material, bilateral",Renal art byps gft usg synthc matrl bil,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32730-00,3273000,711,"Mesenteric [artery] bypass grafting using vein, single vessel",Mesent art byps gft usg vein single vesl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32730-01,3273001,712,"Mesenteric [artery] bypass grafting using synthetic material, single vessel",Mesent art bypass gft synthc sgl vesl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32733-00,3273300,711,"Mesenteric [artery] bypass grafting using vein, multiple vessels",Mesenteric art byps usg ven mult vessels,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32733-01,3273301,712,"Mesenteric [artery] bypass grafting using synthetic material, multiple vessels",Mesent art byps gft synthc mult vesl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32739-00,3273900,711,"Femoro-popliteal artery bypass grafting using vein, above knee anastomosis",Fem-pop byps gft usg ven abv kne anstms,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32742-00,3274200,711,"Femoro-popliteal artery bypass grafting using vein, below knee anastomosis",Fem-pop byps gft usg ven below knee,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32745-00,3274500,711,Femoral to proximal tibial or peroneal artery bypass grafting using vein,Femor prx tibl peronl byps gft usg vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32748-00,3274800,711,Femoral to distal tibial or peroneal artery bypass grafting using vein,Femor dstl tibl peronl byps gft usg vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32751-00,3275100,712,"Femoro-popliteal artery bypass grafting using synthetic material, above knee anastomosis",Fem-pop byps gft synthc matrl abv knee,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32751-01,3275101,712,"Femoro-popliteal artery bypass grafting using synthetic material, below knee anastomosis",Fem-pop byps gft synthc matrl blw knee,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32751-02,3275102,712,Femoral to proximal tibial or peroneal artery bypass grafting using synthetic material,"Femor prx tibl/peronl byps gft synthc",1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32751-03,3275103,712,Femoral to distal tibial or peroneal artery bypass grafting using synthetic material,"Femor dstl tibl/peronl byps gft synthc",1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32754-00,3275400,713,"Femoro-popliteal artery bypass grafting using composite graft, above knee anastomosis",Fem-pop art byps gft compst gft abv knee,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32754-01,3275401,713,"Femoro-popliteal artery bypass grafting using composite graft, below knee anastomosis",Fem-pop art byps gft compst gft blw knee,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32754-02,3275402,713,Femoral to tibial or peroneal artery bypass grafting using composite graft,"Femor to tibl/peronl art byps gft compst",1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32757-00,3275700,713,Femoral artery sequential bypass grafting using vein,Femoral art sequential byps gft usg vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32757-01,3275701,713,Femoral artery sequential bypass grafting using synthetic material,Femoral art seqtl byps gft synthc matrl,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-00,3276300,711,Other arterial bypass grafting using vein,Other arterial bypass grafting usg vein,1/7/1998,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-01,3276301,712,Other arterial bypass grafting using synthetic material,Other arterial byps gft usg synthc matrl,1/7/1998,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
32763-02,3276302,711,Subclavian-vertebral artery bypass grafting using vein,Subclavn-vert art byps gft using ven,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-03,3276303,711,Subclavian-axillary artery bypass grafting using vein,Subclavian-axillary art byps usg ven,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-04,3276304,711,Spleno-renal artery bypass grafting using vein,Spleno-renal art bypass gft using vein,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-05,3276305,711,Aorto-coeliac artery bypass grafting using vein,Aorto-coeliac art bypass gft using vein,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-06,3276306,711,Aorto-femoro-popliteal artery bypass grafting using vein,Aorto-femoro-pop art byps gft using vein,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-07,3276307,711,Ilio-iliac artery bypass grafting using vein,Ilio-iliac artery byps grafting usg ven,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-08,3276308,711,Popliteal-tibial artery bypass grafting using vein,Popliteal-tibial art bypass gft usg vein,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-09,3276309,712,Aorto-subclavian artery bypass grafting using synthetic material,Aorto subclavn byps gft usg synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-10,3276310,712,Subclavian-subclavian artery bypass grafting using synthetic material,Subclavn subclavn byps gft synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-11,3276311,712,Subclavian-vertebral artery bypass grafting using synthetic material,Subclavn vert art byps gft synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-12,3276312,712,Subclavian-axillary artery bypass grafting using synthetic material,Subclavn axil art byps gft synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-13,3276313,712,Axillo-axillary artery bypass grafting using synthetic material,Axillo axil byps gft usg synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-14,3276314,712,Axillo-brachial artery bypass grafting using synthetic material,Axillo brc art byps gft usg synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-15,3276315,712,Spleno-renal artery bypass grafting using synthetic material,Spleno ren art byps gft usg synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-16,3276316,712,Aorto-coeliac artery bypass grafting using synthetic material,Aorto-coeliac byps gft usg synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-17,3276317,712,Aorto-femoro-popliteal artery bypass grafting using synthetic material,Aorto fem-pop art byps gft synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-18,3276318,712,Ilio-iliac artery bypass grafting using synthetic material,Ilio-iliac art byps gft usg synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
32763-19,3276319,712,Popliteal-tibial artery bypass grafting using synthetic material,Popliteal-tibl art byps gft synthc matrl,1/7/2000,,,,,,0,0,1,1,0,0,0,0,0,UPDATED
33112-00,3311200,715,Replacement of suprarenal abdominal aortic aneurysm with graft,Replace suprarenal AAA with graft,1/7/1998,,,,,,0,0,1,0,0,0,0,0,0,UPDATED
