code_id,code_id_clean,block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,AgeL,AgeH,Atype,rare_use_flag
11312-00,1131200,1836,"Air and bone conduction audiometry, standard technique","Air & bone conduction audiometry, std",1/7/1998,,,,,,0
11312-01,1131201,1839,Air conduction and speech discrimination audiometry,Air conduction & sp discrim audiometry,1/7/1998,1/7/2000,,,,,0
11312-02,1131202,1836,Air and bone conduction audiometry using visual reinforcement,Air & bone audiometry visual reinfrcmt,1/7/2000,,,,,,0
11315-00,1131500,1839,Air and bone conduction and speech discrimination audiometry,Air & bne conductn & sp discrim audiomty,1/7/1998,1/7/2000,,,,,0
11315-01,1131501,1837,Speech discrimination test,Speech discrimination test,1/7/2000,,,,,,0
11315-02,1131502,1837,Speech discrimination test with background noise,Speech discrim test w backgrnd noise,1/7/2000,,,,,,0
11318-00,1131800,1839,Air and bone conduction and speech discrimination audiometry with other cochlear testing,"Air & bne conductn, audiomty & oth test",1/7/1998,1/7/2000,,,,,0
11321-00,1132100,1843,Measurement of glycerol induced cochlear function changes,Measure glycerol ind cochlear fn changes,1/7/1998,1/7/2019,,,,,0
11324-00,1132400,1841,Tympanometry using standard probe tone,Tympanometry using standard probe tone,1/7/1998,,,,,,0
11324-01,1132401,1841,Tympanometry using high frequency probe tone,Tympanometry usg high freq probe tone,1/7/2000,,,,,,0
11332-00,1133200,1844,Click evoked otoacoustic emissions evaluation,Click evoked otoacoustic emissions evaln,1/7/2002,,,,,,0
11332-01,1133201,1844,Distortion product otoacoustic emissions evaluation,Distortion prdct otoacous emission evaln,1/7/2002,,,,,,0
11332-02,1133202,1844,Other otoacoustic emissions evaluation,Other otoacoustic emissions evaluation,1/7/2002,,,,,,0
11333-00,1133300,1845,Caloric test of labyrinth,Caloric test of labyrinth,1/7/1998,,,,,,0
11336-00,1133600,1845,Simultaneous bithermal caloric test of labyrinths,Simults bitherml caloric test labyrinths,1/7/1998,,,,,,0
11339-00,1133900,1845,Electronystagmography [ENG],Electronystagmography [ENG],1/7/1998,,,,,,0
11500-00,1150000,1849,Bronchospirometry,Bronchospirometry,1/7/1998,1/7/2019,,,,,0
11503-00,1150300,1847,Measurement of respiratory muscle strength involving transdiaphragmatic or oesophageal pressures,Measure resp musc strength inv pressures,1/7/1998,,,,,,0
11503-01,1150301,1847,Measurement of respiratory muscle strength at multiple lung volumes,Measure resp musc strength mult lung vol,1/7/1998,,,,,,0
11503-02,1150302,1847,Measurement of respiratory muscle endurance or fatigability,"Measure resp musc endurance/fatigability",1/7/1998,,,,,,0
11503-03,1150303,1847,Measurement of respiratory muscle strength before and after intravenous injection of placebo and anticholinesterase drugs,"Measure resp musc before/aft inj/o drugs",1/7/1998,,,,,,0
11503-04,1150304,1848,Exercise testing to assess respiratory status,Exercise test to assess resp status,1/7/1998,,,,,,0
11503-05,1150305,1848,Spirometry with exercise testing,Spirometry with exercise testing,1/7/1998,,,,,,0
11503-06,1150306,1849,Measurement of phrenic nerve function,Measurement of phrenic nerve function,1/7/1998,,,,,,0
11503-07,1150307,1849,Measurement of pulmonary distensibility,Measurement of pulmonary distensibility,1/7/1998,,,,,,0
11503-08,1150308,1849,"Assessment of arterial carbon dioxide tension or cardiac output, rebreathing method","Assess art CO2 tension/cardiac output",1/7/1998,,,,,,0
11503-09,1150309,1849,Measurement of resistance of anterior nares or pharynx,"Measure resistance of ant nares/pharynx",1/7/1998,,,,,,0
11503-10,1150310,1849,Measurement of gas exchange,Measurement of gas exchange,1/7/1998,,,,,,0
11503-11,1150311,1849,Measurement of carbon monoxide diffusing capacity,Measurement of CO diffusing capacity,1/7/1998,,,,,,0
11503-12,1150312,1849,Measurement of total lung volume,Measurement of total lung volume,1/7/1998,,,,,,0
11503-13,1150313,1849,Measurement of airway or pulmonary resistance,"Measurement airway/pulmonary resistance",1/7/1998,,,,,,0
11503-14,1150314,1849,Measurement of ventilatory or occlusion pressure response,"Measure ventilatry / occlus press respn",1/7/1998,,,,,,0
11503-15,1150315,1849,Measurement of ventilation perfusion ratios using multiple inert gas elimination techniques,Measure ventn perfn ratios gas elim tech,1/7/1998,,,,,,0
11503-16,1150316,1849,"Continuous monitoring of pulmonary function, 6 or more hours duration",Continuous monitor pulmonary fn >= 6 hr,1/7/1998,,,,,,0
11503-17,1150317,1849,Inhalation provocation testing,Inhalation provocation testing,1/7/1998,,,,,,0
11503-18,1150318,1849,Tests of distribution of ventilation,Tests of distribution of ventilation,1/7/1998,,,,,,0
11503-19,1150319,1849,Simulated altitude test,Simulated altitude test,1/7/1998,,,,,,0
11506-00,1150600,1849,Other measurement of respiratory function,"Other measurement, respiratory function",1/7/1998,,,,,,0
11512-00,1151200,1849,Continuous measurement of relationship between flow and volume during expiration or inspiration,Contin measure relatnshp b flow & vol,1/7/1998,,,,,,0
11600-00,1160000,1850,Cardiac intracavity blood pressure monitoring,Cardiac intracavity blood press monitor,1/7/1998,,,,,,0
11600-01,1160001,1850,Pulmonary arterial pressure monitoring,Pulmonary arterial pressure monitoring,1/7/1998,,,,,,0
11600-02,1160002,1850,Central venous pressure monitoring,Central venous pressure monitoring,1/7/1998,,,,,,0
11600-03,1160003,1850,Systemic arterial pressure monitoring,Systemic arterial pressure monitoring,1/7/1998,,,,,,0
11602-00,1160200,1852,Examination and recording of wave forms of peripheral veins in 1 or more extremities at rest using CW Doppler or pulsed Doppler,Exam & rcrd wve frm perph vein Doppler,1/7/2006,,,,,,0
11603-00,1160300,1852,Examination and recording of wave forms of peripheral vessels at rest by 1 technique,"Exam, rcrd wave frm perph vesl 1 tech",1/7/1998,1/7/2006,,,,,0
11604-00,1160400,1852,Examination and recording of wave forms of peripheral veins in 1 or more extremities using plethysmography,Exam & rcrd wve form perph vein pltsmg,1/7/2006,,,,,,0
11605-00,1160500,1852,"Examination and recording of wave forms of peripheral veins in lower extremities during and following exercise, using infrared photoplethysmography",Exam & rcrd wve frm ven infrd phtpltsmg,1/7/2006,,,,,,0
11606-00,1160600,1852,Examination and recording of wave forms of peripheral vessels at rest by 2 techniques,"Exam, rcrd wave frm perph vesl 2 tech",1/7/1998,1/7/2006,,,,,0
11609-00,1160900,1852,Examination and recording of wave forms of peripheral vessels at rest by >= 3 techniques,Exam rcrd wve frm perph vesl >= 3 tech,1/7/1998,1/7/2006,,,,,0
11610-00,1161000,1852,Measurement of systolic arterial pressure indices bilaterally and assessment of arterial wave forms in lower extremities,Measure art press & wave form low extrem,1/7/2006,,,,,,0
11611-00,1161100,1852,Measurement of systolic arterial pressure indices bilaterally and assessment of arterial wave forms in upper extremities,Measure art press & wave form upp extrem,1/7/2006,,,,,,0
11612-00,1161200,1852,Measurement of systolic arterial pressure indices bilaterally at rest and following exercise in lower extremities,Measure art press at rest & foll exer,1/7/1998,,,,,,0
11614-00,1161400,1851,Examination and recording of wave forms of intracranial arterial circulation using transcranial Doppler,Exam rcrd wve intrcran art trnscran Dplr,1/7/2006,,,,,,0
11615-00,1161500,1857,Measurement of digital temperature,Measurement of digital temperature,1/7/1998,,,,,,0
11618-00,1161800,1851,Examination and recording of wave forms of carotid or vertebral vessels by 1 technique,"Exam rcrd wve carot / vert vesl 1 tech",1/7/1998,1/7/2006,,,,,0
11621-00,1162100,1851,Examination and recording of wave forms of carotid vessels by 2 techniques,"Exam, rcrd wave carot/vert vesl 2 tech",1/7/1998,1/7/2006,,,,,0
11624-00,1162400,1851,Examination and recording of wave forms of carotid or vertebral vessels by >= 3 techniques,"Exam & rcrd wave carot/vert >= 3 tech",1/7/1998,1/7/2006,,,,,0
11700-00,1170000,1855,Other electrocardiography [ECG],Other electrocardiography [ECG],1/7/1998,,,,,,0
11706-00,1170600,1855,Phonocardiography with electrocardiograph [ECG] lead,Phonocardiography with ECG lead,1/7/1998,1/7/2006,,,,,0
11706-01,1170601,1855,Phonocardiography with electrocardiograph [ECG] lead with apex cardiogram,Phonocardiography ECG lead apex cardiogm,1/7/1998,1/7/2006,,,,,0
11708-00,1170800,1853,Ambulatory continuous ECG recording,Ambulatory continuous ECG recording,1/7/1998,,,,,,0
11709-00,1170900,1853,Holter ambulatory continuous ECG recording,Holter ambulatory continuous ECG rcrd,1/7/1998,,,,,,0
11710-00,1171000,1854,"Patient activated ambulatory ECG monitoring, recording for at least 20 seconds prior to and 15 seconds after each activation",Pt actvd ECG 20 prior & 15 sec aft actvn,1/7/1998,,,,,,0
11711-00,1171100,1854,"Patient activated ambulatory ECG monitoring, recording for at least 30 seconds after each activation",Pt actvd ambulatory ECG 30 after actvn,1/7/1998,,,,,,0
11712-00,1171200,1857,Cardiovascular stress test,Cardiovascular stress test,1/7/1998,,,,,,0
11713-00,1171300,1855,Signal averaged ECG recording,Signal averaged ECG recording,1/7/1998,,,,,,0
11715-00,1171500,1857,Blood dye - dilution indicator test,Blood dye - dilution indicator test,1/7/1998,,,,,,0
11718-00,1171800,1856,Testing of other cardiac pacemaker,Testing of other cardiac pacemaker,1/7/1998,,,,,,0
11721-00,1172100,1856,Testing of atrioventricular [AV] sequential implanted pacemaker,Testing A-V sequential impl pacemaker,1/7/1998,1/7/2008,,,,,0
11721-01,1172101,1856,Testing of rate responsive implanted pacemaker,Test rate responsive implanted pacemaker,1/7/1998,1/7/2008,,,,,0
11721-02,1172102,1856,Testing of antitachycardia implanted pacemaker,Test antitachycardia implanted pacemaker,1/7/1998,1/7/2008,,,,,0
11721-03,1172103,1856,"Testing of atrioventricular [AV] sequential, rate responsive or antitachycardia cardiac pacemaker","Test A-V seqtl rate respn / antchy pcmkr",1/7/2008,,,,,,0
11722-00,1172200,1854,Patient activated implantable cardiac event monitoring,Pt actvd impl card event monitoring,1/7/2008,,,,,,0
11724-00,1172400,1857,Upright tilt table testing,Upright tilt table testing,1/7/1998,,,,,,0
11727-00,1172700,1856,Testing of cardiac defibrillator,Testing of cardiac defibrillator,1/7/2010,,,,,,0
11800-00,1180000,1859,Oesophageal motility test,Oesophageal motility test,1/7/1998,,,,,,0
11810-00,1181000,1859,Measurement of gastro-oesophageal reflux involving 24 hour or more pH monitoring,Measure gastoesph reflux >= 24 hr pH,1/7/1998,,,,,,0
11820-00,1182000,1005,Panendoscopy via camera capsule,Panendoscopy via camera capsule,1/7/2006,,,,,,0
11830-00,1183000,1859,Anal manometry,Anal manometry,1/7/1998,,,,,,0
11830-01,1183001,1859,Measurement of anorectal sensation,Measurement of anorectal sensation,1/7/1998,,,,,,0
11830-02,1183002,1859,Measurement of rectosphincteric reflex,Measurement of rectosphincteric reflex,1/7/1998,,,,,,0
11833-00,1183300,1859,Measurement of pudendal and spinal nerve motor latency,Measure pudendal & spin nrv motor latncy,1/7/1998,,,,,,0
11833-01,1183301,1859,Electromyography of pelvic floor and anal sphincter muscles,EMG pelvic floor & anal sphincter musc,1/7/1998,,,,,,0
11900-00,1190000,1862,Urine flow study,Urine flow study,1/7/1998,,,,,,0
11903-00,1190300,1860,Cystometrography,Cystometrography,1/7/1998,,,,,,0
11906-00,1190600,1861,Urethral pressure profilometry [UPP],Urethral pressure profilometry [UPP],1/7/1998,,,,,,0
11909-00,1190900,1861,Urethral pressure profilometry [UPP] with urethral sphincter electromyography,UPP with urethral sphincter EMG,1/7/1998,,,,,,0
11912-00,1191200,1860,Cystometrography with measurement of rectal pressure,CMG with measurement rectal pressure,1/7/1998,,,,,,0
11915-00,1191500,1860,Cystometrography with urethral sphincter electromyography,CMG with urethral sphincter EMG,1/7/1998,,,,,,0
11917-00,1191700,1860,Cystometrography with 1 or more measurements,Cystometrography with >= 1 measurements,1/7/2006,,,,,,0
11918-00,1191800,1860,Cystometrography with one or more measurements,Cystometrography with >=1 measurements,1/7/1998,1/7/2006,,,,,0
11919-00,1191900,1860,Cystometrography with contrast micturating cystourethrography,CMG w contrst mict cystourethrography,1/7/2006,,,,,,0
11921-00,1192100,1862,Bladder washout test study,Bladder washout test study,1/7/1998,,,,,,0
12000-00,1200000,1864,Skin sensitivity testing using 1 to 20 allergens,Skin sensitivity test usg 1 to 20 allrgn,1/7/1998,,,,,,0
12003-00,1200300,1864,Skin sensitivity testing using 21 or more allergens,Skin sensitivity test usg >= 21 allrgn,1/7/1998,,,,,,0
12012-00,1201200,1865,Epicutaneous patch testing using less than the total number of allergens in a standard patch test battery,Epicut patch test < std number allergens,1/7/1998,1/7/2019,,,,,0
12012-01,1201201,1865,Epicutaneous patch testing using 1 to 24 allergens,Epicut patch test usg 1 to 24 allergens,1/7/2019,,,,,,0
12015-00,1201500,1865,Epicutaneous patch testing using all the allergens in standard patch test battery,Epicut patch test usg all std allergens,1/7/1998,1/7/2019,,,,,0
12017-00,1201700,1865,Epicutaneous patch testing using 25 to 49 allergens,Epicut patch test usg 25 to 49 allergens,1/7/2019,,,,,,0
12018-00,1201800,1865,Epicutaneous patch testing using <= 50 allergens,Epicut patch test using <= 50 allergens,1/7/1998,1/7/2019,,,,,0
12021-00,1202100,1865,Epicutaneous patch testing using >= 51 allergens,Epicut patch test using >= 51 allergens,1/7/1998,1/7/2019,,,,,0
12021-01,1202101,1865,Epicutaneous patch testing using 50 to 74 allergens,Epicut patch test usg 50 to 74 allergens,1/7/2019,,,,,,0
12022-00,1202200,1865,Epicutaneous patch testing using 75 to 99 allergens,Epicut patch test usg 75 to 99 allergens,1/7/2019,,,,,,0
12024-00,1202400,1865,Epicutaneous patch testing using 100 or more allergens,Epicutaneous patch test usg >=100 allrgn,1/7/2019,,,,,,0
12200-00,1220000,1885,Iontophoresis,Iontophoresis,1/7/1998,1/7/2004,,,,,0
12203-00,1220300,1828,Polysomnography,Polysomnography,1/7/1998,,,,,,0
12203-01,1220301,1828,Overnight oximetry,Overnight oximetry,1/7/2013,,,,,,0
12204-00,1220400,1828,Overnight assessment of positive airway pressure,Overnight assess positive airway press,1/7/2022,,,,,,0
12254-00,1225400,1828,Multiple sleep latency test [MSLT],Multiple sleep latency test,1/7/2022,,,,,,0
12265-00,1226500,1828,Maintenance of wakefulness test,Maintenance of wakefulness test,1/7/2022,,,,,,0
12306-00,1230600,1984,Bone densitometry using dual energy x-ray absorptiometry,Bone densitometry usg dual energy xray,1/7/1998,,,,,,0
12309-00,1230900,1984,Bone densitometry using quantitative computerised tomography,Bone densitometry using quantitative CT,1/7/1998,,,,,,0
12326-00,1232600,1835,Bilateral retinal photography,Bilateral retinal photography,1/7/2019,,,,,,0
12500-00,1250000,1863,Blood volume nuclear medicine estimation,Blood vol nuclear medicine estimation,1/7/1998,,,,,,0
12503-00,1250300,1863,Erythrocyte radioactive uptake survival time test,Erythrocyte radioact uptake survl test,1/7/1998,,,,,,0
12503-01,1250301,1863,Iron kinetic test,Iron kinetic test,1/7/1998,,,,,,0
12506-00,1250600,1863,Gastrointestinal nuclear medicine blood loss estimation,GI nuclear med blood loss estimation,1/7/1998,,,,,,0
12509-00,1250900,1863,Gastrointestinal nuclear medicine protein loss test,GI nuclear medicine protein loss test,1/7/1998,,,,,,0
12512-00,1251200,1863,"Radioactive B12 absorption test, 1 isotope",Radioactive B12 absorptn test 1 isotope,1/7/1998,,,,,,0
12515-00,1251500,1863,"Radioactive B12 absorption test, 2 isotopes",Radioactive B12 absorptn test 2 isotopes,1/7/1998,,,,,,0
12518-00,1251800,1863,Thyroid uptake study,Thyroid uptake study,1/7/1998,,,,,,0
12521-00,1252100,1863,Perchlorate discharge study,Perchlorate discharge study,1/7/1998,,,,,,0
12524-00,1252400,1863,Renal function nuclear medicine test,Renal function nuclear medicine test,1/7/1998,,,,,,0
12530-00,1253000,1863,Nuclear medicine whole body count,Nuclear medicine whole body count,1/7/1998,,,,,,0
12533-00,1253300,1863,Carbon labelled urea breath test,Carbon labelled urea breath test,1/7/1998,,,,,,0
13020-00,1302000,1888,"Hyperbaric oxygen therapy, more than 90 minutes to 3 hours",HBOT more than 90 minutes to 3 hours,1/7/1998,,,,,,0
13025-00,1302500,1888,"Hyperbaric oxygen therapy, more than 3 hours",HBOT more than 3 hours,1/7/1998,,,,,,0
13100-00,1310000,1060,Haemodialysis,Haemodialysis,1/7/1998,,,,,,0
13100-01,1310001,1060,Intermittent haemofiltration,Intermittent haemofiltration,1/7/1998,,,,,,0
13100-02,1310002,1060,Continuous haemofiltration,Continuous haemofiltration,1/7/1998,,,,,,0
13100-03,1310003,1060,Intermittent haemodiafiltration,Intermittent haemodiafiltration,1/7/1998,,,,,,0
13100-04,1310004,1060,Continuous haemodiafiltration,Continuous haemodiafiltration,1/7/1998,,,,,,0
13100-05,1310005,1060,Haemoperfusion,Haemoperfusion,1/7/1998,,,,,,0
13100-06,1310006,1061,"Peritoneal dialysis, short term","Peritoneal dialysis, short term",1/7/1998,,,,,,0
13100-07,1310007,1061,"Intermittent peritoneal dialysis, long term",Intermittent peritonl dialysis long term,1/7/1998,,,,,,0
13100-08,1310008,1061,"Continuous peritoneal dialysis, long term",Continuous peritonl dialysis long term,1/7/1998,,,,,,0
13104-00,1310400,1063,Education and training for home dialysis,Education & training for home dialysis,1/7/2008,,,,,,0
13106-00,1310600,764,Thrombectomy of an external arteriovenous shunt,Thrombectomy external AV shunt,1/7/1998,,,,,,0
13109-00,1310900,1062,Insertion and fixation of indwelling peritoneal catheter for long term peritoneal dialysis,Ins & fix indwel peritonl cath long term,1/7/1998,,,,,,0
13109-01,1310901,1062,Replacement of indwelling peritoneal catheter for peritoneal dialysis,Replace indwel peritonl cath f dialysis,1/7/1998,,,,,,0
13110-00,1311000,1062,Removal of indwelling peritoneal catheter for peritoneal dialysis,"R/O indwel peritoneal cath for dialysis",1/7/1998,,,,,,0
13112-00,1311200,1062,Establishment of peritoneal dialysis by abdominal puncture and insertion of temporary catheter,"Est dialysis by abdo punct, ins catheter",1/7/1998,,,,,,0
13200-00,1320000,1297,Assisted reproductive technologies to induce superovulation,Asst reprod technology ind supovulatn,1/7/1998,,2,210,260,2,0
13203-00,1320300,1297,Ovulation monitoring services for artificial insemination,Ovulation monitor for artf insemin,1/7/1998,,2,210,260,2,0
13206-00,1320600,1297,Assisted reproductive technologies to induce oocyte growth and development,Asst reprod induce oocyte growth & devt,1/7/1998,,2,210,260,2,0
13209-00,1320900,1297,Planning and management for assisted reproductive technologies,Plan & mgmt asst reproductive technology,1/7/1998,,2,210,260,2,0
13212-00,1321200,1297,Transvaginal oocyte retrieval,Transvaginal oocyte retrieval,1/7/1998,,2,210,260,2,0
13212-01,1321201,1297,Transabdominal oocyte retrieval,Transabdominal oocyte retrieval,1/7/1998,,2,210,260,2,0
13215-00,1321500,1297,Gamete intrafallopian transfer [GIFT],Gamete intrafallopian transfer [GIFT],1/7/1998,,2,210,260,2,0
13215-01,1321501,1297,Embryo transfer to uterus,Embryo transfer to uterus,1/7/2000,,2,210,260,2,0
13215-02,1321502,1297,Embryo transfer to fallopian tube,Embryo transfer to fallopian tube,1/7/2000,,2,210,260,2,0
13215-03,1321503,1297,Other reproductive medicine procedure,Other reproductive medicine procedure,1/7/2000,,2,210,260,2,0
13218-00,1321800,1297,"Fresh, frozen, thawed embryo transfer to uterus",Fresh frozen thawed embryo trnsfr uterus,1/7/1998,1/7/2000,2,,,,0
13218-01,1321801,1297,"Fresh, frozen, thawed embryo transfer to fallopian tube","Fresh frzn thwd embryo trnsfr, fall tube",1/7/1998,1/7/2000,2,,,,0
13218-02,1321802,1297,Other reproductive medicine procedure,Other reproductive medicine procedure,1/7/1998,1/7/2000,2,,,,0
13221-00,1322100,1177,Preparation of semen for artificial insemination,Prep semen for artificial insemination,1/7/1998,,1,,,,0
13251-00,1325100,1177,Intracytoplasmic sperm injection,Intracytoplasmic sperm injection,1/7/2010,,1,,,,0
13290-00,1329000,1192,Collection of semen using a device,Collection of semen using a device,1/7/1998,,1,,,,0
13292-00,1329200,1192,Collection of semen using a device under general anaesthetic,Collection of semen with device under GA,1/7/1998,1/7/2002,1,,,,0
13300-00,1330000,738,"Catheterisation/cannulation of other vein in neonate","Cath/cannulation other vein in neonate",1/7/1998,,,,,,0
13300-01,1330001,738,"Scalp vein catheterisation/cannulation in neonate","Scalp vein cath/cannulation in neonate",1/7/1998,,,,,,0
13300-02,1330002,738,"Umbilical vein catheterisation/cannulation in neonate","Umbilical vein cath/cannuln in neonate",1/7/1998,,,,,,0
13303-00,1330300,694,"Umbilical artery catheterisation/cannulation in neonate","Umbilical artery cath/cannuln in neonate",1/7/1998,,,,,,0
13306-00,1330600,1893,Exchange transfusion in infant,Exchange transfusion in infant,1/7/1998,,,,,,0
13312-00,1331200,1858,Collection of blood for diagnostic purpose in neonate,"Collection blood for dx purpose, neonate",1/7/1998,,,,,,0
13319-00,1331900,738,Central vein catheterisation in neonate,Central vein catheterisation in neonate,1/7/1998,,,,,,0
13400-00,1340000,1890,Cardioversion,Cardioversion,1/7/1998,,,,,,0
13500-00,1350000,1899,Gastric hypothermia,Gastric hypothermia,1/7/1998,1/7/2019,,,,,0
13503-00,1350300,1867,Gastric hypothermia for gastrointestinal haemorrhage,Gastric hypothermia for GI haemorrhage,1/7/1998,1/7/2000,,,,,0
13506-00,1350600,1899,Gastro-oesophageal balloon tamponade,Gastro-oesophageal balloon tamponade,1/7/1998,,,,,,0
13600-00,1360000,1886,Perfusion of organ,Perfusion of organ,1/7/1998,1/7/2004,,,,,0
13603-00,1360300,1886,Whole body perfusion,Whole body perfusion,1/7/1998,1/7/2004,,,,,0
13606-00,1360600,1880,Cold therapy,Cold therapy,1/7/1998,1/7/2004,,,,,0
13700-00,1370000,801,Procurement of bone marrow for transplantation,Procurement bone marrow for trnsplnt,1/7/1998,,,,,,0
13706-00,1370600,802,"Allogeneic bone marrow or stem cell transplantation, matched related donor, without in vitro processing","Allo bm/sc trnsplnt rel don wo in vitro",1/7/1998,1/7/2022,,,,,0
13706-01,1370601,1893,Administration of whole blood,Administration of whole blood,1/7/1998,,,,,,0
13706-02,1370602,1893,Administration of packed cells,Administration of packed cells,1/7/1998,,,,,,0
13706-03,1370603,1893,Administration of platelets,Administration of platelets,1/7/1998,,,,,,0
13706-04,1370604,1893,Administration of leukocytes,Administration of leukocytes,1/7/1998,,,,,,0
13706-05,1370605,1893,Administration of gamma globulin,Administration of gamma globulin,1/7/1998,,,,,,0
13706-06,1370606,802,"Allogeneic bone marrow or stem cell transplantation, matched related donor, with in vitro processing","Allo bm/sc trnsplnt rel don w in vitro",1/7/1998,1/7/2022,,,,,0
13706-07,1370607,802,"Autologous bone marrow or stem cell transplantation, without in vitro processing","Autolgs bm/stem cel trnsplnt wo in vitro",1/7/1998,1/7/2022,,,,,0
13706-08,1370608,802,"Autologous bone marrow or stem cell transplantation, with in vitro processing","Autolgs bm/stem cell trnsplnt w in vitro",1/7/1998,1/7/2022,,,,,0
