, Procedural qualifier terms including materials and sizes,to 1600,not relevant,,,,,,,,,,,,,,,
, Medical therapy for cardiovascular diseases,to 1760,not relevant,,,,,,,,,,,,,,,
, Postprocedural complications and sequelae   ,to 1800,not relevant,,,,,,,,,,,,,,,
, Normal terms: structure and function,to 3000,not relevant ,,,,,,,,,,,,,,,
 , General site specific qualifiers,to 3200,not relevant ,,,,,,,,,,,,,,,
, Lung and non-cardiac thoracic disease,to 4000,not relevant ,,,,,,,,,,,,,,,
," Thoracic, pleural, tracheal, bronchial, lung & gastro-oesophageal procedures",to 4200,not relevant ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2 , Broad generic terms for congenital heart disease ,, ,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,
," Congenital cardiovascular abnormality,",to 1,01.01.34,746.9,,Q24.9,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Congenital heart disease,",to 1,01.01.30,746.9,,Q24.9,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Acyanotic congenital heart disease,",to 1,01.01.31,746.9,,Q24.9,,01.01.32," Cardiac abnormality,",,,,,,,,,
," Cyanotic congenital heart disease,",to 1,01.01.32,746.9,,Q24.9,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Complex heart abnormality, ",to 1,01.01.21,746.9,,Q20.9,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Left heart obstruction at multiple sites (including Shone syndrome),",to 1,01.01.33,746.9,,Q20.9,,01.01.33," Left heart obstruction at multiple sites (including Shone syndrome),",,,,,,,,,
," Structural developmental anomaly (congenital) of heart and-or great vessels and related acquired abnormality,",to 1,01.01.38,746.9,,Q20.9,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Structural developmental anomaly of heart and-or great vessels,",to 1,01.01.59,746.9,,Q20.9,,01.01.59," Structural developmental anomaly of heart and-or great vessels,",,,,,,,,,
,,,,,,,,, ,,,,,,,,,
3,Generic pathological cardiac and vascular terms ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
, General pathological & physiological valve terms,to 4,not relevant,,,,,,,,,,,,,,,
," Isomerism,",to 1,01.03.12,,,,, ,,,,,,,,,,
," Isomerism of atrial appendages,   ",to 38,01.03.08,746.8,,Q20.6,,01.03.06," Abnormal atrial arrangement,",,,,,,,,,
," Superior caval vein (superior caval vein (SVC)) occlusion,",to 1,04.01.21,747.4,,Q26.9,,04.01.00," Superior caval vein (SVC) abnormality,   ",,,,,,,,,
," Superior caval vein (SVC) stenosis,",to 960,04.01.22,747.4,,Q26.9,,04.01.00," Superior caval vein (SVC) abnormality,   ",,,,,,,,,
," Inferior caval vein (IVC) occlusion,",to 1,04.03.21,747.4,,Q26.9,,04.03.00," Inferior caval vein (IVC) abnormality,   ",,,,,,,,,
," Inferior caval vein (IVC) stenosis,",to 960,04.03.22,747.4,,Q26.9,,04.03.00," Inferior caval vein (IVC) abnormality,   ",,,,,,,,,
," Aneurysm,",to 976,01.01.61,442.9,,I72.9,,01.01.61," Aneurysm,",,,,,,,,,
," Heart aneurysm,",to 976,01.01.62,414.1,,I25.3,,01.01.61," Aneurysm,",,,,,,,,,
," Heart wall aneurysm,",to 976,01.01.63,414.1,,I25.3,,01.01.61," Aneurysm,",,,,,,,,,
," Ventricular aneurysm,",to 976,01.01.64,414.1,,I25.3,,01.01.61," Aneurysm,",,,,,,,,,
," Right ventricular aneurysm,",to 976,07.01.14,414.1,,I25.3,,07.01.14," Right ventricular aneurysm,",,,,,,,,,
," Left ventricular aneurysm,",to 976,07.06.13,414.1,,I25.3,,07.06.13," Left ventricular aneurysm,",,,,,,,,,
," Right ventricular diverticulum,",to 976,07.01.15,746.8,,Q24.8,,07.01.00," Right ventricular abnormality,",,,,,,,,,
," Left ventricular diverticulum,",to 976,07.06.18,746.8,,Q24.8,,07.06.00," Left ventricular abnormality,",,,,,,,,,
," Pulmonary arterial aneurysm,",to 976,09.10.44,747.3,,Q25.7,,09.10.44," Pulmonary arterial aneurysm,",,,,,,,,,
," Coronary arterial aneurysm(s),   ",to 464,09.46.01,746.8,,Q24.5,,09.46.01," Coronary arterial aneurysm(s),   ",,,,,,,,,
," Coronary arterial stenosis,",to 467,09.46.90,414.0,,I25.1,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Cardiac abnormality,",to 1,01.01.39,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Vascular abnormality,",to 1,01.01.60,459.9,,I99,,01.01.60," Vascular abnormality,",,,,,,,,,
," Embolus,",to 1,01.01.65,444.9,,I74.9,,01.01.60," Vascular abnormality,",,,,,,,,,
," Diagnosis unspecified,",to 1,01.01.36,nc,,nc,,not relevant,,,,,,,,,,
," Other or miscellaneous diagnosis,",to 1,01.01.37,nc,,nc,,not relevant,,,,,,,,,,
,,,,,,,, , ,,,,,,,,,
4,General pathological & physiological valve terms,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
, Functional valvar regurgitation (trace) ,to 785,not relevant,,,,,,,,,,,,,,,
," Valvar regurgitation,",to 963,06.00.31,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Valvar stenosis,",to 963,06.00.32,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
," Pulmonary vein stenosis,",to 94,04.08.91,747.4,,Q26.8,,04.08.91," Pulmonary vein stenosis,",,,,,,,,,
," Pulmonary venous atresia,",to 5,04.08.92,747.4,,Q26.8,,04.08.91," Pulmonary vein stenosis,",,,,,,,,,
," Tricuspid valvar abnormality,   ",to 5,06.01.00,746.9,,Q22.9,,06.01.00," Tricuspid valvar abnormality,   ",,,,,,,,,
," Tricuspid regurgitation,",to 963,06.01.91,746.8,,Q22.8,,06.01.91," Tricuspid regurgitation,",,,,,,,,,
," Tricuspid stenosis,",to 960,06.01.92,746.1,,Q22.4,,06.01.92," Tricuspid stenosis,",,,,,,,,,
," Tricuspid valvar stenosis: functional,",to 960,06.01.93,746.1,,Q22.4,,06.01.92," Tricuspid stenosis,",,,,,,,,,
," Tricuspid subvalvar apparatus abnormality,",to 1,06.01.12,746.9,,Q22.8,,06.01.00," Tricuspid valvar abnormality,   ",,,,,,,,,
," Mitral valvar abnormality,   ",to 5,06.02.00,746.9,,Q23.9,,06.02.00," Mitral valvar abnormality,   ",,,,,,,,,
," Mitral regurgitation,",to 963,06.02.91,746.6,,Q23.3,,06.02.91," Mitral regurgitation,",,,,,,,,,
," Mitral stenosis,",to 960,06.02.92,746.5,,Q23.2,,06.02.92," Mitral stenosis,",,,,,,,,,
," Mitral valvar stenosis,",to 960,06.02.93,746.5,,Q23.2,,06.02.93," Mitral valvar stenosis,",,,,,,,,,
," Mitral valvar stenosis: functional,",to 960,06.02.94,746.5,,Q23.2,,06.02.92," Mitral stenosis,",,,,,,,,,
," Mitral subvalvar apparatus abnormality,",to 1,06.02.12,746.9,,Q23.8,,06.02.12," Mitral subvalvar apparatus abnormality,",,,,,,,,,
," Pulmonary valvar abnormality,   ",to 5,09.05.00,746.0,,Q22.3,,09.05.00," Pulmonary valvar abnormality,   ",,,,,,,,,
," Pulmonary regurgitation,",to 963,09.05.91,746.0,,Q22.2,,09.05.91," Pulmonary regurgitation,",,,,,,,,,
," Pulmonary stenosis,",to 960,09.05.92,746.0,,Q22.1,,09.05.92," Pulmonary stenosis,",,,,,,,,,
," Pulmonary valvar stenosis: functional,",to 960,09.05.93,746.0,,Q22.1,,09.05.92," Pulmonary stenosis,",,,,,,,,,
," Pulmonary stenosis or atresia not present,",to 1,09.05.94,nc,,nc,,,,,,,,,,,,
," Pulmonary valvar stenosis,",to 960,09.05.01,746.0,,Q22.1,,09.05.01," Pulmonary valvar stenosis,",,,,,,,,,
," Aortic valvar abnormality,   ",to 5,09.15.00,746.9,,Q23.9,,09.15.00," Aortic valvar abnormality,   ",,,,,,,,,
," Aortic regurgitation,",to 963,09.15.91,746.4,,Q23.1,,09.15.91," Aortic regurgitation,",,,,,,,,,
," Aortic stenosis,",to 960,09.15.92,746.3,,Q23.0,,09.15.92," Aortic valvar stenosis,",,,,,,,,,
," Aortic valvar stenosis,",to 960,09.15.13,746.3,,Q23.0,,09.15.13," Aortic valvar stenosis,",,,,,,,,,
," Aortic valvar stenosis: functional,",to 960,09.15.93,746.3,,Q23.0,,09.15.92," Aortic valvar stenosis,",,,,,,,,,
," Aortic stenosis not present,",to 1,09.15.89,nc,,nc,,not relevant,,,,,,,,,,
," Congenital polyvalvar dysplasia,",to 960,06.00.33,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
,,,,,,,,,,,,,,,,,,
, ____________________ End of branch ____________________, ,,,,,, ,,,,,,,,,,
,,, ,,, , ,,,,,,,,,,,
5,Congenital heart defects in sequential segmental order,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Arrangement of heart & organs, connections, topology  ",to 10,not relevant,,,,,,,,,,,,,,,
, Tetralogy of Fallot and variants,to 70,not relevant,,,,,,,,,,,,,,,
, Transposition of great arteries and variants,to 71,not relevant,,,,,,,,,,,,,,,
, Functionally univentricular heart variants,to 72,not relevant,,,,,,,,,,,,,,,
, Great vein and coronary sinus abnormalities   ,to 75,not relevant,,,,,,,,,,,,,,,
, Atrial and atrial septal abnormalities    ,to 100,not relevant,,,,,,,,,,,,,,,
, Atrioventricular septal defect and atrioventricular valvar abnormalities    ,to 150,not relevant,,,,,,,,,,,,,,,
, Ventricular and ventricular septal abnormalities ,to 250,not relevant,,,,,,,,,,,,,,,
, Arterial valvar and great arterial abnormalities   ,to 300,not relevant,,,,,,,,,,,,,,,
, Congenital anomalies of pericardium   ,to 497,not relevant,,,,,,,,,,,,,,,
, To Table of contents   ,to 1,not relevant,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,"Arrangement of heart & organs, connections, topology",,,,,,,,,,,,,,,,,
,   ,,,,,,,,,,,,,,,,,
, Position-Orientation of heart in thorax   ,to 15,not relevant,,,,,,,,,,,,,,,
, Position & morphology of thoraco-abdominal organs  ,to 20,not relevant,,,, ,,,,,,,,,,,
," Atrial arrangement (situs), atrioventricular & ventriculo-arterial connections  ",to 30,not relevant,,,,, ,,,,,,,,,,
, Cardiac & great vessel topology and relationships  ,to 60,not relevant,,,,,,,,,,,,,,,
, Segmental nomenclature,to 68,not relevant,,,,,,,,,,,,,,,
, Ventricular imbalance ,to 73,not relevant,,,,,,,,,,,,,,,
, Conjoined twins,to 532,not relevant,,,,,,,,,,,,,,,
," Congenital abnormality of cardiac position and-or connections,",to 1,01.01.35,746.9,,Q24.9,,01.01.59," Structural developmental anomaly of heart and-or great vessels,",,,,,,,,,
, ,,,, ,,,,,,,,,,,,,
15,Position - Orientation of heart in thorax,,,,,,,,,,,,,,,,,
,   ,,,,,,,,,,,,,,,,,
," Normal position-orientation of heart,   ",to 1,02.01.00,nc,,nc,,not relevant,,,,,,,,,,
," Anomalous position-orientation of heart,",to 1,02.01.09,746.8,,Q24.8,,02.01.09," Anomalous position-orientation of heart,",,,,,,,,,
," Extrathoracic heart (ectopia cordis),   ",to 16,02.01.01,746.8,,Q24.8,,02.01.01," Extrathoracic heart (ectopia cordis),   ",,,,,,,,,
," Dextrocardia: heart predominantly in right hemithorax,  ",to 1,02.01.02,746.8,,Q24.0,,02.01.02," Dextrocardia: heart predominantly in right hemithorax,  ",,,,,,,,,
," Laevocardia: heart predominantly in left hemithorax,  ",to 1,02.01.03,746.8,,Q24.1,,02.01.03," Laevocardia: heart predominantly in left hemithorax,  ",,,,,,,,,
," Midline heart (mesocardia),    ",to 1,02.01.04,746.8,,Q24.8,,02.01.04," Midline heart (mesocardia),    ",,,,,,,,,
," Heart rotated to right (dextrorotation),   ",to 1,02.01.05,746.8,,Q24.8,,02.01.09," Anomalous position-orientation of heart,",,,,,,,,,
," Heart rotated to left (laevorotation),   ",to 1,02.01.06,746.8,,Q24.8,,02.01.09," Anomalous position-orientation of heart,",,,,,,,,,
," Apex of heart to right ('dextroversion'),    ",to 1,02.02.01,746.8,,Q24.0,,02.01.09," Anomalous position-orientation of heart,",,,,,,,,,
," Apex of heart to left ('laevoversion'),    ",to 1,02.02.00,746.8,,Q24.1,,not relevant,,,,,,,,,,
," Apex of heart anterior to the cardiac base,",to 1,02.02.20,746.8,,Q24.0,,02.01.09," Anomalous position-orientation of heart,",,,,,,,,,
," Apex of heart posterior to the cardiac base,",to 1,02.02.21,746.8,,Q24.0,,02.01.09," Anomalous position-orientation of heart,",,,,,,,,,
," Bifid apex of heart,    ",to 1,02.02.03,746.8,,Q24.8,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Midline apex of heart,    ",to 1,02.02.04,746.8,,Q24.8,,02.01.04," Midline heart (mesocardia),    ",,,,,,,,,
," Midline apex of heart: anterior,    ",to 1,02.02.18,746.8,,Q24.8,,02.01.04," Midline heart (mesocardia),    ",,,,,,,,,
," Midline apex of heart: posterior,    ",to 1,02.02.19,746.8,,Q24.8,,02.01.04," Midline heart (mesocardia),    ",,,,,,,,,
,no entry,to 1,not relevant,,,,,,,,,,,,,,,
, ,,,,,,,, ,,,,,,,,,
16 @,Extrathoracic heart (ectopia cordis) qualifiers,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," - cervical,",to 1,Q1.02.11, ,, ,,not relevant,,,,,,,,,,
," - cervical complete (no skin covering),",to 1,Q1.02.16,,,,,not relevant,,,,,,,,,,
," - cervical incomplete (skin covered),",to 1,Q1.02.17,,,,,not relevant,,,,,,,,,,
," - thoracic,",to 1,Q1.02.12, ,, ,,not relevant,,,,,,,,,,
," - thoracic complete (no skin covering),",to 1,Q1.02.13, ,, ,,not relevant,,,,,,,,,,
," - thoracic incomplete (skin covered),",to 1,Q1.02.14, ,, ,,not relevant,,,,,,,,,,
," - thoraco-abdominal,",to 1,Q1.02.15, ,, ,,not relevant,,,,,,,,,,
," - thoraco-abdominal complete (no skin covering),",to 1,Q1.02.18,,,,,not relevant,,,,,,,,,,
," - thoraco-abdominal incomplete (skin covered),",to 1,Q1.02.19,,,,,not relevant,,,,,,,,,,
," - abdominal,",to 1,Q1.02.20, ,, ,,not relevant,,,,,,,,,,
," - abdominal complete (no skin covering),",to 1,Q1.02.21 ,,,,,not relevant,,,,,,,,,,
," - abdominal incomplete (skin covered),",to 1,Q1.02.22,,,,,not relevant,,,,,,,,,,
,no entry,to 1,not relevant,,,,,,,,,,,,,,,
, ,,,,,,,, ,,,,,,,,,
, ____________________ End of branch ____________________,,,,,,,,,,,,,,,,,
, ,, ,,,,,,,,,,,,,,,
20,Position & morphology of thoraco-abdominal organs,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
," Normal position & morphology of thoraco-abdominal organs,  ",to 1,03.01.00,nc,,nc,,not relevant,,,,,,,,,,
," Position or morphology of thoraco-abdominal organs abnormal,",to 1,03.01.09,759.9,,Q89.9,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Congenital anomaly of position or morphology of thoraco-abdominal organ(s),",to 1,03.01.12,759.9,,Q89.9,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Congenital anomaly of position and-or spatial relationships of thoraco-abdominal organs,",to 1,03.01.13,759.9,,Q89.9,,03.01.13," Congenital anomaly of position and-or spatial relationships of thoraco-abdominal organs,",,,,,,,,,
," Total mirror imagery (situs inversus totalis),   ",to 1,03.01.03,759.3,,Q89.3,,03.01.03," Total mirror imagery (situs inversus totalis),   ",,,,,,,,,
," Abdominal mirror imagery (situs inversus),   ",to 1,03.01.01,759.3,,Q89.3,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Heterotaxy including mirror image arrangement,  ",to 38,03.01.11,759.3,,Q20.6,,03.01.02," Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),  ",,,,,,,,,
," Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),  ",to 38,03.01.02,759.3,,Q20.6,,03.01.02," Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),  ",,,,,,,,,
," Right isomerism,",to 1,03.01.04,746.8,,Q20.6,,03.01.04," Right isomerism,",,,,,,,,,
," Left isomerism,",to 1,03.01.05,746.8,,Q20.6,,03.01.05," Left isomerism,",,,,,,,,,
," Thymus absent,",to 1,03.01.06,759.2,,Q89.2,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Thymus present,",to 1,03.01.07,nc,,nc,,not relevant,,,,,,,,,,
," Mediastinal neurogenic cyst,",to 1,03.01.10,742.5,,Q06.8,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
, Lung arrangement and sequestration anomalies,to 21,not relevant,,,,,,,,,,,,,,,
, Tracheobronchial anatomy and anomalies,to 22,not relevant,, ,,,,,,,,,,,,,
, Spleen     ,to 23,not relevant,,,,,,,,,,,,,,,
, Liver     ,to 24,not relevant,,,,,,,,,,,,,,,
, Stomach     ,to 25,not relevant,,,,,,,,,,,,,,,
, Intestines     ,to 26,not relevant,,,,,,,,,,,,,,,
, Diaphragm,to 27,not relevant,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21,Lung arrangement and sequestration anomalies,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
," Lungs in normal arrangement,    ",to 1,03.02.01,nc,,nc,,not relevant,,,,,,,,,,
," Lungs in mirror image arrangement,   ",to 1,03.02.02,759.3,,Q89.3,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Bilateral trilobed (right) lungs (right isomerism),   ",to 1,03.02.03,748.9,,Q33.9,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Bilateral bilobed (left) lungs (left isomerism),   ",to 1,03.02.04,748.9,,Q33.9,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Two lobed right-sided lung,    ",to 1,03.02.05,748.9,,Q33.9,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Two lobed left-sided lung,    ",to 1,03.02.06,nc,,nc,,not relevant,,,,,,,,,,
," Lung hypoplasia,",to 1,03.02.15,748.5,,Q33.6,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Hypoplastic right lung,    ",to 1,03.02.07,748.5,,Q33.6,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Hypoplastic left lung,    ",to 1,03.02.08,748.5,,Q33.6,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Functionally congenital single lung,",to 1,03.02.14,748.5,,Q33.2,,03.02.14," Functionally congenital single lung,",,,,,,,,,
," Sequestrated lobe of lung,   ",to 1,03.02.11,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of lung: extralobar,   ",to 1,03.02.16,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of lung: intralobar,   ",to 1,03.02.17,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of right-sided lung,   ",to 1,03.02.12,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of right-sided lung: extralobar,   ",to 1,03.02.18,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of right-sided lung: intralobar,   ",to 1,03.02.19,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of left-sided lung,   ",to 1,03.02.13,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of left-sided lung: extralobar,   ",to 1,03.02.20,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Sequestrated lobe of left-sided lung: intralobar,   ",to 1,03.02.21,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Lung anomaly,    ",to 1,03.02.09,748.9,,Q33.8,,03.02.09," Lung anomaly,    ",,,,,,,,,
," Azygos lobe of right lung,",to 1,03.02.22,748.5,,Q33.2,,03.02.09," Lung anomaly,    ",,,,,,,,,
, Other thoracorespiratory anomalies,to 583,not relevant,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
22,Tracheobronchial anatomy and anomalies,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Tracheal anomaly,",to 1,14.03.65,748.3,,Q32.1,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Tracheomalacia: congenital,",to 1 ,14.03.68,748.3,,Q32.0,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Tracheal stenosis: congenital,",4069,14.03.61,748.3,,Q32.1,,16.10.01,"Tracheal stenosis,",,,,,,,,,
," Tracheal stenosis: congenital complete rings,",4069,14.03.62,748.3,,Q32.1,,16.10.01,"Tracheal stenosis,",,,,,,,,,
," Tracheal stenosis: congenital web,",4069,14.03.63,748.3,,Q32.1,,16.10.01,"Tracheal stenosis,",,,,,,,,,
," Tracheal origin of right upper lobe bronchus ('pig bronchus'),",to 1,14.03.64,748.3,,Q32.1,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bridging bronchus (bronchial connection to contralateral lung),",to 1,14.03.60,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bronchial anomaly,",to 1,03.03.00,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
 ," Normal bronchial anatomy,    ",to 1,03.03.01,nc,,nc,,not relevant,,,,,,,,,,
," Mirror image bronchial anatomy,   ",to 1,03.03.02,748.3,,Q89.3,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bilateral right bronchi (short - right isomerism),    ",to 1,03.03.03,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bilateral left bronchi (long - left isomerism),    ",to 1,03.03.04,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Tracheobronchial anomaly,    ",to 1,03.03.05,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bronchial atresia,",to 3300,03.03.07,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bronchial agenesis,",to 3300,03.03.08,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bronchomalacia: congenital,",to 3300,14.03.45,748.6,,Q32.2,,14.03.49," Tracheobronchial malacia,",,,,,,,,,
," Bronchial stenosis: congenital,",to 3300,03.03.09,748.3,,Q32.3,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bronchial diverticulum,",to 3300,03.03.10,748.3,,Q32.4,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
, Bronchial fistula,to 4015,not relevant,,,,,,,,,,,,,,,
," Bronchogenic cyst,",to 1,03.03.11,748.4,,Q33.0,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
," Bronchogenic foregut malformation,",to 1,03.03.12,751.5,,Q43.8,,03.03.05," Tracheobronchial anomaly,    ",,,,,,,,,
, ,,,,,,,,,,,,,,,,,
23,Spleen,, ,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
," Abnormal spleen,",to 1,03.07.00,759.0,,Q89.0,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
 ," Spleen left-sided,    ",to 1,03.07.01,nc,,nc,,not relevant,,,,,,,,,,
," Spleen right-sided,    ",to 1,03.07.02,759.0,,Q89.0,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Spleen absent (asplenia),    ",to 1,03.07.03,759.0,,Q20.6,,03.07.03," Spleen absent (asplenia),    ",,,,,,,,,
," Multiple spleens (polysplenia),   ",to 1,03.07.04,759.0,,Q20.6,,03.07.04," Multiple spleens (polysplenia),   ",,,,,,,,,
," Spleen related congenital anomaly,    ",to 1,03.07.05,759.0,,Q89.0,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
, ,,,,,,,,,,,,,,,,,
24,Liver,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Abnormal liver,",to 1,03.04.00,751.6,,Q44.7,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
 ," Liver right-sided,    ",to 1,03.04.01,nc,,nc,,not relevant,,,,,,,,,,
," Liver left-sided,    ",to 1,03.04.02,751.6,,Q44.7,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Liver centrally situated,    ",to 1,03.04.03,751.6,,Q44.7,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Liver related congenital anomaly,    ",to 1,03.04.05,751.6,,Q44.7,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
,,,,,,,,,,,,,,,,,,
25,Stomach,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Abnormal stomach,",to 1,03.05.00,750.7,,Q40.3,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
 ," Stomach left-sided,    ",to 1,03.05.01,nc,,nc,,not relevant,,,,,,,,,,
," Stomach right-sided,    ",to 1,03.05.02,750.7,,Q40.2,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Stomach centrally situated,    ",to 1,03.05.03,750.7,,Q40.2,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
," Stomach related congenital anomaly,    ",to 1,03.05.04,750.7,,Q40.3,,03.01.09," Position or morphology of thoraco-abdominal organs abnormal,",,,,,,,,,
