"section","section_name","go_to","ipccc_name","ipccc_code","epcc_code","epcc_name","icd_10","icd_10_additional","icd_9","icd_9_additional"
"3","Generic pathological cardiac and vascular terms","to 976","Right ventricular diverticulum,","07.01.15","07.01.00","Right ventricular abnormality,","Q24.8",,"746.8",
"3","Generic pathological cardiac and vascular terms","to 976","Left ventricular diverticulum,","07.06.18","07.06.00","Left ventricular abnormality,","Q24.8",,"746.8",
"3","Generic pathological cardiac and vascular terms","to 976","Pulmonary arterial aneurysm,","09.10.44","09.10.44","Pulmonary arterial aneurysm,","Q25.7",,"747.3",
"3","Generic pathological cardiac and vascular terms","to 464","Coronary arterial aneurysm(s),","09.46.01","09.46.01","Coronary arterial aneurysm(s),","Q24.5",,"746.8",
"3","Generic pathological cardiac and vascular terms","to 467","Coronary arterial stenosis,","09.46.90","09.46.00","Coronary arterial abnormality,","I25.1",,"414",
"3","Generic pathological cardiac and vascular terms","to 1","Cardiac abnormality,","01.01.39","01.01.39","Cardiac abnormality,","Q24.8",,"746.8",
"3","Generic pathological cardiac and vascular terms","to 1","Vascular abnormality,","01.01.60","01.01.60","Vascular abnormality,","I99",,"459.9",
"3","Generic pathological cardiac and vascular terms","to 1","Embolus,","01.01.65","01.01.60","Vascular abnormality,","I74.9",,"444.9",
"3","Generic pathological cardiac and vascular terms","to 1","Diagnosis unspecified,","01.01.36","not relevant",,"nc",,"nc",
"3","Generic pathological cardiac and vascular terms","to 1","Other or miscellaneous diagnosis,","01.01.37","not relevant",,"nc",,"nc",
"4","General pathological & physiological valve terms","to 785","Functional valvar regurgitation (trace)","not relevant",,,,,,
"4","General pathological & physiological valve terms","to 963","Valvar regurgitation,","06.00.31","01.01.39","Cardiac abnormality,","Q24.8",,"746.8",
"4","General pathological & physiological valve terms","to 963","Valvar stenosis,","06.00.32","01.01.39","Cardiac abnormality,","Q24.8",,"746.8",
"4","General pathological & physiological valve terms","to 94","Pulmonary vein stenosis,","04.08.91","04.08.91","Pulmonary vein stenosis,","Q26.8",,"747.4",
"4","General pathological & physiological valve terms","to 5","Pulmonary venous atresia,","04.08.92","04.08.91","Pulmonary vein stenosis,","Q26.8",,"747.4",
"4","General pathological & physiological valve terms","to 5","Tricuspid valvar abnormality,","06.01.00","06.01.00","Tricuspid valvar abnormality,","Q22.9",,"746.9",
"4","General pathological & physiological valve terms","to 963","Tricuspid regurgitation,","06.01.91","06.01.91","Tricuspid regurgitation,","Q22.8",,"746.8",
"4","General pathological & physiological valve terms","to 960","Tricuspid stenosis,","06.01.92","06.01.92","Tricuspid stenosis,","Q22.4",,"746.1",
"4","General pathological & physiological valve terms","to 960","Tricuspid valvar stenosis: functional,","06.01.93","06.01.92","Tricuspid stenosis,","Q22.4",,"746.1",
"4","General pathological & physiological valve terms","to 1","Tricuspid subvalvar apparatus abnormality,","06.01.12","06.01.00","Tricuspid valvar abnormality,","Q22.8",,"746.9",
"4","General pathological & physiological valve terms","to 5","Mitral valvar abnormality,","06.02.00","06.02.00","Mitral valvar abnormality,","Q23.9",,"746.9",
"4","General pathological & physiological valve terms","to 963","Mitral regurgitation,","06.02.91","06.02.91","Mitral regurgitation,","Q23.3",,"746.6",
"4","General pathological & physiological valve terms","to 960","Mitral stenosis,","06.02.92","06.02.92","Mitral stenosis,","Q23.2",,"746.5",
"4","General pathological & physiological valve terms","to 960","Mitral valvar stenosis,","06.02.93","06.02.93","Mitral valvar stenosis,","Q23.2",,"746.5",
"4","General pathological & physiological valve terms","to 960","Mitral valvar stenosis: functional,","06.02.94","06.02.92","Mitral stenosis,","Q23.2",,"746.5",
"4","General pathological & physiological valve terms","to 1","Mitral subvalvar apparatus abnormality,","06.02.12","06.02.12","Mitral subvalvar apparatus abnormality,","Q23.8",,"746.9",
"4","General pathological & physiological valve terms","to 5","Pulmonary valvar abnormality,","09.05.00","09.05.00","Pulmonary valvar abnormality,","Q22.3",,"746",
"4","General pathological & physiological valve terms","to 963","Pulmonary regurgitation,","09.05.91","09.05.91","Pulmonary regurgitation,","Q22.2",,"746",
"4","General pathological & physiological valve terms","to 960","Pulmonary stenosis,","09.05.92","09.05.92","Pulmonary stenosis,","Q22.1",,"746",
"4","General pathological & physiological valve terms","to 960","Pulmonary valvar stenosis: functional,","09.05.93","09.05.92","Pulmonary stenosis,","Q22.1",,"746",
"4","General pathological & physiological valve terms","to 1","Pulmonary stenosis or atresia not present,","09.05.94",,,"nc",,"nc",
"4","General pathological & physiological valve terms","to 960","Pulmonary valvar stenosis,","09.05.01","09.05.01","Pulmonary valvar stenosis,","Q22.1",,"746",
"4","General pathological & physiological valve terms","to 5","Aortic valvar abnormality,","09.15.00","09.15.00","Aortic valvar abnormality,","Q23.9",,"746.9",
"4","General pathological & physiological valve terms","to 963","Aortic regurgitation,","09.15.91","09.15.91","Aortic regurgitation,","Q23.1",,"746.4",
"4","General pathological & physiological valve terms","to 960","Aortic stenosis,","09.15.92","09.15.92","Aortic valvar stenosis,","Q23.0",,"746.3",
"4","General pathological & physiological valve terms","to 960","Aortic valvar stenosis,","09.15.13","09.15.13","Aortic valvar stenosis,","Q23.0",,"746.3",
"4","General pathological & physiological valve terms","to 960","Aortic valvar stenosis: functional,","09.15.93","09.15.92","Aortic valvar stenosis,","Q23.0",,"746.3",
"4","General pathological & physiological valve terms","to 1","Aortic stenosis not present,","09.15.89","not relevant",,"nc",,"nc",
"4","General pathological & physiological valve terms","to 960","Congenital polyvalvar dysplasia,","06.00.33","01.01.39","Cardiac abnormality,","Q24.8",,"746.8",
"5","Congenital heart defects in sequential segmental order","to 10","Arrangement of heart & organs, connections, topology","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 70","Tetralogy of Fallot and variants","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 71","Transposition of great arteries and variants","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 72","Functionally univentricular heart variants","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 75","Great vein and coronary sinus abnormalities","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 100","Atrial and atrial septal abnormalities","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 150","Atrioventricular septal defect and atrioventricular valvar abnormalities","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 250","Ventricular and ventricular septal abnormalities","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 300","Arterial valvar and great arterial abnormalities","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 497","Congenital anomalies of pericardium","not relevant",,,,,,
"5","Congenital heart defects in sequential segmental order","to 1","To Table of contents","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 15","Position-Orientation of heart in thorax","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 20","Position & morphology of thoraco-abdominal organs","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 30","Atrial arrangement (situs), atrioventricular & ventriculo-arterial connections","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 60","Cardiac & great vessel topology and relationships","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 68","Segmental nomenclature","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 73","Ventricular imbalance","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 532","Conjoined twins","not relevant",,,,,,
"10","Arrangement of heart & organs, connections, topology","to 1","Congenital abnormality of cardiac position and-or connections,","01.01.35","01.01.59","Structural developmental anomaly of heart and-or great vessels,","Q24.9",,"746.9",
"15","Position - Orientation of heart in thorax","to 1","Normal position-orientation of heart,","02.01.00","not relevant",,"nc",,"nc",
"15","Position - Orientation of heart in thorax","to 1","Anomalous position-orientation of heart,","02.01.09","02.01.09","Anomalous position-orientation of heart,","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 16","Extrathoracic heart (ectopia cordis),","02.01.01","02.01.01","Extrathoracic heart (ectopia cordis),","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Dextrocardia: heart predominantly in right hemithorax,","02.01.02","02.01.02","Dextrocardia: heart predominantly in right hemithorax,","Q24.0",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Laevocardia: heart predominantly in left hemithorax,","02.01.03","02.01.03","Laevocardia: heart predominantly in left hemithorax,","Q24.1",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Midline heart (mesocardia),","02.01.04","02.01.04","Midline heart (mesocardia),","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Heart rotated to right (dextrorotation),","02.01.05","02.01.09","Anomalous position-orientation of heart,","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Heart rotated to left (laevorotation),","02.01.06","02.01.09","Anomalous position-orientation of heart,","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Apex of heart to right ('dextroversion'),","02.02.01","02.01.09","Anomalous position-orientation of heart,","Q24.0",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Apex of heart to left ('laevoversion'),","02.02.00","not relevant",,"Q24.1",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Apex of heart anterior to the cardiac base,","02.02.20","02.01.09","Anomalous position-orientation of heart,","Q24.0",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Apex of heart posterior to the cardiac base,","02.02.21","02.01.09","Anomalous position-orientation of heart,","Q24.0",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Bifid apex of heart,","02.02.03","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Midline apex of heart,","02.02.04","02.01.04","Midline heart (mesocardia),","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Midline apex of heart: anterior,","02.02.18","02.01.04","Midline heart (mesocardia),","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","Midline apex of heart: posterior,","02.02.19","02.01.04","Midline heart (mesocardia),","Q24.8",,"746.8",
"15","Position - Orientation of heart in thorax","to 1","no entry","not relevant",,,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- cervical,","Q1.02.11","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- cervical complete (no skin covering),","Q1.02.16","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- cervical incomplete (skin covered),","Q1.02.17","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- thoracic,","Q1.02.12","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- thoracic complete (no skin covering),","Q1.02.13","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- thoracic incomplete (skin covered),","Q1.02.14","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- thoraco-abdominal,","Q1.02.15","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- thoraco-abdominal complete (no skin covering),","Q1.02.18","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- thoraco-abdominal incomplete (skin covered),","Q1.02.19","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- abdominal,","Q1.02.20","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- abdominal complete (no skin covering),","Q1.02.21","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","- abdominal incomplete (skin covered),","Q1.02.22","not relevant",,,,,
"16 @","Extrathoracic heart (ectopia cordis) qualifiers","to 1","no entry","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 1","Normal position & morphology of thoraco-abdominal organs,","03.01.00","not relevant",,"nc",,"nc",
"20","Position & morphology of thoraco-abdominal organs","to 1","Position or morphology of thoraco-abdominal organs abnormal,","03.01.09","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.9",,"759.9",
"20","Position & morphology of thoraco-abdominal organs","to 1","Congenital anomaly of position or morphology of thoraco-abdominal organ(s),","03.01.12","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.9",,"759.9",
"20","Position & morphology of thoraco-abdominal organs","to 1","Congenital anomaly of position and-or spatial relationships of thoraco-abdominal organs,","03.01.13","03.01.13","Congenital anomaly of position and-or spatial relationships of thoraco-abdominal organs,","Q89.9",,"759.9",
"20","Position & morphology of thoraco-abdominal organs","to 1","Total mirror imagery (situs inversus totalis),","03.01.03","03.01.03","Total mirror imagery (situs inversus totalis),","Q89.3",,"759.3",
"20","Position & morphology of thoraco-abdominal organs","to 1","Abdominal mirror imagery (situs inversus),","03.01.01","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.3",,"759.3",
"20","Position & morphology of thoraco-abdominal organs","to 38","Heterotaxy including mirror image arrangement,","03.01.11","03.01.02","Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","Q20.6",,"759.3",
"20","Position & morphology of thoraco-abdominal organs","to 38","Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","03.01.02","03.01.02","Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),","Q20.6",,"759.3",
"20","Position & morphology of thoraco-abdominal organs","to 1","Right isomerism,","03.01.04","03.01.04","Right isomerism,","Q20.6",,"746.8",
"20","Position & morphology of thoraco-abdominal organs","to 1","Left isomerism,","03.01.05","03.01.05","Left isomerism,","Q20.6",,"746.8",
"20","Position & morphology of thoraco-abdominal organs","to 1","Thymus absent,","03.01.06","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.2",,"759.2",
"20","Position & morphology of thoraco-abdominal organs","to 1","Thymus present,","03.01.07","not relevant",,"nc",,"nc",
"20","Position & morphology of thoraco-abdominal organs","to 1","Mediastinal neurogenic cyst,","03.01.10","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q06.8",,"742.5",
"20","Position & morphology of thoraco-abdominal organs","to 21","Lung arrangement and sequestration anomalies","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 22","Tracheobronchial anatomy and anomalies","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 23","Spleen","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 24","Liver","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 25","Stomach","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 26","Intestines","not relevant",,,,,,
"20","Position & morphology of thoraco-abdominal organs","to 27","Diaphragm","not relevant",,,,,,
"21","Lung arrangement and sequestration anomalies","to 1","Lungs in normal arrangement,","03.02.01","not relevant",,"nc",,"nc",
"21","Lung arrangement and sequestration anomalies","to 1","Lungs in mirror image arrangement,","03.02.02","03.02.09","Lung anomaly,","Q89.3",,"759.3",
"21","Lung arrangement and sequestration anomalies","to 1","Bilateral trilobed (right) lungs (right isomerism),","03.02.03","03.02.09","Lung anomaly,","Q33.9",,"748.9",
"21","Lung arrangement and sequestration anomalies","to 1","Bilateral bilobed (left) lungs (left isomerism),","03.02.04","03.02.09","Lung anomaly,","Q33.9",,"748.9",
"21","Lung arrangement and sequestration anomalies","to 1","Two lobed right-sided lung,","03.02.05","03.02.09","Lung anomaly,","Q33.9",,"748.9",
"21","Lung arrangement and sequestration anomalies","to 1","Two lobed left-sided lung,","03.02.06","not relevant",,"nc",,"nc",
"21","Lung arrangement and sequestration anomalies","to 1","Lung hypoplasia,","03.02.15","03.02.09","Lung anomaly,","Q33.6",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Hypoplastic right lung,","03.02.07","03.02.09","Lung anomaly,","Q33.6",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Hypoplastic left lung,","03.02.08","03.02.09","Lung anomaly,","Q33.6",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Functionally congenital single lung,","03.02.14","03.02.14","Functionally congenital single lung,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of lung,","03.02.11","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of lung: extralobar,","03.02.16","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of lung: intralobar,","03.02.17","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of right-sided lung,","03.02.12","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of right-sided lung: extralobar,","03.02.18","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of right-sided lung: intralobar,","03.02.19","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of left-sided lung,","03.02.13","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of left-sided lung: extralobar,","03.02.20","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Sequestrated lobe of left-sided lung: intralobar,","03.02.21","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 1","Lung anomaly,","03.02.09","03.02.09","Lung anomaly,","Q33.8",,"748.9",
"21","Lung arrangement and sequestration anomalies","to 1","Azygos lobe of right lung,","03.02.22","03.02.09","Lung anomaly,","Q33.2",,"748.5",
"21","Lung arrangement and sequestration anomalies","to 583","Other thoracorespiratory anomalies","not relevant",,,,,,
"22","Tracheobronchial anatomy and anomalies","to 1","Tracheal anomaly,","14.03.65","03.03.05","Tracheobronchial anomaly,","Q32.1",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Tracheomalacia: congenital,","14.03.68","03.03.05","Tracheobronchial anomaly,","Q32.0",,"748.3",
"22","Tracheobronchial anatomy and anomalies","4069","Tracheal stenosis: congenital,","14.03.61","16.10.01","Tracheal stenosis,","Q32.1",,"748.3",
"22","Tracheobronchial anatomy and anomalies","4069","Tracheal stenosis: congenital complete rings,","14.03.62","16.10.01","Tracheal stenosis,","Q32.1",,"748.3",
"22","Tracheobronchial anatomy and anomalies","4069","Tracheal stenosis: congenital web,","14.03.63","16.10.01","Tracheal stenosis,","Q32.1",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Tracheal origin of right upper lobe bronchus ('pig bronchus'),","14.03.64","03.03.05","Tracheobronchial anomaly,","Q32.1",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Bridging bronchus (bronchial connection to contralateral lung),","14.03.60","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Bronchial anomaly,","03.03.00","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Normal bronchial anatomy,","03.03.01","not relevant",,"nc",,"nc",
"22","Tracheobronchial anatomy and anomalies","to 1","Mirror image bronchial anatomy,","03.03.02","03.03.05","Tracheobronchial anomaly,","Q89.3",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Bilateral right bronchi (short - right isomerism),","03.03.03","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Bilateral left bronchi (long - left isomerism),","03.03.04","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 1","Tracheobronchial anomaly,","03.03.05","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 3300","Bronchial atresia,","03.03.07","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 3300","Bronchial agenesis,","03.03.08","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 3300","Bronchomalacia: congenital,","14.03.45","14.03.49","Tracheobronchial malacia,","Q32.2",,"748.6",
"22","Tracheobronchial anatomy and anomalies","to 3300","Bronchial stenosis: congenital,","03.03.09","03.03.05","Tracheobronchial anomaly,","Q32.3",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 3300","Bronchial diverticulum,","03.03.10","03.03.05","Tracheobronchial anomaly,","Q32.4",,"748.3",
"22","Tracheobronchial anatomy and anomalies","to 4015","Bronchial fistula","not relevant",,,,,,
"22","Tracheobronchial anatomy and anomalies","to 1","Bronchogenic cyst,","03.03.11","03.03.05","Tracheobronchial anomaly,","Q33.0",,"748.4",
"22","Tracheobronchial anatomy and anomalies","to 1","Bronchogenic foregut malformation,","03.03.12","03.03.05","Tracheobronchial anomaly,","Q43.8",,"751.5",
"23","Spleen","to 1","Abnormal spleen,","03.07.00","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.0",,"759",
"23","Spleen","to 1","Spleen left-sided,","03.07.01","not relevant",,"nc",,"nc",
"23","Spleen","to 1","Spleen right-sided,","03.07.02","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.0",,"759",
"23","Spleen","to 1","Spleen absent (asplenia),","03.07.03","03.07.03","Spleen absent (asplenia),","Q20.6",,"759",
"23","Spleen","to 1","Multiple spleens (polysplenia),","03.07.04","03.07.04","Multiple spleens (polysplenia),","Q20.6",,"759",
"23","Spleen","to 1","Spleen related congenital anomaly,","03.07.05","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q89.0",,"759",
"24","Liver","to 1","Abnormal liver,","03.04.00","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q44.7",,"751.6",
"24","Liver","to 1","Liver right-sided,","03.04.01","not relevant",,"nc",,"nc",
"24","Liver","to 1","Liver left-sided,","03.04.02","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q44.7",,"751.6",
"24","Liver","to 1","Liver centrally situated,","03.04.03","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q44.7",,"751.6",
"24","Liver","to 1","Liver related congenital anomaly,","03.04.05","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q44.7",,"751.6",
"25","Stomach","to 1","Abnormal stomach,","03.05.00","03.01.09","Position or morphology of thoraco-abdominal organs abnormal,","Q40.3",,"750.7",
